iter	Logloss
0	0.6209686324
1	0.5590043451
2	0.5066455563
3	0.4637846526
4	0.4264099354
5	0.3955108465
6	0.3676675729
7	0.346204775
8	0.3265669124
9	0.308199263
10	0.2941192839
11	0.2834734527
12	0.2729233626
13	0.2615207401
14	0.2533487173
15	0.2461317322
16	0.2396240148
17	0.2344467533
18	0.2298123712
19	0.2264754075
20	0.2230639489
21	0.2199504183
22	0.216267863
23	0.2129078428
24	0.2105071995
25	0.2076185999
26	0.2052002188
27	0.2035776733
28	0.2013823757
29	0.1994481961
30	0.1978749749
31	0.196271989
32	0.195161073
33	0.1941960033
34	0.1928052086
35	0.1918703173
36	0.1905428881
37	0.1897969666
38	0.1887564454
39	0.1881144448
40	0.1871454768
41	0.1865871526
42	0.185743448
43	0.1852451183
44	0.1848018007
45	0.1842158163
46	0.1838113649
47	0.183067073
48	0.1825271622
49	0.1816914646
50	0.1811536483
51	0.1805694526
52	0.1801730605
53	0.1798402702
54	0.1793196904
55	0.1790085443
56	0.178763356
57	0.1783772764
58	0.1779134318
59	0.177566586
60	0.1772756475
61	0.1769624621
62	0.1766229564
63	0.176329529
64	0.1760726483
65	0.1755758212
66	0.1753018176
67	0.1749489637
68	0.1746401672
69	0.174205288
70	0.1737894918
71	0.1734775762
72	0.1731344111
73	0.172871776
74	0.1725558543
75	0.1722072442
76	0.1719849114
77	0.1715082072
78	0.1711597818
79	0.1709321242
80	0.1705282606
81	0.1701339634
82	0.1697315699
83	0.1694945226
84	0.1692345278
85	0.1689580617
86	0.1686122262
87	0.1682452431
88	0.1680168582
89	0.1678971357
90	0.1675458036
91	0.1672489601
92	0.166958431
93	0.166626807
94	0.1662837622
95	0.1659477312
96	0.1657887341
97	0.1655777582
98	0.1653426553
99	0.1651643207
100	0.164967876
101	0.1647666001
102	0.1645753388
103	0.1641107532
104	0.163915841
105	0.1636730124
106	0.1634324017
107	0.163090383
108	0.1628344322
109	0.1624673921
110	0.162310964
111	0.1621497646
112	0.1618769081
113	0.1616025378
114	0.1613846775
115	0.1610044528
116	0.1607603199
117	0.1606105053
118	0.1604383483
119	0.160273158
120	0.1600873226
121	0.1596495379
122	0.1595552045
123	0.1593514708
