iter	Passed	Remaining
0	26	15585
1	50	15070
2	72	14499
3	93	13956
4	115	13761
5	137	13640
6	163	13823
7	185	13713
8	208	13701
9	232	13719
10	260	13943
11	284	13956
12	308	13913
13	330	13834
14	351	13724
15	376	13727
16	405	13904
17	428	13850
18	453	13863
19	478	13877
20	503	13871
21	528	13884
22	549	13795
23	572	13733
24	592	13637
25	617	13625
26	638	13557
27	662	13540
28	683	13465
29	705	13411
30	730	13405
31	753	13370
32	778	13382
33	800	13323
34	822	13278
35	844	13232
36	866	13181
37	886	13116
38	908	13073
39	931	13046
40	953	13006
41	974	12951
42	997	12927
43	1025	12958
44	1046	12906
45	1067	12853
46	1089	12813
47	1109	12755
48	1131	12726
49	1151	12671
50	1172	12616
51	1192	12568
52	1212	12513
53	1233	12476
54	1253	12423
55	1276	12396
56	1298	12372
57	1320	12343
58	1342	12305
59	1363	12267
60	1382	12214
61	1401	12162
62	1422	12127
63	1444	12095
64	1463	12045
65	1484	12008
66	1505	11976
67	1526	11940
68	1548	11914
69	1566	11861
70	1587	11830
71	1607	11791
72	1626	11739
73	1656	11776
74	1677	11744
75	1697	11702
76	1721	11690
77	1742	11662
78	1763	11626
79	1780	11570
80	1800	11537
81	1818	11490
82	1840	11462
83	1858	11416
84	1877	11374
85	1896	11332
86	1915	11295
87	1936	11265
88	1955	11228
89	1974	11186
90	1996	11168
91	2015	11126
92	2035	11098
93	2055	11062
94	2076	11035
95	2098	11015
96	2117	10979
97	2137	10948
98	2157	10920
99	2179	10898
100	2198	10862
101	2219	10837
102	2240	10809
103	2257	10768
104	2276	10733
105	2296	10702
106	2319	10688
107	2340	10660
108	2357	10619
109	2376	10585
110	2395	10554
111	2414	10520
112	2433	10486
113	2452	10456
114	2475	10438
115	2494	10409
116	2522	10414
117	2544	10395
118	2565	10369
119	2584	10336
120	2604	10311
121	2626	10291
122	2643	10252
123	2665	10230
124	2685	10205
125	2704	10174
126	2727	10159
127	2747	10132
128	2765	10098
129	2783	10062
130	2802	10034
131	2824	10015
132	2859	10042
133	2887	10042
134	2918	10051
135	2954	10080
136	2977	10062
137	3005	10062
