model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
LightGBM,sklearn,0.7985365451353448,0.0049218611981868615,0.7986747139157641,0.005037675269475334,0.8011428571428572,0.8012970343813871,0.8012685776914164,0.7353000679438421,0.9481399419203966,47.45
XGBoost,sklearn,0.79790808802515,0.00665944866461577,0.797914029269551,0.006921867755177327,0.7977142857142857,0.7976524922092787,0.7976234673152233,0.7308449875834063,0.9491745978498032,18.35
RandomForest,sklearn,0.7923069611725799,0.005467251756661887,0.7922454195909658,0.005603244873724567,0.7904,0.7903582834335982,0.790328671047492,0.721005248832973,0.9454607200268924,11.04
ExtraTrees,sklearn,0.7840197770791655,0.004797618289508617,0.7838789921589969,0.004742071420199723,0.7869714285714285,0.7867361496035438,0.7867081465374646,0.7164642407256295,0.9433508968155695,2.39
CatBoost,sklearn,0.7909352223084147,0.005691545218186576,0.7907223521793523,0.005814665542698276,0.7869714285714285,0.7866013459901476,0.7865723793491507,0.7166377524129038,0.9452548356592847,15.59
LogisticRegression,sklearn,0.7625306169109541,0.007131850688386445,0.7628958349555381,0.007198714367991393,0.7568,0.7572226043239507,0.7571915420937317,0.6765543030590697,0.9345710549300071,13.7
ShallowNN_MLP,sklearn,0.747842779569673,0.00493335511052982,0.7473469010502919,0.005262628935847006,0.7474285714285714,0.7470176383742048,0.7469882471154095,0.6648614970258533,0.9347404538056855,4.36
CNN1D,torch,0.7099497815702446,0.009444075991752414,0.6949932237350236,0.02165671578495091,0.7179428571428571,0.715953484396545,0.7159172537422968,0.6254214182839519,0.9193795785448121,15.05
RNN,torch,0.5780379537010575,0.06671439346118799,0.5301090202441664,0.05657380029949878,0.6667428571428572,0.6233925230855654,0.6233448670566177,0.5859739198368548,0.8968059594669106,242.53
LSTM,torch,0.5525542808149266,0.026998768112880742,0.5232274957832165,0.05405428391285692,0.6212571428571428,0.6130626465374838,0.6130362550295383,0.4994924417077877,0.8840963234027326,64.94
