annotator,n_columns
gnomad4,44
clinvar,38
allofus250k,28
base,15
swissprot_ptm,12
oncokb,12
sift,11
gwas_catalog,10
swissprot_binding,10
arrvars,10
swissprot_domains,10
gnomad,9
gnomad3,9
dida,9
provean,8
spliceai,8
phylop,8
alfa_asian,8
mutpred1,8
aloft,8
regulomedb,8
bayesdel,8
fathmm,8
mutationtaster,8
alphamissense,7
varity_r,7
esm1b,7
hgdp,7
metarnn,7
mutation_assessor,7
thousandgenomes_african,7
fathmm_mkl,6
vest,6
alfa_african,6
uk10k_cohort,6
mutpred2,6
phastcons,6
revel,6
ccr,6
thousandgenomes,6
pharmgkb,5
mitomap,5
metasvm,5
metalr,5
phdsnpg,5
polyphen2,5
primateai,5
thousandgenomes_south_asian,5
gerp,5
thousandgenomes_european,5
thousandgenomes_east_asian,5
fathmm_xf_coding,5
chasmplus_THYM,4
chasmplus_LUAD,4
funseq2,4
genehancer,4
chasmplus_DLBC,4
chasmplus_READ,4
chasmplus_ESCA,4
gmvp,4
chasmplus_PRAD,4
chasmplus_PCPG,4
chasmplus_PAAD,4
chasmplus_GBM,4
grasp,4
original_input,4
chasmplus_OV,4
chasmplus_HNSC,4
chasmplus_KICH,4
chasmplus_KIRC,4
chasmplus_KIRP,4
chasmplus_MESO,4
chasmplus_LAML,4
chasmplus_LGG,4
mistic,4
mirbase,4
chasmplus_UCEC,4
lrt,4
chasmplus_LIHC,4
chasmplus_COAD,4
chasmplus_CHOL,4
chasmplus_CESC,4
chasmplus_BRCA,4
chasmplus_UCS,4
chasmplus_UVM,4
civic,4
alfa_latin_american,4
chasmplus_THCA,4
cadd,4
cadd_exome,4
thousandgenomes_ad_mixed_american,4
cancer_genome_interpreter,4
dann_coding,4
cardioboost,4
ccre_screen,4
cedar,4
chasmplus,4
chasmplus_TGCT,4
chasmplus_ACC,4
chasmplus_BLCA,4
chasmplus_STAD,4
eve,4
chasmplus_SKCM,4
chasmplus_SARC,4
chasmplus_LUSC,4
mutpred_indel,3
siphy,3
repeat,3
regeneron,3
litvar_full,3
tagsampler,3
fitcons,3
ditto,3
denovo,3
dann,3
esp6500,2
encode_tfbs,2
segway,2
dbscsnv,2
cscape_coding,2
clinvar_acmg,2
brca1_func_assay,2
alfa_other,2
clinpred,2
alfa_european,2
alfa,2
vista_enhancer,2
pseudogene,2
mavedb,2
flank_seq,2
gtex,2
mupit,2
interpro,2
hg19,2
ncrna,2
ensembl_regulatory_build,2
genocanyon,2
grantham_scores,1
haploreg_afr,1
linsight,1
javierre_promoters,1
fathmm_xf,1
uniprot_domain,1
ucscgenomebrowser,1
trinity,1
geuvadis,1
haploreg_eur,1
haploreg_asn,1
cscape,1
haploreg_amr,1
ncer,1
abraom,1
dbcid,1
litvar,1
dbsnp,1
dbsnp_common,1
omim,1
cancer_hotspots,1
