feature,missing_frac,mean,std,median,min,max
alphamissense__am_pathogenicity,0.05865947329919532,0.49400527466122685,0.391939706908008,0.3767,0.0052,1.0
cadd__phred,0.003474762253108998,21.23099931180033,9.0356889663606,24.2,0.001,63.0
cadd_exome__phred,0.0058065106071689835,21.245024143481256,9.015396435966744,24.2,0.001,63.0
esm1b__score,0.07251280175566935,-8.506232081238293,4.525961456084781,-8.391,-22.316,12.766
eve__score,0.4524049012435991,0.5704090331984247,0.2934221916708669,0.6424924337889678,0.0133499869237439,0.9998763871840212
fathmm__score,1.0,,,,,
gnomad4__af,0.8993233357717629,0.032100127337824726,0.1266576114724278,0.00014190825138265,6.194865695e-07,0.999607839735933
metarnn__score,0.012253108997805413,0.48778499979848355,0.4515656194595126,0.494930485,5.298084e-07,0.9970398
mutationtaster__score,0.01741953182150695,0.9507094101139436,0.1663319611727032,1.0,0.0,1.0
phastcons__phastcons100_vert,0.011521580102414046,0.7740857076780758,0.3969947592855748,1.0,0.0,1.0
phylop__phylop100_vert,0.0894751280175567,4.505434546824002,3.5315974465853155,4.615,-11.259,10.003
phylop__phylop17_primate,0.0894751280175567,0.3993744915892543,0.5805208751145773,0.599,-6.643,0.756
provean__score,0.034427578639356256,-3.385050902031346,2.982012062821156,-2.94,-14.0,11.5
revel__rankscore,0.03401609363569861,0.660276786728512,0.33516482545648485,0.796735,3e-05,0.99999
revel__score,0.03401609363569861,0.5108892938280954,0.36469903119021285,0.5215000000000001,0.0,1.0
sift__score,0.03026700804681785,0.15371357850070722,0.2600062422849298,0.015,0.0,1.0
