annotator,mean,min,max,count
mutpred_indel,1.0,1.0,1.0,3
mavedb,1.0,1.0,1.0,2
alfa_african,1.0,1.0,1.0,6
denovo,1.0,1.0,1.0,3
trinity,1.0,1.0,1.0,1
dida,1.0,1.0,1.0,9
oncokb,1.0,1.0,1.0,12
fathmm,1.0,1.0,1.0,8
grantham_scores,1.0,1.0,1.0,1
dbcid,1.0,1.0,1.0,1
mitomap,0.9999725676664228,0.999954279444038,1.0,5
mirbase,0.9999657095830286,0.999954279444038,1.0,4
hgdp,0.999954279444038,0.999954279444038,0.999954279444038,7
pseudogene,0.9999085588880761,0.9999085588880761,0.9999085588880761,2
vista_enhancer,0.9997713972201902,0.9997713972201902,0.9997713972201902,2
alfa_asian,0.9994056327724945,0.9994056327724945,0.9994056327724945,8
ncrna,0.9991313094367228,0.9991313094367228,0.9991313094367228,2
cancer_genome_interpreter,0.9989941477688369,0.9989941477688369,0.9989941477688369,4
arrvars,0.9985963789319678,0.9973939283101683,1.0,10
cedar,0.9985826627651793,0.9985826627651793,0.9985826627651793,4
aloft,0.9984912216532553,0.9984912216532553,0.9984912216532553,8
pharmgkb,0.9981711777615215,0.9981711777615215,0.9981711777615215,5
abraom,0.99766825164594,0.99766825164594,0.99766825164594,1
civic,0.9974167885881492,0.9967538405267008,0.9993599122165325,4
brca1_func_assay,0.9948335771762985,0.9948335771762985,0.9948335771762985,2
regulomedb,0.9945592538405267,0.9945592538405267,0.9945592538405267,8
linsight,0.9936448427212875,0.9936448427212875,0.9936448427212875,1
repeat,0.9897585954645208,0.9897585954645208,0.9897585954645208,3
cancer_hotspots,0.9890727871250914,0.9890727871250914,0.9890727871250914,1
cardioboost,0.9886384418434528,0.9835405998536942,0.9937362838332114,4
swissprot_ptm,0.9882574372104366,0.9569769568397952,1.0,12
swissprot_binding,0.9870427944403805,0.9580285296269203,1.0,10
geuvadis,0.9864209948792977,0.9864209948792977,0.9864209948792977,1
javierre_promoters,0.9822147037307973,0.9822147037307973,0.9822147037307973,1
grasp,0.9742821872713971,0.9485643745427944,1.0,4
gwas_catalog,0.9662353694220922,0.9623719824433065,0.9958394294074616,10
dbscsnv,0.9636292977322605,0.9633321141185077,0.9639264813460132,2
dbsnp_common,0.9337051938551573,0.9337051938551573,0.9337051938551573,1
spliceai,0.9330651060716898,0.9330651060716898,0.9330651060716898,8
gtex,0.9297732260424286,0.9297732260424286,0.9297732260424286,2
haploreg_asn,0.9229151426481346,0.9229151426481346,0.9229151426481346,1
ccr,0.907324433065106,0.907324433065106,0.907324433065106,6
gnomad4,0.899323335771763,0.8993233357717629,0.8993233357717629,44
haploreg_eur,0.8875274323335772,0.8875274323335772,0.8875274323335772,1
interpro,0.8609180687637161,0.8609180687637161,0.8609180687637161,2
ccre_screen,0.84375,0.824067300658376,0.902798098024872,4
haploreg_amr,0.8364575713240673,0.8364575713240673,0.8364575713240673,1
haploreg_afr,0.8325713240673006,0.8325713240673006,0.8325713240673006,1
segway,0.8272220190197512,0.8272220190197512,0.8272220190197512,2
swissprot_domains,0.8261658741770301,0.46991587417703,0.9993599122165325,10
clinvar_acmg,0.8060762618873445,0.7692940746159473,0.8428584491587418,2
uk10k_cohort,0.7747805413313826,0.7747805413313826,0.7747805413313826,6
genehancer,0.7281912948061449,0.7281912948061449,0.7281912948061449,4
ensembl_regulatory_build,0.7237106803218727,0.7237106803218727,0.7237106803218727,2
encode_tfbs,0.7166697147037308,0.7166697147037308,0.7166697147037308,2
alfa_other,0.6637253108997806,0.6637253108997806,0.6637253108997806,2
omim,0.6384418434528164,0.6384418434528164,0.6384418434528164,1
alfa_european,0.630806510607169,0.630806510607169,0.630806510607169,2
gnomad,0.6232372185645777,0.3695592538405267,0.7931144842721287,9
esp6500,0.6229425749817118,0.6229425749817118,0.6229425749817118,2
thousandgenomes,0.609912216532553,0.609912216532553,0.609912216532553,6
thousandgenomes_ad_mixed_american,0.609912216532553,0.609912216532553,0.609912216532553,4
thousandgenomes_south_asian,0.609912216532553,0.609912216532553,0.609912216532553,5
thousandgenomes_african,0.609912216532553,0.609912216532553,0.609912216532553,7
thousandgenomes_european,0.609912216532553,0.609912216532553,0.609912216532553,5
thousandgenomes_east_asian,0.609912216532553,0.609912216532553,0.609912216532553,5
litvar_full,0.606224091684955,0.6057973664959766,0.6070775420629115,3
clinvar,0.6016187483155585,0.0,1.0,38
uniprot_domain,0.5998079736649597,0.5998079736649597,0.5998079736649597,1
mutpred1,0.563854471470373,0.48628383321141183,0.9387801755669349,8
dann,0.5146610582784686,0.26463057790782735,0.9847293343087052,3
funseq2,0.5048920994879298,0.010378566203365034,0.9996342355523044,4
mupit,0.49577084857351866,0.49556510607168985,0.4959765910753475,2
eve,0.4524049012435991,0.4524049012435991,0.4524049012435991,4
alfa_latin_american,0.43896305779078276,0.43896305779078276,0.43896305779078276,4
gnomad3,0.41554397301471185,0.415508412582297,0.41555413313825895,9
fathmm_xf_coding,0.4129480614484272,0.1285662033650329,1.0,5
alfa,0.4091075347476225,0.4091075347476225,0.4091075347476225,2
gerp,0.3960223116313094,0.012253108997805413,1.0,5
allofus250k,0.3513624725676664,0.3513624725676664,0.3513624725676664,28
primateai,0.3388258961228969,0.051755669348939284,0.8645299926847111,5
metasvm,0.3367136064374543,0.019979882955376737,1.0,5
tagsampler,0.3333333333333333,0.0,1.0,3
mistic,0.30971104608632044,0.0461777615215801,0.5855431602048281,4
cadd_exome,0.3032530175566935,0.0058065106071689835,0.6109637893196781,4
dann_coding,0.3029901243599122,0.011658741770299927,0.7652706656912948,4
cadd,0.30153849670811994,0.003474762253108998,0.6095464520848574,4
regeneron,0.2964063643013899,0.2964063643013899,0.2964063643013899,3
mutation_assessor,0.2882027902602153,0.10698610095098757,0.7991953182150695,7
provean,0.2758206839795172,0.034427578639356256,1.0,8
phdsnpg,0.27283284564740307,0.012710314557425018,0.6693946598390637,5
metalr,0.27257681053401606,0.019979882955376737,0.6525694952450621,5
varity_r,0.24667546243076602,0.09793343087051938,0.6442940746159473,7
phylop,0.24561654169714703,0.0894751280175567,0.7208760058522312,8
fathmm_mkl,0.240718727139722,0.011658741770299927,0.7155267008046818,6
mutationtaster,0.237826901975128,0.01741953182150695,1.0,8
esm1b,0.23759013481032504,0.07251280175566935,0.6647768836869057,7
alphamissense,0.22527171073257393,0.05865947329919532,0.652706656912948,7
mutpred2,0.22191233845403557,0.03154718361375274,0.608723482077542,6
revel,0.22022067788344304,0.03401609363569861,0.6132498171177762,6
vest,0.21993111436235066,0.036576444769568395,0.6210680321872714,6
sift,0.1687961361973798,0.03026700804681785,0.6890544989027066,11
metarnn,0.15889852649179642,0.012253108997805413,0.5270665691294806,7
bayesdel,0.15220944586686175,0.01298463789319678,0.5899323335771763,8
fitcons,0.14095647403072423,0.14095647403072423,0.14095647403072423,3
polyphen2,0.09610460863204097,0.09610460863204097,0.09610460863204097,5
lrt,0.09592172640819312,0.09592172640819312,0.09592172640819312,4
cscape_coding,0.08627468910021946,0.08627468910021946,0.08627468910021946,2
cscape,0.07987381126554499,0.07987381126554499,0.07987381126554499,1
fathmm_xf,0.07959948792977323,0.07959948792977323,0.07959948792977323,1
base,0.06990977810290172,0.0,1.0,15
ditto,0.06422214094123384,0.003474762253108998,0.18571689831748353,3
dbsnp,0.05280724213606437,0.05280724213606437,0.05280724213606437,1
litvar,0.05280724213606437,0.05280724213606437,0.05280724213606437,1
gmvp,0.05221287490855889,0.05221287490855889,0.05221287490855889,4
clinpred,0.019659839063643013,0.019659839063643013,0.019659839063643013,2
chasmplus_KICH,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_ESCA,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_GBM,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_HNSC,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_CHOL,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_LUSC,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_LUAD,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_LGG,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_DLBC,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_LIHC,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_KIRC,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_KIRP,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_CESC,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_BRCA,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_LAML,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_COAD,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_PCPG,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_MESO,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
chasmplus_SKCM,0.014036210680321872,0.014036210680321872,0.014036210680321872,4
