column,missing_frac,dtype,annotator
tagsampler__tags,1.0,float64,tagsampler
dida__funct,1.0,float64,dida
dida__pub,1.0,float64,dida
dida__all,1.0,float64,dida
fathmm__ens_tid,1.0,float64,fathmm
fathmm__ens_pid,1.0,float64,fathmm
fathmm__fathmm_score,1.0,float64,fathmm
fathmm__fathmm_rscore,1.0,float64,fathmm
fathmm__fathmm_pred,1.0,float64,fathmm
fathmm__score,1.0,float64,fathmm
fathmm__bp4_benign,1.0,float64,fathmm
fathmm__pp3_pathogenic,1.0,float64,fathmm
fathmm_xf_coding__bp4_benign,1.0,float64,fathmm_xf_coding
gerp__pp3_pathogenic,1.0,float64,gerp
grantham_scores__score,1.0,float64,grantham_scores
grasp__nhlbi,1.0,float64,grasp
grasp__pmid,1.0,float64,grasp
mavedb__score,1.0,float64,mavedb
mavedb__accession,1.0,float64,mavedb
metasvm__bp4_benign,1.0,float64,metasvm
mirbase__derives_from,1.0,float64,mirbase
dida__dist,1.0,float64,dida
dida__fam,1.0,float64,dida
mitomap__quartile,1.0,float64,mitomap
dida__relation,1.0,float64,dida
clinvar__sig_conf_incl,1.0,float64,clinvar
clinvar__dbvar_id,1.0,float64,clinvar
clinvar__gene_info,1.0,float64,clinvar
clinvar__onc_disease_name_incl,1.0,float64,clinvar
clinvar__onc_disease_refs_incl,1.0,float64,clinvar
clinvar__onc_classification_type,1.0,float64,clinvar
clinvar__onc_classification_conflicting,1.0,float64,clinvar
clinvar__somatic_disease_name_incl,1.0,float64,clinvar
clinvar__somatic_refs_incl,1.0,float64,clinvar
clinvar__somatic_impact_incl,1.0,float64,clinvar
dbcid__evidence,1.0,float64,dbcid
denovo__PubmedId,1.0,float64,denovo
denovo__PrimaryPhenotype,1.0,float64,denovo
denovo__Validation,1.0,float64,denovo
dida__id,1.0,float64,dida
dida__name,1.0,float64,dida
arrvars__other,1.0,float64,arrvars
dida__effect,1.0,float64,dida
arrvars__brs,1.0,float64,arrvars
mitomap__score,1.0,float64,mitomap
clinvar__sig_conf,1.0,float64,clinvar
oncokb__tumorSummary,1.0,float64,oncokb
oncokb__variantSummary,1.0,float64,oncokb
alfa_african__others_freq,1.0,float64,alfa_african
oncokb__geneSummary,1.0,float64,oncokb
oncokb__pmids,1.0,float64,oncokb
oncokb__highestPrognosticImplicationLevel,1.0,float64,oncokb
oncokb__highestDiagnosticImplicationLevel,1.0,float64,oncokb
alfa_african__others_alt,1.0,float64,alfa_african
oncokb__highestResistanceLevel,1.0,float64,oncokb
oncokb__highestSensitiveLevel,1.0,float64,oncokb
oncokb__hotspot,1.0,float64,oncokb
oncokb__knownEffect,1.0,float64,oncokb
alfa_african__american_freq,1.0,float64,alfa_african
alfa_african__american_alt,1.0,float64,alfa_african
alfa_african__african_alt,1.0,float64,alfa_african
alfa_african__african_freq,1.0,float64,alfa_african
oncokb__all,1.0,float64,oncokb
provean__bp4_benign,1.0,float64,provean
provean__pp3_pathogenic,1.0,float64,provean
oncokb__oncogenic,1.0,float64,oncokb
mutpred_indel__property,1.0,float64,mutpred_indel
mutpred_indel__rankscore,1.0,float64,mutpred_indel
swissprot_binding__binding,1.0,float64,swissprot_binding
swissprot_ptm__mod,1.0,float64,swissprot_ptm
base__note_variant,1.0,float64,base
mutpred_indel__score,1.0,float64,mutpred_indel
trinity__Rnaedit,1.0,float64,trinity
mutationtaster__pp3_pathogenic,1.0,float64,mutationtaster
mitomap__status,0.999954279444038,object,mitomap
mirbase__id,0.999954279444038,object,mirbase
hgdp__native_american_allele_freq,0.999954279444038,float64,hgdp
mirbase__transcript,0.999954279444038,object,mirbase
hgdp__oceanian_allele_freq,0.999954279444038,float64,hgdp
hgdp__middle_eastern_allele_freq,0.999954279444038,float64,hgdp
hgdp__european_allele_freq,0.999954279444038,float64,hgdp
hgdp__east_asian_allele_freq,0.999954279444038,float64,hgdp
hgdp__cs_asian_allele_freq,0.999954279444038,float64,hgdp
hgdp__african_allele_freq,0.999954279444038,float64,hgdp
mirbase__name,0.999954279444038,object,mirbase
mitomap__pubmed,0.999954279444038,object,mitomap
mitomap__disease,0.999954279444038,object,mitomap
swissprot_ptm__lipid,0.9999085588880761,object,swissprot_ptm
pseudogene__hugo,0.9999085588880761,object,pseudogene
pseudogene__transcript,0.9999085588880761,object,pseudogene
vista_enhancer__element,0.9997713972201902,object,vista_enhancer
swissprot_ptm__crosslnk,0.9997713972201902,object,swissprot_ptm
vista_enhancer__features,0.9997713972201902,object,vista_enhancer
funseq2__motif,0.9996342355523044,object,funseq2
alfa_asian__other_alt,0.9994056327724945,float64,alfa_asian
alfa_asian__south_freq,0.9994056327724945,float64,alfa_asian
alfa_asian__asian_freq,0.9994056327724945,float64,alfa_asian
alfa_asian__asian_alt,0.9994056327724945,float64,alfa_asian
alfa_asian__east_alt,0.9994056327724945,float64,alfa_asian
alfa_asian__east_freq,0.9994056327724945,float64,alfa_asian
alfa_asian__south_alt,0.9994056327724945,float64,alfa_asian
alfa_asian__other_freq,0.9994056327724945,float64,alfa_asian
swissprot_domains__peptide,0.9993599122165325,object,swissprot_domains
civic__description,0.9993599122165325,object,civic
funseq2__hot,0.9991770299926848,object,funseq2
arrvars__brs_penetrance,0.9991770299926848,float64,arrvars
arrvars__brs_structure,0.9991770299926848,object,arrvars
ncrna__ncrnaclass,0.9991313094367228,object,ncrna
ncrna__ncrnaname,0.9991313094367228,object,ncrna
cancer_genome_interpreter__responsive,0.9989941477688369,float64,cancer_genome_interpreter
swissprot_binding__ca,0.9989941477688369,object,swissprot_binding
cancer_genome_interpreter__other,0.9989941477688369,float64,cancer_genome_interpreter
cancer_genome_interpreter__all,0.9989941477688369,object,cancer_genome_interpreter
cancer_genome_interpreter__resistant,0.9989941477688369,float64,cancer_genome_interpreter
swissprot_ptm__carbohyd,0.998856986100951,object,swissprot_ptm
arrvars__function,0.9986283833211412,object,arrvars
cedar__epi_id,0.9985826627651793,float64,cedar
cedar__epi_alt,0.9985826627651793,object,cedar
cedar__epi_ref,0.9985826627651793,object,cedar
cedar__pubmed_id,0.9985826627651793,float64,cedar
aloft__all,0.9984912216532553,object,aloft
aloft__conf,0.9984912216532553,object,aloft
aloft__transcript,0.9984912216532553,object,aloft
