column,numeric_coercion_frac
sift__multsite,0.7347293343087052
omim__omim_id,0.2922915142648135
gwas_catalog__risk_allele_match,0.03762801755669349
litvar_full__pmids,0.03456474030724214
swissprot_domains__pubmed,0.019568397951719094
swissprot_ptm__pubmed,0.009921360643745427
regulomedb__dnase_footprint,0.005440746159473299
regulomedb__eqtl,0.005440746159473299
regulomedb__tf_binding,0.005440746159473299
regulomedb__dnase_peak,0.005440746159473299
regulomedb__motif,0.005440746159473299
regulomedb__matched_dnase_footprint,0.005440746159473299
regulomedb__matched_tf_motif,0.005440746159473299
regulomedb__ra,0.004434893928310168
swissprot_binding__pubmed,0.004114850036576445
swissprot_domains__repeat,0.0026060716898317483
swissprot_binding__ca,0.00022860277980980248
mitomap__status,0.0
mutation_assessor__impact,0.0
mistic__pp3_pathogenic,0.0
mupit__hugo,0.0
mistic__bp4_benign,0.0
mupit__link,0.0
mitomap__pubmed,0.0
mutation_assessor__transcript,0.0
mitomap__disease,0.0
genehancer__ident,0.0
mutation_assessor__bp4_benign,0.0
mirbase__name,0.0
ncrna__ncrnaname,0.0
ncrna__ncrnaclass,0.0
mutpred2__all_annotations,0.0
mutpred2__top5_mechanisms,0.0
mutpred2__pp3_pathogenic,0.0
mutpred2__bp4_benign,0.0
mutpred1__mutpred_top5_mechanisms,0.0
mutpred1__pp3_pathogenic,0.0
mutpred1__bp4_benign,0.0
mutpred1__amino_acid_substitution,0.0
mutpred1__external_protein_id,0.0
mutpred1__transcript,0.0
mutationtaster__all,0.0
mutationtaster__bp4_benign,0.0
mutationtaster__model,0.0
mutationtaster__prediction,0.0
mutationtaster__transcript,0.0
mutation_assessor__all,0.0
mutation_assessor__pp3_pathogenic,0.0
mistic__pred,0.0
metasvm__pred,0.0
mirbase__id,0.0
gwas_catalog__disease,0.0
haploreg_amr__all,0.0
haploreg_afr__all,0.0
gwas_catalog__all_annots,0.0
gwas_catalog__ci,0.0
gwas_catalog__risk_allele,0.0
gwas_catalog__rep_samp,0.0
gwas_catalog__init_samp,0.0
gtex__gtex_tissue,0.0
haploreg_eur__all,0.0
gtex__gtex_gene,0.0
grasp__all,0.0
grasp__phenotype,0.0
gmvp__all_annotations,0.0
gmvp__transcript,0.0
geuvadis__gene,0.0
gerp__bp4_benign,0.0
haploreg_asn__all,0.0
hg19__chrom,0.0
mirbase__transcript,0.0
metarnn__transcript,0.0
metasvm__pp3_pathogenic,0.0
genehancer__target_genes,0.0
original_input__chrom,0.0
metarnn__pp3_pathogenic,0.0
metarnn__bp4_benign,0.0
metarnn__all_annotations,0.0
metarnn__pred,0.0
metalr__pp3_pathogenic,0.0
interpro__domain,0.0
metalr__bp4_benign,0.0
metalr__pred,0.0
lrt__lrt_pred,0.0
litvar_full__rsid,0.0
litvar__rsid,0.0
javierre_promoters__regions,0.0
interpro__all,0.0
base__chrom,0.0
phdsnpg__prediction,0.0
original_input__ref_base,0.0
swissprot_ptm__carbohyd,0.0
swissprot_ptm__crosslnk,0.0
swissprot_ptm__uniprotkb,0.0
swissprot_domains__all,0.0
swissprot_domains__transmem,0.0
swissprot_domains__topo,0.0
swissprot_domains__peptide,0.0
swissprot_domains__motif,0.0
swissprot_domains__intramem,0.0
swissprot_domains__domain,0.0
swissprot_domains__uniprotkb,0.0
swissprot_binding__all,0.0
swissprot_binding__zn,0.0
swissprot_binding__np,0.0
swissprot_binding__metal,0.0
swissprot_binding__dna,0.0
swissprot_ptm__disulfid,0.0
swissprot_ptm__init,0.0
swissprot_binding__uniprotkb,0.0
swissprot_ptm__lipid,0.0
vista_enhancer__features,0.0
vista_enhancer__element,0.0
vest__all,0.0
vest__pp3_pathogenic,0.0
vest__bp4_benign,0.0
vest__transcript,0.0
varity_r__p_vid,0.0
varity_r__pp3_pathogenic,0.0
varity_r__bp4_benign,0.0
uniprot_domain__domain,0.0
ucscgenomebrowser__link,0.0
swissprot_ptm__all,0.0
swissprot_ptm__transit,0.0
