model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
CatBoost,sklearn,0.9896554444126894,0.0029994819078416825,0.9896553482238637,0.002999602832755326,0.9894857142857143,0.9894855555304776,0.9894855461919343,0.9790046113648672,,7.51
XGBoost,sklearn,0.9900555423998695,0.0032851709073574865,0.9900554580603815,0.0032852670089889733,0.9881142857142857,0.988114145994859,0.9881141366802305,0.97625472440938,,4.67
LightGBM,sklearn,0.9898841138284407,0.0030209048068298985,0.9898840581584274,0.003020972603544412,0.9881142857142857,0.988114061540635,0.9881140497420218,0.9762694246276179,,11.37
LogisticRegression,sklearn,0.9877120483403422,0.0025726494520034427,0.9877118859767806,0.0025727399617374194,0.9867428571428571,0.9867423522050486,0.9867423335036484,0.9735655477717889,,2.57
RandomForest,sklearn,0.9873120646715389,0.0028116958273529903,0.9873120146269528,0.0028117221675035393,0.9860571428571429,0.9860570379605402,0.9860570292191567,0.9721314888948539,,9.88
ExtraTrees,sklearn,0.9878264157106112,0.0024633694515983893,0.9878263918120016,0.002463384796684412,0.9856,0.98559985254249,0.9855998420098107,0.9712228774821572,,1.13
ShallowNN_MLP,sklearn,0.9875406197689136,0.0033181651163795736,0.9875405904987705,0.0033181696020386005,0.9851428571428571,0.9851424814477594,0.9851424643707096,0.9703394209851803,,7.91
CNN1D,torch,0.9813110521373455,0.004972751282214545,0.9813082497926369,0.004976341426352021,0.9819428571428571,0.981942853369282,0.9819428552560695,0.9638858093416202,,14.0
RNN,torch,0.9387318989098926,0.016859288015183573,0.938717442975142,0.01687487319990092,0.9428571428571428,0.9428505472971223,0.9428504069660578,0.8859281588261905,,206.2
LSTM,torch,0.93341436328747,0.022581616078063665,0.9334064054356007,0.022587324615927766,0.9131428571428571,0.9131400208986415,0.9131401343484102,0.826335005227202,,63.32
