model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.9893124729514554,0.0023616911401603477,0.9893124053115179,0.002361757445802537,0.9874285714285714,0.9874283087058799,0.9874282955697455,0.9749021210464124,0.9991024326061679,10.22
LinearSVC,sklearn,0.9870262850610377,0.002027238652126024,0.9870260534974677,0.0020274002378040615,0.9860571428571429,0.9860563968914504,0.9860563735800225,0.9722250148442309,,0.54
AdaBoost,sklearn,0.9874263503858245,0.0025881508358201674,0.9874263020253066,0.0025882090478724514,0.9856,0.98559985254249,0.9855998420098107,0.9712228774821572,0.9990386938273278,35.83
SGDClassifier,sklearn,0.9857117380476055,0.0029006777754380327,0.9857116795445776,0.002900724411739343,0.9856,0.9855995666468775,0.9855995485904974,0.9712635049277165,0.9976824162054487,0.13
DecisionTree,sklearn,0.9844546441840526,0.0027292053007077787,0.9844543831776719,0.00272921846574169,0.9821714285714286,0.9821710923109525,0.9821710746130327,0.9643832377571496,0.9886487504273633,1.69
RidgeClassifier,sklearn,0.9830257134691547,0.003027867907314418,0.9830237745020792,0.003029031607871446,0.9796571428571429,0.9796546938469681,0.979654642825923,0.9595552528849267,,0.05
LDA,sklearn,0.9835401135018168,0.0030073879043537827,0.9835383509670026,0.003008520484410601,0.9796571428571429,0.9796544854838183,0.9796544323363519,0.9595753245195884,0.9918586771256778,0.1
QDA,sklearn,0.9642795247621769,0.0018203223948803015,0.9642755171137747,0.0018201134444374583,0.9629714285714286,0.9629684858810528,0.9629684104274534,0.9260980029335332,0.981643022714411,0.15
KNN,sklearn,0.9648508880088189,0.004038709886722119,0.9648485119428065,0.004039530890627754,0.9620571428571428,0.9620556976903114,0.962055644165614,0.9241902160976281,0.9912276632151595,0.03
NearestCentroid,sklearn,0.9002109827297595,0.007150668538554028,0.90005160064552,0.007185357849269818,0.8939428571428572,0.8938356923774655,0.8938349214079303,0.7895073289809321,0.9711149437970257,0.05
CosineSimilarity,sklearn,0.8992393581839708,0.007248307287059423,0.8990723576662483,0.007286417867768929,0.8937142857142857,0.8936114801861237,0.8936107242631225,0.7889804031938766,,0.04
