model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
LinearSVC,sklearn,0.9843401135018169,0.0030340733903038426,0.9843399615458772,0.0030341194367375936,0.9830857142857143,0.9830853245715925,0.9830853060137772,0.9662203703062422,,0.4
HistGradientBoosting,sklearn,0.9846259584371044,0.0026756879780306243,0.9846258743210538,0.0026757017048816565,0.9826285714285714,0.9826282437901588,0.9826282265460318,0.9652975598241087,0.9983486431790313,32.64
SGDClassifier,sklearn,0.9816538439554158,0.003778124489800103,0.9816537093534736,0.003778094684638733,0.9817142857142858,0.981714009618222,0.9817139933772772,0.9634612564206758,0.9974356112945952,0.15
AdaBoost,sklearn,0.9798250765524845,0.003237323697100734,0.9798250179916999,0.003237337755719193,0.9798857142857142,0.9798855366873183,0.9798855230259031,0.9597911419866823,0.997635186815226,37.43
LDA,sklearn,0.9793676560649981,0.004308844201392837,0.9793676175934405,0.004308850657134566,0.9782857142857143,0.9782854238599057,0.9782854057082927,0.9566003907713698,0.9955955458923388,0.12
RidgeClassifier,sklearn,0.9785675580778183,0.004791527590920417,0.9785675204808351,0.004791539421787266,0.9780571428571428,0.9780569491134381,0.978056934210076,0.956133929388073,,0.05
DecisionTree,sklearn,0.974281353856204,0.0035280737229098523,0.974280890939555,0.003528033948095776,0.9753142857142857,0.9753123239207018,0.9753122736183022,0.9507877433656861,0.9884664157239597,1.74
KNN,sklearn,0.9628505450536888,0.004128854355475273,0.9628477493845541,0.004129683962278763,0.9609142857142857,0.9609119249860066,0.960911855552822,0.9219468691294564,0.9909142983008286,0.03
QDA,sklearn,0.9466764218348098,0.002186660694076481,0.9466432683541122,0.002193708647545889,0.9492571428571429,0.9492321868092441,0.9492319295303998,0.8994183388336651,0.9745481652008838,0.2
NearestCentroid,sklearn,0.9024971869513738,0.005321995844204781,0.9023392763140391,0.005354505772475176,0.8976,0.8975136390522396,0.897512959044777,0.796567553740339,0.9637175883085107,0.07
CosineSimilarity,sklearn,0.9016970726329971,0.005346814733675872,0.9015361632816496,0.005377131153864212,0.8969142857142857,0.8968259707666307,0.8968252808061021,0.7952152386407894,,0.14
