model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.9889124892826521,0.0031325439053278186,0.9889123577420278,0.0031327092705453587,0.9876571428571429,0.9876570338763089,0.9876570254931679,0.975334295530772,0.9988936619830159,30.18
AdaBoost,sklearn,0.987083509574164,0.00199418220032878,0.9870834407234854,0.0019942473040571967,0.9869714285714286,0.9869713305532917,0.9869713223851136,0.9739600902261514,0.9990393207661359,39.41
LinearSVC,sklearn,0.9881693055158618,0.0031348553795081443,0.9881691766754669,0.003134915126654725,0.9867428571428571,0.9867423522050486,0.9867423335036484,0.9735655477717889,,0.28
SGDClassifier,sklearn,0.986511754378802,0.003396873554497387,0.986511670840571,0.0033968671553120207,0.9844571428571428,0.9844568497069841,0.9844568342780284,0.9689548480919451,0.9976291264067462,0.13
DecisionTree,sklearn,0.9844546441840526,0.0027292053007077787,0.9844543831776719,0.00272921846574169,0.9821714285714286,0.9821710923109525,0.9821710746130327,0.9643832377571496,0.9886487504273633,1.7
LDA,sklearn,0.9837115420732454,0.003070724343029718,0.9837098855309847,0.003071820505581296,0.9801142857142857,0.9801116880572156,0.9801116361040743,0.9604898539895698,0.9921839538773657,0.12
RidgeClassifier,sklearn,0.9835400808394235,0.003034661974330174,0.9835383432292378,0.0030358202452803558,0.9796571428571429,0.9796544854838183,0.9796544323363519,0.9595753245195884,,0.05
KNN,sklearn,0.9673655656718246,0.004140841749383946,0.967363880098578,0.004141696895131606,0.9657142857142857,0.9657131661442007,0.9657131213613973,0.9314945523219852,0.991659624054054,0.03
QDA,sklearn,0.9653654186910545,0.0019754032964951827,0.9653617849747697,0.0019755124644613457,0.9638857142857142,0.9638828442543601,0.9638827706638124,0.9279268725951741,0.9816384251631504,0.32
NearestCentroid,sklearn,0.9060978728616339,0.004980094922967531,0.9059474693383691,0.005012643982226789,0.8996571428571428,0.8995764708736602,0.8995758202931484,0.8006250741118252,0.9720616213975052,0.06
CosineSimilarity,sklearn,0.904897676887274,0.0048964665047255985,0.904745001833622,0.004928731223833785,0.8989714285714285,0.8988888888888888,0.8988882285714287,0.799272470643255,,0.04
