model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.9334172733324039,0.0035360629424203145,0.9334120464547352,0.003536015456791039,0.9339449541284404,0.9339449402291349,0.9339449124305237,0.8678934178388742,0.9844895080292129,9.59
DecisionTree,sklearn,0.9181621678685972,0.004157351490289868,0.91814558208065,0.004155854975613404,0.9130733944954128,0.9130632920635977,0.9130641518450289,0.826304261944154,0.9701326446701832,0.46
LinearSVC,sklearn,0.8723402355538132,0.005504539969551049,0.8713382948856732,0.005509238647352736,0.8869266055045871,0.8862058200375018,0.8861975112713107,0.7841138003191584,,9.71
LDA,sklearn,0.83185172712276,0.009820332982340954,0.8293300816567285,0.010241238565849322,0.8318807339449541,0.8293106878434042,0.8293299031413598,0.6843058136581806,0.9194618882769869,0.09
SGDClassifier,sklearn,0.7883810904460342,0.007955682659785333,0.78639037279839,0.008337973024232283,0.7919724770642201,0.7911171381380885,0.7911048752144164,0.5889768680266019,0.8619147057610518,0.16
RidgeClassifier,sklearn,0.731547484365257,0.010482786305828027,0.729448684714182,0.010625472430166054,0.7438073394495412,0.7418359485802891,0.7418152515632891,0.49548286323480495,,0.04
KNN,sklearn,0.6725920226634708,0.008645189466208143,0.6724938213584407,0.008643103446842472,0.6892201834862385,0.6890186220879316,0.6890113586141188,0.3789975790249331,0.75762299690514,0.02
QDA,sklearn,0.639214543270812,0.00840740645923197,0.5861772360050977,0.012275443473607048,0.648394495412844,0.5998213173694856,0.5996934090665407,0.4151813786085011,0.8427990849247412,0.13
CosineSimilarity,sklearn,0.6307270385678918,0.006141708017752536,0.5815815685567166,0.01026012289281721,0.6385321100917432,0.5930213963224945,0.5928965383972016,0.37392303512887215,,0.03
NearestCentroid,sklearn,0.6148410840526937,0.008561161772738636,0.5503655941522766,0.013863364238531488,0.625,0.5670603668563048,0.5669150637010854,0.36826027557961727,0.7633330639955088,0.04
