model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.9895411097048136,0.0023872867253319644,0.9895410372525415,0.002387368488564293,0.9872,0.9871998495329252,0.9871998395017868,0.9744261070274519,0.9989538481086092,4.12
LinearSVC,sklearn,0.9876549054831992,0.0031853842594447364,0.9876547720726545,0.0031854518724297944,0.9867428571428571,0.9867423522050486,0.9867423335036484,0.9735655477717889,,0.18
SGDClassifier,sklearn,0.9859974849957129,0.0030982825614714626,0.9859973909095198,0.0030983331751444215,0.9846857142857143,0.9846853942417082,0.984685378239508,0.9694161657137335,0.9977808455983461,0.11
DecisionTree,sklearn,0.9844546441840526,0.0027292053007077787,0.9844543831776719,0.00272921846574169,0.9821714285714286,0.9821710923109525,0.9821710746130327,0.9643832377571496,0.9886487504273633,1.41
LDA,sklearn,0.9837115420732454,0.003070724343029718,0.9837098855309847,0.003071820505581296,0.9801142857142857,0.9801116880572156,0.9801116361040743,0.9604898539895698,0.992186775102003,0.08
RidgeClassifier,sklearn,0.9835400808394235,0.003034661974330174,0.9835383432292378,0.0030358202452803558,0.9796571428571429,0.9796544854838183,0.9796544323363519,0.9595753245195884,,0.04
KNN,sklearn,0.9665083411586984,0.004333012997591315,0.9665058945924676,0.004334240100151554,0.9652571428571428,0.9652556162598283,0.9652555636185415,0.9306020180490383,0.9918092534496263,0.02
QDA,sklearn,0.9649653533662679,0.0015488983322816282,0.9649618438556831,0.0015489716060672946,0.9650285714285715,0.965025932927851,0.9650258634936214,0.9302052713607144,0.9820620268179344,0.1
NearestCentroid,sklearn,0.9060978401992406,0.005134190461496334,0.9059451961733324,0.005164479425726166,0.8996571428571428,0.8995711777528844,0.8995705061505075,0.8007104424770707,0.972292230389145,0.04
CosineSimilarity,sklearn,0.9051834564977748,0.004837353623500817,0.9050303105512286,0.004867461498847545,0.8992,0.8991136432551754,0.8991129685931065,0.7997945751710237,,0.03
