model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.9553571428571429,0.0014836860573278015,0.9476016824976112,0.001453685740167623,0.9492673992673992,0.940503168232044,0.9495107668077731,0.9209012178852084,0.994469572391573,6.56
DecisionTree,sklearn,0.9257783882783883,0.007103344148215899,0.915242362330526,0.008043170949579643,0.9161172161172161,0.9053179515733815,0.9179679637234353,0.8728520154355203,0.978424063026603,1.91
LinearSVC,sklearn,0.899496336996337,0.004952680323439528,0.876499577639164,0.006381779655891838,0.8928571428571429,0.8687984674900556,0.893283666521731,0.8327028316756867,,2.63
AdaBoost,sklearn,0.8874542124542124,0.005949298300106998,0.855140006250598,0.009469154630097443,0.8917582417582418,0.8627646230858256,0.8892699871736505,0.8305703815940064,0.976199077502936,43.66
SGDClassifier,sklearn,0.889514652014652,0.0014168267808393926,0.8619895754355733,0.0032831798475827334,0.8855311355311355,0.8571079047328594,0.8845347117995654,0.8205647030544768,0.9666897149583238,0.19
RidgeClassifier,sklearn,0.8779761904761905,0.003434065934065922,0.852691881158026,0.003803644833025416,0.8723443223443224,0.8469662061756248,0.8746046561267108,0.8021197736722477,,0.05
LDA,sklearn,0.879624542124542,0.002874969336254679,0.8420035073784169,0.003598104479238053,0.8778388278388278,0.8421486351112689,0.8745885585396319,0.8083724558718658,0.9605976057440925,0.11
QDA,sklearn,0.871474358974359,0.00517672704821729,0.8430787655784121,0.006361136462558008,0.8554945054945055,0.8239294707966848,0.8526801935926724,0.7732941932834115,0.9557567737646152,0.18
KNN,sklearn,0.8454212454212454,0.0019113215627052863,0.7828308646280234,0.004265891118067108,0.8351648351648352,0.7707625758153155,0.8184773353224981,0.7431748806529898,0.948187130152461,0.03
CosineSimilarity,sklearn,0.757554945054945,0.007170540184691286,0.6723180653495169,0.009442792923302138,0.7518315018315018,0.6665281462643561,0.7289503961081437,0.6073149579320637,,0.04
NearestCentroid,sklearn,0.7088827838827839,0.005481612620668944,0.6546752516369018,0.005715771247783874,0.6913919413919414,0.6378164249137855,0.6978619801877447,0.5228732364772505,0.8471384393076145,0.05
