model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.9486721611721611,0.0029291506596267215,0.939473290801279,0.0032671324005515384,0.9476190476190476,0.9385748242673672,0.9480322725370357,0.9185365641761908,0.99369280406041,4.25
DecisionTree,sklearn,0.9208791208791208,0.00697152036243958,0.9101713656735855,0.007630314367085712,0.9172161172161172,0.9065184793750317,0.9191469372419548,0.8745022582846671,0.9785096493426924,1.07
AdaBoost,sklearn,0.8954212454212455,0.004789670565825083,0.8666807658339073,0.007408538218791905,0.8963369963369964,0.8690060723195633,0.894336581269336,0.8376727747522901,0.9772692579301708,24.76
LinearSVC,sklearn,0.8893315018315018,0.004229465769745267,0.8640108173183394,0.005319780324854573,0.8813186813186813,0.855556658308141,0.8820570280385985,0.8148524303812479,,8.62
SGDClassifier,sklearn,0.8842490842490843,0.00427874754657199,0.8554600475358256,0.004448107697068492,0.8778388278388278,0.8473185286500278,0.8768625245886027,0.8085988884257728,0.9663404768514036,0.11
RidgeClassifier,sklearn,0.8652472527472529,0.003711334089589629,0.8373675098833848,0.0041240346659741625,0.8626373626373627,0.8345733564832475,0.8645495911086083,0.7865472728728459,,0.03
LDA,sklearn,0.8675824175824177,0.0031829755112526598,0.8249122318616987,0.0041913256352456175,0.8653846153846154,0.8238169323003746,0.8606370256407199,0.7889022673060292,0.9532124444819496,0.06
KNN,sklearn,0.858653846153846,0.0019866202518239082,0.8022782714993497,0.0026771881478867424,0.8532967032967033,0.797344911177715,0.8399979394841043,0.7718144974447926,0.9567392531659414,0.01
QDA,sklearn,0.8146978021978022,0.004626015251535011,0.7847263335374849,0.004560453289531066,0.813003663003663,0.7842213696131886,0.8180904701479377,0.7211279758624102,0.9565509171853335,0.06
CosineSimilarity,sklearn,0.7814102564102565,0.004528108174020539,0.7043748459144655,0.007813995488121674,0.7712454212454213,0.6946392543439633,0.7533493498308287,0.6395695651053175,,0.02
NearestCentroid,sklearn,0.7388278388278388,0.006696966651309996,0.6875995256402864,0.00706749119532536,0.7315018315018315,0.6816979589384408,0.7365582894509777,0.5856764800722148,0.8676892860364099,0.03
