model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.7957935083493243,0.00423555088420927,0.7958478073199521,0.0044575138184924454,0.7965714285714286,0.7964987511474378,0.7964700199357693,0.7292048662471738,0.9473521325832784,113.0
LinearSVC,sklearn,0.7573865675907402,0.007886600994690593,0.7581327159733929,0.007891905715206192,0.7549714285714286,0.7555932559443037,0.7555628320269688,0.6743633987439109,,24.3
DecisionTree,sklearn,0.7475562813865186,0.007679120918660548,0.7461330441520898,0.009926685815851724,0.7529142857142858,0.750949124133605,0.7509158571933218,0.6728290047397597,0.9210178350598568,1.92
AdaBoost,sklearn,0.7009195770220062,0.016113605931012187,0.6911756883531395,0.019396668100657474,0.7236571428571429,0.7176890342750922,0.7176530904758455,0.6368202301129863,0.8691415126054655,39.06
SGDClassifier,sklearn,0.7264679051157473,0.005488648694997743,0.7194224803367646,0.005387548786651052,0.7222857142857143,0.7154833139752425,0.7154551223920442,0.6341831093273681,0.9209476614312532,0.18
LDA,sklearn,0.7036632343935002,0.0074917981140711866,0.7045038534475797,0.007547059400075747,0.7017142857142857,0.7026525435899287,0.7026329061728763,0.6024065973876416,0.9185144637739489,0.58
RidgeClassifier,sklearn,0.7030918384844649,0.004812334074029634,0.703668979601537,0.0049338229211574785,0.6978285714285715,0.6982710554355054,0.6982526086501789,0.5972272304150701,,0.06
KNN,sklearn,0.6562264647042012,0.005678397444350717,0.6556389967949686,0.006192343495412879,0.6612571428571429,0.6609231148262076,0.6609184385192481,0.5487581781307506,0.903526587743069,0.07
QDA,sklearn,0.6490255828195811,0.0029043351854379966,0.6266503121501724,0.004926691628876877,0.6413714285714286,0.6153739247244225,0.6153414773064627,0.5491688879683937,0.9073669459842372,0.77
CosineSimilarity,sklearn,0.5576381823378108,0.01222617371261433,0.5492201546504168,0.011996826209713717,0.5602285714285714,0.5520381405210243,0.5520130893261562,0.42353044882659935,,0.06
NearestCentroid,sklearn,0.5586102151635162,0.013265147568646388,0.5591139783375649,0.012645747076344473,0.5499428571428572,0.5504111265719928,0.5504070757948943,0.4016788301642039,0.8707221876475888,0.11
