model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.7971078103948066,0.00271289990599765,0.7971810591443239,0.0027432198984636506,0.8004571428571429,0.8004318688692413,0.8004035876375553,0.7343443407479514,0.9475969836469688,101.65
LinearSVC,sklearn,0.758015416649655,0.008240971601600968,0.7587782427931098,0.00829947168943551,0.7540571428571429,0.754719852501444,0.7546894904910285,0.67321057813056,,27.75
DecisionTree,sklearn,0.7475562813865186,0.007679120918660548,0.7461330441520898,0.009926685815851724,0.7533714285714286,0.7514090067859782,0.751375626674925,0.6734617009504017,0.9210448697175573,1.83
SGDClassifier,sklearn,0.7290970971297922,0.006785524608813525,0.7224294532560152,0.007305883580962708,0.7266285714285714,0.7198803772795345,0.7198508550481432,0.6402175491986521,0.9219208201936249,0.27
LDA,sklearn,0.7051492916343445,0.008095997953422428,0.7060171963077516,0.00818909498485131,0.7008,0.7017315205628887,0.7017121247667472,0.6011896113257925,0.9182168766183318,0.48
RidgeClassifier,sklearn,0.7023488506920346,0.00485734966251411,0.702951908502661,0.0050079451772619184,0.6978285714285715,0.69834776139244,0.6983290015453295,0.597269381806912,,0.06
AdaBoost,sklearn,0.7000622708528967,0.01606722396891551,0.687852477422736,0.01642354500208716,0.7126857142857143,0.6971156983020869,0.6970773273626468,0.6297495575306257,0.8665338493920884,38.04
KNN,sklearn,0.6559980239252031,0.005558000897340431,0.655406708383386,0.005886391298688442,0.6605714285714286,0.6602807704518091,0.660274732849862,0.547809277725489,0.9032342683776716,0.04
QDA,sklearn,0.648511019474952,0.00382476079119863,0.6260084236885505,0.006838323147582075,0.6413714285714286,0.6147688367042996,0.6147361063548129,0.5493990266558632,0.9070773587854544,0.65
CosineSimilarity,sklearn,0.5586097088964194,0.010791531961254918,0.5503677450135551,0.010466035681388083,0.56,0.5517200743204977,0.5516957426998756,0.4233664108221322,,0.07
NearestCentroid,sklearn,0.5598103948066794,0.013687476361614135,0.5600977901678282,0.012986521822467702,0.5497142857142857,0.5499696094573246,0.5499642922656046,0.4015943442502604,0.8715718022949859,0.08
