model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.7958503409137305,0.005677200268848732,0.7959468505399742,0.005687760757934264,0.7936,0.7935954271703788,0.7935665749734929,0.7252328030128637,0.9465532113972839,91.4
LinearSVC,sklearn,0.7571008696362226,0.007133612794766859,0.7580270115418443,0.007181549686575672,0.7536,0.7544519946364269,0.7544212662034548,0.6725218761437304,,37.08
DecisionTree,sklearn,0.7472133099252847,0.008252943750550301,0.7455024384963493,0.010638166309621435,0.7529142857142858,0.750949124133605,0.7509158571933218,0.6728290047397597,0.9210178350598568,1.86
SGDClassifier,sklearn,0.7273251786224636,0.004567947969308043,0.7199713946401798,0.00548693766009788,0.7266285714285714,0.7211009013888895,0.7210725319054803,0.6391147157958157,0.9214628176732309,0.18
AdaBoost,sklearn,0.6982342220226189,0.008895672795819601,0.6877480919883368,0.009807727822869091,0.7202285714285714,0.7127728351271877,0.7127378250257344,0.6330858332005619,0.8783687652803885,38.57
LDA,sklearn,0.7032061731923406,0.006132992638836503,0.7041992888821997,0.006204815835090105,0.6980571428571428,0.699234698220244,0.6992140398563432,0.5977152058181888,0.9179043773752019,0.56
RidgeClassifier,sklearn,0.7031490956599844,0.005205530959759561,0.7039639408515276,0.005314167487204013,0.6971428571428572,0.6979152037967856,0.6978954037966584,0.5965393227456375,,0.05
KNN,sklearn,0.6527973543461398,0.00504610962174116,0.6523464055302013,0.005563534531335541,0.6576,0.6574394246065953,0.6574340314504464,0.5438533158634531,0.9001249972524124,0.06
QDA,sklearn,0.6467964234679295,0.0025445878664916064,0.6243846368271104,0.004761383103128686,0.6409142857142858,0.6147472421914052,0.614715406965776,0.5489041921953917,0.9056689672323093,0.63
CosineSimilarity,sklearn,0.5548375617523373,0.010360590993495745,0.5465442698121279,0.010427439451977286,0.5577142857142857,0.5500411149194483,0.5500172188002375,0.4199313356171028,,0.07
NearestCentroid,sklearn,0.5568383783121709,0.013934392371792679,0.5573284180759237,0.013208915866344269,0.5456,0.5461243327084184,0.5461209190875527,0.3958507357997311,0.8669473449572023,0.09
