model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.7787619319805659,0.004658012496999526,0.7787396810862555,0.004822333674081404,0.7817142857142857,0.781694731228771,0.781662586002289,0.7093142300104315,0.9420043175185115,56.73
DecisionTree,sklearn,0.7476140938227248,0.009183304358637364,0.7444427364012978,0.010634614181207827,0.7483428571428571,0.7468689829759084,0.7468331158751083,0.6663383767635339,0.9203794731783024,1.2
LinearSVC,sklearn,0.7407552361899318,0.005201101514739685,0.7414365898704157,0.0052884829410163,0.7312,0.7317476259974087,0.7317125792406164,0.6429224186505699,,24.83
SGDClassifier,sklearn,0.7200093904380843,0.002186877042635006,0.7128038612875682,0.007473881864618256,0.7161142857142857,0.7123326652264947,0.7122978589530843,0.6239690995870624,0.9156860389194569,0.15
AdaBoost,sklearn,0.6873743355244355,0.01041677003313736,0.6755405530791434,0.0064424651330106065,0.7024,0.6948417106095556,0.6948055579035585,0.6092981581557239,0.8715934383709849,21.72
LDA,sklearn,0.6930897317600947,0.01098543630147716,0.6942283925088677,0.011152559336286332,0.6813714285714285,0.6824930311314638,0.682468313001627,0.5754125691598083,0.9088126145859445,0.1
RidgeClassifier,sklearn,0.6852598375045932,0.010689449165285185,0.6859610600021574,0.0107606276993703,0.6745142857142857,0.6751295261499357,0.6751048275637511,0.566446188510865,,0.08
KNN,sklearn,0.6470242599926509,0.01622900473847507,0.6473945034785722,0.01629381174688426,0.6432,0.643665117305392,0.6436499132710335,0.5248686612191924,0.8988461480613462,0.02
QDA,sklearn,0.6307934838525292,0.003677329229291192,0.5994002132334786,0.006626404971571446,0.6249142857142858,0.5895150077782113,0.5894789243894165,0.532474953927053,0.9018997642196394,0.19
NearestCentroid,sklearn,0.5080866533295227,0.012422205664759796,0.509515319604162,0.012154778284969546,0.5042285714285715,0.5060963959435791,0.5060917450023938,0.341459577459645,0.8597494258209555,0.04
CosineSimilarity,sklearn,0.500999534560895,0.009484105430238381,0.48605382224646904,0.009821750668050045,0.49782857142857145,0.4832835225511105,0.4832585618515372,0.3433554589439756,,0.03
