model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.7938497693218471,0.005519686251801776,0.793869991993314,0.005574413839446352,0.7995428571428571,0.7994588232996339,0.7994304749507642,0.7331962295232438,0.9470542029270932,74.93
LinearSVC,sklearn,0.7576724451884213,0.007306962606234076,0.7584539301626063,0.007364117528219018,0.7545142857142857,0.7551020647047896,0.7550716377206357,0.6737554835965495,,13.96
DecisionTree,sklearn,0.7475562813865186,0.007679120918660548,0.7461330441520898,0.009926685815851724,0.7529142857142858,0.750949124133605,0.7509158571933218,0.6728290047397597,0.9210178350598568,1.81
SGDClassifier,sklearn,0.726353848038215,0.007100442428127385,0.7193142866340779,0.00896091033592529,0.7211428571428572,0.7140011830791276,0.7139728243486844,0.6327036234459863,0.9201692885057225,0.2
LDA,sklearn,0.7046921487772017,0.007436062272556317,0.7055374083342624,0.007478254334964694,0.7005714285714286,0.7014835394107382,0.7014635092148872,0.6008978393434252,0.9185518329553657,0.11
RidgeClassifier,sklearn,0.7020630710815335,0.005519509753334338,0.7026332127617054,0.005644340185484904,0.6992,0.6996690616547232,0.6996506941281178,0.5990551663051601,,0.05
AdaBoost,sklearn,0.7038339933858653,0.017324614647200066,0.6944738147058811,0.016017253419098917,0.7058285714285715,0.6983497265201666,0.6983136719294545,0.613490800849497,0.8648773847379849,36.94
KNN,sklearn,0.6550833789245907,0.007364962329121737,0.6543282834098068,0.007952077261441615,0.6656,0.6653457886534009,0.6653383540129959,0.5545090870119622,0.9030383533903017,0.03
QDA,sklearn,0.6489684073000449,0.002743135179562559,0.6263327928131902,0.005340407742127546,0.6409142857142858,0.6140711434617706,0.6140381440738779,0.5490009821292513,0.9069254237959186,0.12
CosineSimilarity,sklearn,0.5591241742538685,0.009750446391521466,0.5507207122842217,0.009394154981153558,0.5620571428571428,0.553711562529988,0.5536866041581257,0.4260696259244188,,0.04
NearestCentroid,sklearn,0.5605533499367167,0.013906083181142948,0.5608771690975174,0.013184800102983531,0.5510857142857143,0.5514029819836793,0.5513988501016415,0.40330138088257683,0.8706216313754838,0.05
