model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.7980151703706821,0.004747326260703567,0.7977963834786355,0.004771713002816568,0.7951834862385321,0.7947825774522852,0.7949115337890429,0.7270988038950519,0.9477419158956385,27.87
LinearSVC,sklearn,0.7646380034097817,0.007972522865011862,0.7650683746852752,0.007688071538487504,0.7655963302752293,0.7657097535417827,0.7658282191064931,0.6881582629757809,,32.97
DecisionTree,sklearn,0.7554046254370755,0.004685738811883729,0.7552486450525745,0.005040411276318599,0.7584862385321101,0.7573635342790153,0.7575045015134994,0.679298554961883,0.9252835793395338,1.74
SGDClassifier,sklearn,0.7301141790082692,0.009083172349037714,0.724659237112865,0.012434834046841032,0.7279816513761468,0.7209282869235227,0.7210614340280058,0.643073268820633,0.9206270687360021,0.28
LDA,sklearn,0.7098122482457778,0.00519269483862621,0.710493665254764,0.005026669944518651,0.7107798165137614,0.7111339695481589,0.7112082440723504,0.6144386739056917,0.9267090036030956,0.19
RidgeClassifier,sklearn,0.7096975035715885,0.005445200827527647,0.7100907972433197,0.005309968196311656,0.7032110091743119,0.7033491015615465,0.7034163982534424,0.6043555552806213,,0.08
QDA,sklearn,0.6725347818765901,0.009757014955444827,0.6636567666960332,0.009701314007578326,0.675,0.6620586669485926,0.6621258432590953,0.584459985270589,0.9128479222129648,0.24
KNN,sklearn,0.6065264363310119,0.007570997882020301,0.6049549312641285,0.008050875320135504,0.6155963302752293,0.6145808695084602,0.6146377633010998,0.4882646981328522,0.880636019292376,0.04
CosineSimilarity,sklearn,0.5786547116024657,0.008575237657519094,0.5730785334390257,0.00860413180443388,0.580045871559633,0.574708034996894,0.5747180379182881,0.4478053062903752,,0.06
NearestCentroid,sklearn,0.5644325548630168,0.012754984527436182,0.5657983211760654,0.012528472090006034,0.5594036697247706,0.5606675464184152,0.5607211875369355,0.4136060938214157,0.8706488814461338,0.08
