model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.747559016721565,0.00949719337639982,0.7479353208952224,0.00981784491568202,0.7771353482260184,0.761100717553925,0.7757678228784693,0.7019494197309252,0.9398931510485067,24.2
LinearSVC,sklearn,0.7174443732099667,0.015096118129082042,0.7187595692224599,0.015142613078790695,0.7461235216819974,0.7300469954269113,0.7447552857122036,0.6610590457577354,,22.27
DecisionTree,sklearn,0.7365354348123233,0.0075285983751930555,0.7346082660412098,0.009536082088281658,0.7455978975032852,0.7267094163464715,0.7429473810892547,0.6607389099614864,0.9216401955428646,0.84
SGDClassifier,sklearn,0.6926011585420573,0.01481946867650581,0.6870584613746147,0.008139062296212075,0.716688567674113,0.697666179452149,0.7129644514552865,0.6209365453277523,0.9102683332579877,0.24
RidgeClassifier,sklearn,0.6534130139242186,0.019060554534749453,0.6540056249564223,0.018468703241917753,0.6846254927726675,0.6737847105704673,0.6835833619335601,0.5791317904047911,,0.05
LDA,sklearn,0.660623903561272,0.016684876746946867,0.6613764549272699,0.01800749735315574,0.6780551905387647,0.6673684850170645,0.6779856499617307,0.5702261397220532,0.9069601892009603,0.12
QDA,sklearn,0.6146059803044167,0.015383631847119366,0.6041372117985582,0.017039687908596786,0.6170827858081471,0.6009907191743115,0.6083060064490066,0.5019286523000397,0.885555466246111,0.14
CosineSimilarity,sklearn,0.5590902462426537,0.025079647997352687,0.5409887789311514,0.023186723483147206,0.5813403416557161,0.5582296070064601,0.561421286791706,0.45885165547312246,,0.04
KNN,sklearn,0.559066288101606,0.010084295572388949,0.5595569674400341,0.00981997854041003,0.5579500657030223,0.5538983677470614,0.5581082693472346,0.40962057188508955,0.8535599527454563,0.03
NearestCentroid,sklearn,0.5606346982177628,0.020716892814637157,0.5400727677186233,0.01916809428567751,0.5752956636005256,0.548946567852871,0.5524848924058307,0.45203337196491206,0.8908422226867317,0.05
