model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.772723918196815,0.00803847020753956,0.7722904718151025,0.007580349472057858,0.7738532110091743,0.7726819938193908,0.7728195311819271,0.6989448167534558,0.9381353047061601,23.1
DecisionTree,sklearn,0.7340134424586209,0.00522275291480924,0.7305059503982421,0.006496130184458444,0.7369266055045871,0.7326221676438338,0.7327807398179991,0.653325751515623,0.914894818176631,0.81
LinearSVC,sklearn,0.7286220871493858,0.010643888004763034,0.7281277646790223,0.010536927911390567,0.728440366972477,0.7274024869208989,0.7275515671807333,0.639221481442963,,29.09
SGDClassifier,sklearn,0.70820700675905,0.006671509292528151,0.7027416922999643,0.008582348951713803,0.7048165137614679,0.696223016859912,0.6963809879280255,0.6124054935713404,0.9094838933824545,0.22
LDA,sklearn,0.6686344989120798,0.011501374681044483,0.6687137916489175,0.011201338695153263,0.669954128440367,0.669615791282939,0.669700434308897,0.5613819829182861,0.9025601350890395,0.11
RidgeClassifier,sklearn,0.663874189979557,0.013546734388842957,0.6634388471628292,0.01343015193211511,0.6610091743119266,0.6599978619226317,0.6600838947303451,0.5492839360695004,,0.05
QDA,sklearn,0.6264834095447572,0.005677175423730694,0.6176718764870188,0.004737774424211336,0.6364678899082569,0.6269887138154984,0.6270286573234959,0.5298978629652784,0.89020851940929,0.13
KNN,sklearn,0.5780231225811205,0.01292053590519495,0.5781958939936931,0.012674063243044131,0.5779816513761468,0.5782315880677316,0.5782523173710722,0.4379419097784536,0.8631745651603007,0.02
CosineSimilarity,sklearn,0.5675861423689036,0.0058038016643338144,0.5490654600201694,0.006462824684885706,0.5752293577981651,0.5574367224901648,0.5574048052536364,0.4509281646761902,,0.04
NearestCentroid,sklearn,0.5678154508357385,0.005724407045196602,0.5469414360220659,0.006602557528888766,0.569954128440367,0.5493135016108761,0.5492699937205391,0.44573331287110224,0.8842763533446322,0.05
