model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.7828193524680521,0.007814278866435924,0.782672344994598,0.008126995466795274,0.7844571428571429,0.7838005973293944,0.7837725903094406,0.7132161476746547,0.9422651412861445,6.32
LinearSVC,sklearn,0.735611970767158,0.004678145317446633,0.7350328617025346,0.0051339267285289945,0.7362285714285715,0.735376240875976,0.7353468289589613,0.6502180679422245,,8.39
DecisionTree,sklearn,0.7346976523904789,0.004228781452866089,0.7320359992814098,0.008792260007102218,0.7286857142857143,0.726473898798222,0.726441474440298,0.6413826370295428,0.9119206053565884,1.04
SGDClassifier,sklearn,0.723953211121545,0.008327663327495214,0.7210831595781697,0.007356437433338019,0.7161142857142857,0.7050925114881555,0.7050604912654994,0.6303980589783641,0.9192245523201106,0.1
AdaBoost,sklearn,0.7045206875433798,0.008400078293288074,0.7013533348278654,0.008504642074344345,0.7067428571428571,0.7012756665655852,0.701244108696454,0.6122804262259148,0.8614508262968299,19.47
LDA,sklearn,0.6855459927326175,0.006623059602635747,0.6857354405344909,0.006782653304212724,0.6786285714285715,0.6784809258476501,0.6784610271029317,0.5723770970080857,0.9084444095142649,0.05
RidgeClassifier,sklearn,0.6796595925366431,0.004461956526657451,0.679251742962356,0.004396123344592723,0.6768,0.6760748808894654,0.6760575187453849,0.5700862873977264,,0.05
KNN,sklearn,0.6501681949944882,0.00874114299465921,0.6500621614857607,0.009038934663288999,0.6493714285714286,0.6493865302936161,0.6493767842057911,0.5326656473114499,0.8970243470434969,0.02
NearestCentroid,sklearn,0.5814133997468665,0.005313741034135754,0.5689928177617207,0.005695894023471513,0.5741714285714286,0.56062449877622,0.5605979287582483,0.446965499300035,0.8714265591562973,0.02
CosineSimilarity,sklearn,0.5699829175682848,0.005078369007771032,0.5526612515640578,0.006156975057722077,0.5709714285714286,0.5535741972577185,0.5535473205060493,0.4443935657925635,,0.09
QDA,sklearn,0.6001593598170907,0.007499894211193169,0.5541572485499442,0.011437404578604832,0.5933714285714285,0.5394239078673092,0.5393811216775565,0.49691815219911806,0.8962816326445097,0.05
