model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.7982600732600733,0.004112603615721711,0.796986726237073,0.0038616456796297296,0.7967032967032966,0.7955955168689455,0.7954039870795018,0.7462481698028876,0.9598000488843568,85.76
DecisionTree,sklearn,0.7402472527472528,0.004540245571713833,0.7371775907031847,0.004539115074051389,0.7346153846153847,0.7315691613563802,0.7313697879492286,0.6691462585770623,0.9333574318026612,1.77
LinearSVC,sklearn,0.7111263736263735,0.012077848513728711,0.7108641674522187,0.012036791056989097,0.7117216117216117,0.7110527189726593,0.7109873214720707,0.6405680914150644,,46.97
SGDClassifier,sklearn,0.6847527472527473,0.006932694107017705,0.6796114532467034,0.008748281829409562,0.6924908424908425,0.6888419689656267,0.6888117958274022,0.6171254931577012,0.9256186569034686,0.18
AdaBoost,sklearn,0.6693223443223444,0.010643265527467003,0.667275712438474,0.010526490482053234,0.6708791208791208,0.6695172024685415,0.6694081304219386,0.5920299246149714,0.9058062895183726,32.28
LDA,sklearn,0.6556318681318681,0.0043177679955244555,0.6576128147267306,0.004560912617729146,0.656959706959707,0.6591776343199973,0.6591432104996077,0.5719116614828887,0.9144974080719015,0.12
RidgeClassifier,sklearn,0.6508241758241758,0.00330733810710276,0.651031731811708,0.003654556176141418,0.6505494505494506,0.6503661398684185,0.6503299480835311,0.563382116598342,,0.09
KNN,sklearn,0.6062271062271062,0.009715702918462908,0.6070704384000871,0.010071125291685563,0.6075091575091575,0.6085577522602005,0.6085211673317816,0.5112122498379272,0.9007658482452194,0.03
QDA,sklearn,0.5954212454212454,0.007207721822762753,0.5723219787851628,0.009885073651596772,0.582967032967033,0.5544338531811585,0.5542217648411844,0.507874189563387,0.9116316131995037,0.2
NearestCentroid,sklearn,0.4945054945054945,0.004037360826132891,0.49305793674566517,0.004900439301365773,0.4815018315018315,0.4805007710097736,0.48066537888558963,0.357968906110244,0.8363884555819826,0.05
CosineSimilarity,sklearn,0.49304029304029307,0.002193505415202125,0.47728679504338895,0.003812283518152764,0.48937728937728936,0.47311468570132276,0.47327434137696267,0.376286693187758,,0.04
