model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.8032967032967033,0.006094647423787273,0.8021350207123328,0.006039602800411002,0.7994505494505495,0.7984722711997915,0.7982837858350248,0.7496669802677308,0.9615719462965991,75.55
DecisionTree,sklearn,0.741849816849817,0.004885018305267573,0.7376180821194376,0.004324234047355566,0.7346153846153847,0.7292430588439925,0.729039893035593,0.6703749497643646,0.9335312172980123,2.5
LinearSVC,sklearn,0.7259615384615384,0.010621575741448758,0.725836349771767,0.010724191425797556,0.7192307692307692,0.7185045588946017,0.7184264898928744,0.6499169571780271,,37.01
SGDClassifier,sklearn,0.6846611721611721,0.002567779284397418,0.6796949120550625,0.004954966418677251,0.6941391941391941,0.6875689819568558,0.687534594678041,0.6204850742850091,0.9236059647092171,0.2
AdaBoost,sklearn,0.6669871794871794,0.009593009899670685,0.6634989256679693,0.010938435644731013,0.6747252747252748,0.672985020891321,0.6728906639019178,0.5970254020273263,0.9068111785169863,43.52
LDA,sklearn,0.6662087912087912,0.009553865208271678,0.6684006480910387,0.00973589657543412,0.6622710622710622,0.6646428500382351,0.6645893432193496,0.5786524083201962,0.9182507697023606,0.14
RidgeClassifier,sklearn,0.6630952380952381,0.007001528121328824,0.6635562516425958,0.007033218425946551,0.6598901098901099,0.6600383323432893,0.6599564350240423,0.5750302226020861,,0.06
QDA,sklearn,0.6407509157509158,0.008952606889710842,0.6278069366649832,0.009890443071056994,0.6324175824175824,0.6178311042265501,0.6176126398507032,0.5604923149745028,0.9163496279464626,0.26
KNN,sklearn,0.61510989010989,0.012204120411518894,0.6161569568754347,0.01289374110028731,0.6164835164835165,0.6169941510662837,0.6169869458486062,0.522265740611973,0.9031015334802379,0.04
NearestCentroid,sklearn,0.4719322344322344,0.013673735890903597,0.4731788103588649,0.013079276015633998,0.46007326007326005,0.462251461938947,0.46244703718469204,0.32675818882061536,0.824587176260297,0.07
CosineSimilarity,sklearn,0.4758241758241758,0.010193000858446363,0.4606685234631816,0.009540568621782465,0.4706959706959707,0.4549214767995492,0.45507687162214583,0.35193808956285244,,0.05
