model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.8035714285714285,0.005523048572259512,0.8023785176798409,0.005641738739783362,0.8038461538461539,0.802804504915053,0.8026301802104743,0.7551932290979746,0.961377598295388,138.57
DecisionTree,sklearn,0.741849816849817,0.004885018305267573,0.7376180821194376,0.004324234047355566,0.7346153846153847,0.7292430588439925,0.729039893035593,0.6703749497643646,0.9335312172980123,2.26
LinearSVC,sklearn,0.7265567765567764,0.01294217197799726,0.7264367331360023,0.013179687986795655,0.7172161172161172,0.7166877791631455,0.7166127260775078,0.6474992608130576,,70.88
SGDClassifier,sklearn,0.6800366300366301,0.008138728213882463,0.6753290698489001,0.0077344091781132015,0.6857142857142857,0.6794325037457416,0.6794151641464096,0.6106121512643504,0.9215285237848715,0.29
AdaBoost,sklearn,0.666941391941392,0.009542063023150712,0.6636359540808602,0.01103334106364394,0.6747252747252748,0.672985020891321,0.6728906639019178,0.5970254020273263,0.9068111785169863,75.16
LDA,sklearn,0.6672161172161173,0.009861079102533908,0.6694837567526674,0.01003477283092771,0.6637362637362637,0.6661849424147712,0.6661309816603438,0.580520518196471,0.9184240183654415,0.12
RidgeClassifier,sklearn,0.663003663003663,0.00811357378510502,0.6635638491961834,0.008227051104868063,0.6595238095238095,0.6597586590003904,0.6596795467422716,0.5745642486372166,,0.09
QDA,sklearn,0.634569597069597,0.009596833665975628,0.6229623153372698,0.011307113443793525,0.6247252747252747,0.6112725442911789,0.6110795999657702,0.5510023885830392,0.9137868682760388,0.15
KNN,sklearn,0.6036630036630036,0.01171324714428374,0.6044353483571849,0.012008556000592547,0.6093406593406593,0.6099002079386532,0.6098993983160047,0.5137617974203234,0.9005861486245242,0.03
NearestCentroid,sklearn,0.46121794871794874,0.01275965901637336,0.4627493939910553,0.011772942295541922,0.44963369963369965,0.4516233203662018,0.45182880638490247,0.31305147391491867,0.8204782173273404,0.06
CosineSimilarity,sklearn,0.4709249084249084,0.011826356701732528,0.4568809306379758,0.01087001737097983,0.46593406593406594,0.4513173392410598,0.4514837757091848,0.34550540189139817,,0.05
