group,HistGradientBoosting,AdaBoost,LinearSVC,DecisionTree,SGDClassifier,LDA,QDA,RidgeClassifier,KNN,NearestCentroid,CosineSimilarity,mean_delta
functional,0.04694461395773897,0.06688305145882456,0.04238726393139036,0.07339539718261412,0.046421594613987316,0.021307418496495978,0.1220686877183843,0.026458517163271744,0.016141491865536595,0.0027763449805726648,0.00047941097994586013,0.042296708395342046
other_vep,0.007311490840143153,-0.0024454278938979,0.014428125586866347,-0.0009546808794989037,0.019630601179654317,0.03487564339429838,0.021418845371611206,0.01564140190917096,0.0024197893642657897,0.051055961249149906,0.04582473711033408,0.019018771566554304
ditto,0.003341157558170993,0.005760466397994768,0.004257560038994024,0.0017006812577110564,0.005764332595255994,0.004633737273610605,0.006128487451537934,0.004742013152710389,0.0005003475993923256,0.00458292080919398,0.004831507991391315,0.004203928375087581
metarnn,0.0005215346840331536,0.011015292676167188,0.0011532038071904172,0.0009266963184082488,0.0031325990706009277,0.0016548749477292013,0.0031658762798514317,-0.0008041919449870427,0.0018346392984709414,0.007470248888453823,0.0036377227145156787,0.0030644087945849064
population_af,0.005431080323835102,0.007596197177070385,0.007438850360080185,-0.0009591354409729247,0.0008778184964519653,0.003313908937942922,0.0033684257331250134,0.0007174070053448389,0.0013212913794422576,0.003808876109110848,0.0007892068239874206,0.0030639933550380013
bayesdel,-0.00033309086387567355,0.0013547479433326792,0.005343489669800139,-0.006996400134814951,0.00727011204361494,0.0053509432895174625,0.004333163185930133,0.0006465108760689287,-0.0027274165352902946,0.005898270106121206,0.00711644066118744,0.002477888203781092
position,0.0028618894378301674,0.0,0.0005274648341747623,0.0,0.0014154634904223196,-0.000194761953858813,0.0007189628012748139,-0.00026232722869168335,-0.00026593552415565824,0.0005837326431570311,0.0019279639737933563,0.0006647684067223905
cadd,-0.0014772318204774315,0.0,0.00041139142793444883,0.0,-2.239972189810313e-05,0.003414956448768547,0.0034586460164274246,-0.00037618116496584975,-0.0008075290907874066,0.0025025738626440752,-0.00010132353736613808,0.0006366274927526879
alphamissense,-0.0017339160563998313,0.0,0.0005001438048142237,0.0,2.9154273520792806e-05,0.002273077646585242,0.000504141993714402,5.063234154756291e-05,0.0006182406778982852,0.002091872642169923,0.001584177038525647,0.0005379567602160225
chasmplus,-0.00022552323106328487,0.0,0.013050791603136713,0.0,0.002561896102174166,0.009526258112925845,0.04167253691734296,0.010587391037065519,-0.01666829139324988,-0.03713073993890892,-0.024681147122596614,-0.00011880253756122652
revel,-0.0015158792057941017,0.0,-0.00038634448671803767,0.0,-0.0011787120113869731,0.0005483492927921274,0.0005275331825701501,-0.00021509631302563115,-0.001868788886596473,0.0015220015881993731,0.0005089868739363013,-0.00018708636054756952
conservation,2.020259516155587e-05,0.0,-7.157979504135437e-05,0.0,-0.0014007182811175412,0.0031777107652529724,-0.006741950297035615,-0.0020986855938759374,-0.015255964715169212,-0.0023652996473404464,-0.0032928924703359286,-0.0025481070399546823
