task,model,group,n_dropped,baseline_f1,ablated_f1,delta
4class,HistGradientBoosting,ditto,1,0.7950392616951822,0.7911247514087109,0.003914510286471384
4class,LinearSVC,ditto,1,0.754933552727006,0.7489350981088616,0.005998454618144411
4class,DecisionTree,ditto,1,0.7514090067859782,0.7340076001586864,0.017401406627291838
4class,SGDClassifier,ditto,1,0.7182084960604684,0.7178506742681348,0.00035782179233367906
4class,LDA,ditto,1,0.702199015949549,0.6980504428207633,0.004148573128785693
4class,RidgeClassifier,ditto,1,0.7003232293438628,0.690893204215516,0.009430025128346786
4class,KNN,ditto,1,0.6597909745251019,0.656696474959305,0.003094499565796882
4class,QDA,ditto,1,0.6178040521058193,0.6072116525388853,0.01059239956693403
4class,CosineSimilarity,ditto,1,0.5532079450338492,0.5509200510498293,0.002287893984019851
4class,NearestCentroid,ditto,1,0.5514029819836793,0.5488522211169868,0.002550760866692481
4class,HistGradientBoosting,alphamissense,1,0.7950392616951822,0.7964987511474378,-0.0014594894522556023
4class,LinearSVC,alphamissense,1,0.754933552727006,0.7555932559443037,-0.0006597032172976913
4class,DecisionTree,alphamissense,1,0.7514090067859782,0.750949124133605,0.00045988265237317805
4class,SGDClassifier,alphamissense,1,0.7182084960604684,0.7154833139752425,0.0027251820852259856
4class,LDA,alphamissense,1,0.702199015949549,0.7026525435899287,-0.0004535276403796473
4class,RidgeClassifier,alphamissense,1,0.7003232293438628,0.6982710554355054,0.0020521739083574353
4class,KNN,alphamissense,1,0.6597909745251019,0.6609231148262076,-0.0011321403011056441
4class,QDA,alphamissense,1,0.6178040521058193,0.6153739247244225,0.002430127381396807
4class,CosineSimilarity,alphamissense,1,0.5532079450338492,0.5520381405210243,0.0011698045128248902
4class,NearestCentroid,alphamissense,1,0.5514029819836793,0.5504111265719928,0.0009918554116865597
4class,HistGradientBoosting,revel,2,0.7950392616951822,0.7968096444446799,-0.001770382749497701
4class,LinearSVC,revel,2,0.754933552727006,0.7520678715231833,0.0028656812038226898
4class,DecisionTree,revel,2,0.7514090067859782,0.7514090067859782,0.0
4class,SGDClassifier,revel,2,0.7182084960604684,0.7228036988935935,-0.004595202833125089
4class,LDA,revel,2,0.702199015949549,0.7019309250031782,0.00026809094637081365
4class,RidgeClassifier,revel,2,0.7003232293438628,0.6964276421393742,0.003895587204488571
4class,KNN,revel,2,0.6597909745251019,0.6586336338265539,0.001157340698548004
4class,QDA,revel,2,0.6178040521058193,0.6153515279963321,0.002452524109487264
4class,CosineSimilarity,revel,2,0.5532079450338492,0.5520412360535395,0.001166708980309683
4class,NearestCentroid,revel,2,0.5514029819836793,0.5486464143507056,0.0027565676329737165
4class,HistGradientBoosting,cadd,4,0.7950392616951822,0.8004318688692413,-0.005392607174059094
4class,LinearSVC,cadd,4,0.754933552727006,0.754719852501444,0.00021370022556199686
4class,DecisionTree,cadd,4,0.7514090067859782,0.7514090067859782,0.0
4class,SGDClassifier,cadd,4,0.7182084960604684,0.7198803772795345,-0.0016718812190660293
4class,LDA,cadd,4,0.702199015949549,0.7017315205628887,0.00046749538666035484
4class,RidgeClassifier,cadd,4,0.7003232293438628,0.69834776139244,0.0019754679514227824
4class,KNN,cadd,4,0.6597909745251019,0.6602807704518091,-0.0004897959267071705
4class,QDA,cadd,4,0.6178040521058193,0.6147688367042996,0.003035215401519742
4class,CosineSimilarity,cadd,4,0.5532079450338492,0.5517200743204977,0.0014878707133514357
4class,NearestCentroid,cadd,4,0.5514029819836793,0.5499696094573246,0.0014333725263546704
4class,HistGradientBoosting,metarnn,2,0.7950392616951822,0.7935954271703788,0.0014438345248034556
4class,LinearSVC,metarnn,2,0.754933552727006,0.7544519946364269,0.00048155809057914833
4class,DecisionTree,metarnn,2,0.7514090067859782,0.750949124133605,0.00045988265237317805
4class,SGDClassifier,metarnn,2,0.7182084960604684,0.7211009013888895,-0.002892405328421055
4class,LDA,metarnn,2,0.702199015949549,0.699234698220244,0.002964317729305055
4class,RidgeClassifier,metarnn,2,0.7003232293438628,0.6979152037967856,0.002408025547077197
4class,KNN,metarnn,2,0.6597909745251019,0.6574394246065953,0.0023515499185066124
4class,QDA,metarnn,2,0.6178040521058193,0.6147472421914052,0.003056809914414149
4class,CosineSimilarity,metarnn,2,0.5532079450338492,0.5500411149194483,0.003166830114400887
4class,NearestCentroid,metarnn,2,0.5514029819836793,0.5461243327084184,0.005278649275260894
4class,HistGradientBoosting,bayesdel,4,0.7950392616951822,0.799489837612066,-0.004450575916883803
4class,LinearSVC,bayesdel,4,0.754933552727006,0.748420696633502,0.006512856093504049
4class,DecisionTree,bayesdel,4,0.7514090067859782,0.7514090067859782,0.0
4class,SGDClassifier,bayesdel,4,0.7182084960604684,0.7215062238717105,-0.003297727811242046
4class,LDA,bayesdel,4,0.702199015949549,0.694399549971952,0.007799465977597064
4class,RidgeClassifier,bayesdel,4,0.7003232293438628,0.6929942172700351,0.007329012073827745
4class,KNN,bayesdel,4,0.6597909745251019,0.6543720567088327,0.005418917816269242
4class,QDA,bayesdel,4,0.6178040521058193,0.6140592819074939,0.00374477019832542
4class,CosineSimilarity,bayesdel,4,0.5532079450338492,0.5489242826570819,0.00428366237676725
4class,NearestCentroid,bayesdel,4,0.5514029819836793,0.5461188426452566,0.005284139338422755
4class,HistGradientBoosting,chasmplus,68,0.7950392616951822,0.7924496900919685,0.002589571603213714
4class,LinearSVC,chasmplus,68,0.754933552727006,0.7489026836102304,0.006030869116775639
4class,DecisionTree,chasmplus,68,0.7514090067859782,0.7359728520135054,0.015436154772472843
4class,SGDClassifier,chasmplus,68,0.7182084960604684,0.7041769514326673,0.014031544627801096
4class,LDA,chasmplus,68,0.702199015949549,0.6978704578801809,0.00432855806936816
4class,RidgeClassifier,chasmplus,68,0.7003232293438628,0.6994630843941345,0.0008601449497283031
4class,KNN,chasmplus,68,0.6597909745251019,0.6482654613624991,0.011525513162602863
4class,QDA,chasmplus,68,0.6178040521058193,0.5615967164487587,0.0562073356570606
4class,CosineSimilarity,chasmplus,68,0.5532079450338492,0.5561144827579605,-0.0029065377241113133
4class,NearestCentroid,chasmplus,68,0.5514029819836793,0.5844922368294564,-0.03308925484577707
4class,HistGradientBoosting,other_vep,56,0.7950392616951822,0.781694731228771,0.013344530466411264
4class,LinearSVC,other_vep,56,0.754933552727006,0.7317476259974087,0.023185926729597295
4class,DecisionTree,other_vep,56,0.7514090067859782,0.7468689829759084,0.004540023810069793
4class,SGDClassifier,other_vep,56,0.7182084960604684,0.7123326652264947,0.005875830833973694
4class,LDA,other_vep,56,0.702199015949549,0.6824930311314638,0.019705984818085276
4class,RidgeClassifier,other_vep,56,0.7003232293438628,0.6751295261499357,0.02519370319392711
4class,KNN,other_vep,56,0.6597909745251019,0.643665117305392,0.016125857219709938
4class,QDA,other_vep,56,0.6178040521058193,0.5895150077782113,0.028289044327608037
4class,CosineSimilarity,other_vep,56,0.5532079450338492,0.4832835225511105,0.06992442248273867
4class,NearestCentroid,other_vep,56,0.5514029819836793,0.5060963959435791,0.04530658604010018
4class,HistGradientBoosting,conservation,17,0.7950392616951822,0.7932410747513432,0.0017981869438390419
4class,LinearSVC,conservation,17,0.754933552727006,0.7539938890821315,0.0009396636448745221
