[ablation] 48 runs queued × full 10-model suite each (6 parallel)
  [OK] 4class/revel           (862.3s)
  [OK] 4class/cadd            (879.2s)
  [OK] 4class/bayesdel        (915.9s)
  [OK] 4class/alphamissense   (925.0s)
  [OK] 4class/ditto           (926.7s)
  [OK] 4class/metarnn         (938.1s)
  [OK] 4class/chasmplus       (447.3s)
  [OK] 4class/other_vep       (433.9s)
  [OK] 4class/population_af   (642.1s)
  [OK] 4class/conservation    (691.5s)
  [OK] 2class/alphamissense   (306.4s)
  [OK] 2class/ditto           (340.7s)
  [OK] 4class/functional      (760.7s)
  [OK] 4class/position        (750.6s)
  [OK] 2class/revel           (236.4s)
  [OK] 2class/other_vep       (195.7s)
  [OK] 2class/cadd            (289.2s)
  [OK] 2class/metarnn         (325.6s)
  [OK] 2class/chasmplus       (259.4s)
  [OK] 2class/bayesdel        (303.2s)
  [OK] 2class/conservation    (208.9s)
  [OK] 2class/population_af   (203.0s)
  [OK] 2class/functional      (315.4s)
  [OK] 2class/position        (348.6s)
  [OK] 5class/alphamissense   (1966.3s)
  [OK] 5class/revel           (1935.9s)
  [OK] 5class/ditto           (2042.7s)
  [OK] 5class/cadd            (1917.1s)
  [OK] 5class/metarnn         (1822.2s)
  [OK] 5class/bayesdel        (1759.9s)
  [OK] 5class/other_vep       (781.2s)
  [OK] 5class/chasmplus       (812.3s)
  [OK] 5class/population_af   (896.8s)
  [OK] 5class/conservation    (1082.2s)
  [OK] 5class/position        (1205.4s)
  [OK] 5class/functional      (1339.1s)
  [OK] 3class/alphamissense   (875.6s)
  [OK] 3class/ditto           (895.0s)
  [OK] 3class/revel           (806.4s)
  [OK] 3class/cadd            (810.0s)
  [OK] 3class/metarnn         (801.6s)
  [OK] 3class/bayesdel        (757.4s)
  [OK] 3class/other_vep       (520.2s)
  [OK] 3class/chasmplus       (573.4s)
  [OK] 3class/conservation    (515.4s)
  [OK] 3class/population_af   (353.2s)
  [OK] 3class/functional      (423.0s)
  [OK] 3class/position        (383.5s)
[ablation] all done in 108.6 min wall-clock
