model,4class_canonical_kfold.macro_f1,4class_canonical_kfold.accuracy,4class_canonical_kfold.macro_precision,4class_canonical_kfold.macro_recall,4class_tuned.macro_f1,4class_tuned.accuracy,4class_tuned.macro_precision,4class_tuned.macro_recall,2class_canonical_kfold.macro_f1,2class_canonical_kfold.accuracy,2class_canonical_kfold.macro_precision,2class_canonical_kfold.macro_recall,2class_tuned.macro_f1,2class_tuned.accuracy,2class_tuned.macro_precision,2class_tuned.macro_recall,4class_gene_cv.macro_f1,4class_gene_cv.accuracy,4class_gene_cv.macro_precision,4class_gene_cv.macro_recall,2class_gene_cv.macro_f1,2class_gene_cv.accuracy,2class_gene_cv.macro_precision,2class_gene_cv.macro_recall,4class_augmented.macro_f1,4class_augmented.accuracy,4class_augmented.macro_precision,4class_augmented.macro_recall,2class_augmented.macro_f1,2class_augmented.accuracy,2class_augmented.macro_precision,2class_augmented.macro_recall,4class_no_vep_kfold.macro_f1,4class_no_vep_kfold.accuracy,4class_no_vep_kfold.macro_precision,4class_no_vep_kfold.macro_recall,2class_no_vep_kfold.macro_f1,2class_no_vep_kfold.accuracy,2class_no_vep_kfold.macro_precision,2class_no_vep_kfold.macro_recall,4class_no_vep_gene.macro_f1,4class_no_vep_gene.accuracy,4class_no_vep_gene.macro_precision,4class_no_vep_gene.macro_recall,4class_raw_only.macro_f1,4class_raw_only.accuracy,4class_raw_only.macro_precision,4class_raw_only.macro_recall,2class_raw_only.macro_f1,2class_raw_only.accuracy,2class_raw_only.macro_precision,2class_raw_only.macro_recall,4class_no_ditto.macro_f1,4class_no_ditto.accuracy,4class_no_ditto.macro_precision,4class_no_ditto.macro_recall,3class_with_vus.macro_f1,3class_with_vus.accuracy,3class_with_vus.macro_precision,3class_with_vus.macro_recall,5class_with_vus.macro_f1,5class_with_vus.accuracy,5class_with_vus.macro_precision,5class_with_vus.macro_recall,4class_lean_A.macro_f1,4class_lean_A.accuracy,4class_lean_A.macro_precision,4class_lean_A.macro_recall,4class_lean_B.macro_f1,4class_lean_B.accuracy,4class_lean_B.macro_precision,4class_lean_B.macro_recall,2class_lean_A.macro_f1,2class_lean_A.accuracy,2class_lean_A.macro_precision,2class_lean_A.macro_recall,2class_lean_B.macro_f1,2class_lean_B.accuracy,2class_lean_B.macro_precision,2class_lean_B.macro_recall,3class_lean_A.macro_f1,3class_lean_A.accuracy,3class_lean_A.macro_precision,3class_lean_A.macro_recall,3class_lean_B.macro_f1,3class_lean_B.accuracy,3class_lean_B.macro_precision,3class_lean_B.macro_recall,5class_lean_A.macro_f1,5class_lean_A.accuracy,5class_lean_A.macro_precision,5class_lean_A.macro_recall,5class_lean_B.macro_f1,5class_lean_B.accuracy,5class_lean_B.macro_precision,5class_lean_B.macro_recall
HistGradientBoosting,0.7928,0.7929,0.7948,0.793,0.7950392616951822,0.7952,0.796448496797574,0.7952373923471786,0.987,0.987,0.987,0.987,0.9871998495329252,0.9872,0.9872252720841912,0.9872008352496763,0.7658,0.7692,0.7676,0.7648,0.9874,0.9874,0.9874,0.9875,0.7948,0.7952,0.7951,0.7951,0.9904,0.9904,0.9904,0.9904,0.7727,0.7739,0.7732,0.7737,0.9764,0.9764,0.9764,0.9764,0.7611,0.7771,0.7618,0.7614,0.7212,0.7225,0.7225,0.7223,0.9339,0.9339,0.9339,0.9339,0.7911,0.7913,0.7926,0.7914,0.9459342485558792,0.9540293040293041,0.9436441986690868,0.9484548322963166,0.7983976382448654,0.7994505494505495,0.7987239200733904,0.7996995150387967,0.7838005973293944,0.7844571428571429,0.7853125724711294,0.7844963629277888,0.7899786870334303,0.7899428571428572,0.7913790802534575,0.7899801963968817,0.9810285079940969,0.9810285714285715,0.9810362785689866,0.9810290406415172,0.9862855072136665,0.9862857142857143,0.9863177529076147,0.9862866539774251,0.9349045603904375,0.9432234432234432,0.9308179828641073,0.9397713426315386,0.9385748242673672,0.9476190476190476,0.9351747834455759,0.9425021957136638,0.7823194033822726,0.7840659340659341,0.7827897595563222,0.7843327778266241,0.7866633704231856,0.7880952380952381,0.7869012837840187,0.7883567338906324
AdaBoost,0.6983,0.7058,0.7067,0.7059,,,,,0.987,0.987,0.987,0.987,,,,,0.7009331640254894,0.7207186187587494,0.7174051192320877,0.7117868484067602,0.9852996347202748,0.985300979934671,0.9852781832814792,0.985377851102871,,,,,,,,,,,,,,,,,0.6628911017734822,0.6964520367936925,0.6678168647622785,0.674662193528096,0.6278338706568694,0.6305045871559632,0.6295646793503391,0.6302993156412673,0.9229349852315201,0.9229357798165138,0.9229619304465522,0.9229395025162044,,,,,0.870360820262896,0.8968864468864469,0.8773996160328675,0.8653612801579061,0.672985020891321,0.6747252747252748,0.6842327196596597,0.6746990431261981,0.7012756665655852,0.7067428571428571,0.7053975617591876,0.7067785107489742,0.7070847800061135,0.7101714285714286,0.7099590726198571,0.7102027444047294,0.9764570641372528,0.9764571428571429,0.976464780973542,0.9764576118312549,0.9853712076945775,0.9853714285714286,0.9854034086752981,0.9853723682153728,0.8540470546706547,0.8811355311355311,0.8604409969115853,0.8493176235599446,0.8690060723195633,0.8963369963369964,0.8776063970367171,0.8632043019988362,0.6451566039912165,0.6481684981684982,0.6546863947507457,0.6480548718464589,0.6672963388830345,0.672893772893773,0.6839999769309868,0.6728969140091692
LinearSVC,0.7549,0.7543,0.7599,0.7543,0.754933552727006,0.7542857142857143,0.7598970953795565,0.7543295292797275,0.9867,0.9867,0.9868,0.9867,0.9867423522050486,0.9867428571428571,0.9868212315023828,0.9867443193074583,0.7252,0.727,0.7307,0.7222,0.9809,0.9809,0.9809,0.981,0.7657,0.7656,0.7686,0.7655,0.9885,0.9885,0.9885,0.9885,0.7274,0.7284,0.7316,0.7283,0.975,0.975,0.975,0.975,0.73,0.7461,0.7336,0.7299,0.6393,0.6401,0.6411,0.64,0.8862,0.8869,0.8972,0.887,0.7489,0.7495,0.7537,0.7495,0.8762373178501358,0.8987179487179487,0.8755154961650913,0.8770838227901184,0.7185925261309196,0.7192307692307692,0.7222694871087245,0.7193389674931573,0.735376240875976,0.7362285714285715,0.7417962269030483,0.7362769309767492,0.7464419847864702,0.7456,0.7525802302134398,0.7456455907712534,0.9780570041415837,0.9780571428571428,0.9780709563839178,0.9780577686495487,0.9846848949463471,0.9846857142857143,0.9847944231934951,0.9846874375673437,0.8513953521389229,0.8771062271062271,0.8504623470145495,0.8524543573653457,0.855556658308141,0.8813186813186813,0.8545683693037752,0.8567325254454371,0.6914870246447556,0.693040293040293,0.6957383765668145,0.6931622068157713,0.7039903605428456,0.7053113553113554,0.7084430963364183,0.7054394475167174
DecisionTree,0.7111,0.7106,0.7116,0.7107,0.7514090067859782,0.7533714285714286,0.7564624832932492,0.7534160797228833,0.9774,0.9774,0.9774,0.9774,0.9821710923109525,0.9821714285714286,0.9822107659794315,0.9821724725379903,0.7186,0.7336,0.7334,0.7237,0.9806,0.9806,0.9806,0.9807,0.7574,0.7585,0.7606,0.7584,0.9878,0.9878,0.9879,0.9878,0.7326,0.7369,0.7408,0.7368,0.969,0.969,0.9691,0.969,0.7267,0.7456,0.7295,0.7282,0.6517,0.6757,0.6752,0.6755,0.9131,0.9131,0.9132,0.9131,0.734,0.7381,0.7467,0.7381,0.9043588161324086,0.9152014652014652,0.8970614151020947,0.9193876253535668,0.7292430588439925,0.7346153846153847,0.7317282259234563,0.7349131891628333,0.726473898798222,0.7286857142857143,0.733805838325343,0.7287301524910892,0.7359728520135054,0.7373714285714286,0.7408066301481735,0.7374197360300132,0.9673138485470161,0.9673142857142857,0.9673369396662345,0.9673135003331135,0.9821710923109525,0.9821714285714286,0.9822107659794315,0.9821724725379903,0.8944037490221461,0.9042124542124542,0.8870698184842638,0.9111698038215102,0.9065184793750317,0.9172161172161172,0.8991952742177158,0.9207551570851028,0.7139573144589925,0.7194139194139194,0.7147396608810304,0.7197434170543409,0.7329770101613737,0.7338827838827838,0.734327149808338,0.7341441950777
SGDClassifier,0.7015,0.7159,0.7273,0.7159,0.7182084960604684,0.7254857142857143,0.726954527181473,0.7255227298196434,0.9845,0.9845,0.9845,0.9845,0.9846853942417082,0.9846857142857143,0.9847293560188064,0.9846868106285354,0.707,0.72,0.7151,0.7114,0.9832,0.9832,0.9832,0.9833,0.7209,0.728,0.7326,0.7279,0.9869,0.9869,0.9869,0.9869,0.6962,0.7048,0.7066,0.7047,0.9722,0.9722,0.9723,0.9722,0.6977,0.7167,0.6981,0.6993,0.537,0.5415,0.5394,0.5413,0.7911,0.792,0.797,0.792,0.7179,0.7243,0.7246,0.7244,0.8579857232293113,0.8829670329670329,0.8555586177615827,0.8610401661921566,0.6782762437007495,0.6855311355311355,0.6844794191669872,0.6857099398790671,0.7050925114881555,0.7161142857142857,0.721466167201827,0.7161532337243319,0.7133982349143733,0.7236571428571429,0.7306253163939422,0.7236987577587808,0.9773713529086216,0.9773714285714286,0.9773790804926308,0.9773718975933072,0.9839994775339603,0.984,0.9840671116307514,0.9840013575314994,0.8387434102377633,0.8692307692307693,0.8422574069736264,0.8360111356155282,0.8473185286500278,0.8778388278388278,0.8506385855331118,0.844719887565987,0.6762776785557938,0.678937728937729,0.6808762484810107,0.6790672603749802,0.6902056915268869,0.693040293040293,0.6936703551685435,0.6931792110849985
LDA,0.7014,0.7003,0.7029,0.7004,0.702199015949549,0.7012571428571429,0.7035789637242588,0.7012785784893397,0.9794,0.9794,0.9797,0.9794,0.9801116880572156,0.9801142857142857,0.9803729389374747,0.9801169491652937,0.6857,0.6869,0.6875,0.6843,0.9804,0.9804,0.9806,0.9806,0.7111,0.7108,0.7118,0.7107,0.9853,0.9853,0.9854,0.9853,0.6696,0.67,0.6751,0.6699,0.9686,0.9686,0.9686,0.9686,0.6674,0.6781,0.672,0.6668,0.552,0.5635,0.6281,0.5635,0.8293,0.8319,0.8529,0.8318,0.6981,0.6981,0.6988,0.6981,0.8454625440492118,0.8805860805860806,0.8553629096388985,0.8394345963634097,0.6640918979978673,0.6617216117216117,0.670465128753343,0.6617056277117005,0.6784809258476501,0.6786285714285715,0.6817191946789075,0.6786601959285532,0.6897665069269651,0.6886857142857142,0.6913387390903373,0.6887087682794449,0.9734855466710803,0.9734857142857143,0.973499401465907,0.9734863398392863,0.9796544854838183,0.9796571428571429,0.9799155523160386,0.9796598062842674,0.8171174753744976,0.8573260073260073,0.8258949087368945,0.8120426999994107,0.8238169323003746,0.8653846153846154,0.8362057254215874,0.8175128269255545,0.6328365748600799,0.6313186813186813,0.6426710521758964,0.6313105665327509,0.6499466246870341,0.6474358974358975,0.6583057346543242,0.6473873682983275
QDA,0.5791,0.6155,0.6942,0.6156,0.6178040521058193,0.6436571428571428,0.7023622792220277,0.6437262386033108,0.9666,0.9666,0.9668,0.9666,0.965025932927851,0.9650285714285715,0.9651746753645838,0.9650306071526196,0.5671,0.5994,0.6597,0.6023,0.9515,0.9515,0.9522,0.9518,0.6621,0.675,0.7182,0.675,0.9647,0.9647,0.9648,0.9647,0.627,0.6365,0.6852,0.6365,0.8588,0.861,0.8857,0.8611,0.601,0.6171,0.6575,0.6097,0.4434,0.4433,0.5196,0.4434,0.5998,0.6484,0.7898,0.6487,0.6072,0.6334,0.6895,0.6334,0.8272978965298098,0.8470695970695971,0.8269064911929922,0.8396653252392969,0.612348490793616,0.6256410256410256,0.6925713799346005,0.6257162698668555,0.5394239078673092,0.5933714285714285,0.6383911548625651,0.5934453251621169,0.5533200003351363,0.6075428571428572,0.6733220397724362,0.6076227145989687,0.8972863271348757,0.8980571428571429,0.9104297956362408,0.8980769905934101,0.9734805588197548,0.9734857142857143,0.9738634752269955,0.9734889520843207,0.751262752690922,0.7747252747252747,0.7739686996606291,0.7652451578513921,0.7842213696131886,0.813003663003663,0.7948747556187481,0.793700596442565,0.5384491089132952,0.5703296703296703,0.6333686493062101,0.5704770407024983,0.5518275843940914,0.5838827838827839,0.665807848266325,0.5839972043042099
RidgeClassifier,0.7008,0.7003,0.7016,0.7004,0.7003232293438628,0.6998857142857143,0.7012369089995625,0.6999070451652614,0.9797,0.9797,0.9799,0.9797,0.9796544854838183,0.9796571428571429,0.9799155523160386,0.9796598062842674,0.6823,0.6839,0.6842,0.6809,0.9804,0.9804,0.9806,0.9806,0.7033,0.7032,0.7038,0.7032,0.9851,0.9851,0.9852,0.9851,0.66,0.661,0.6639,0.6609,0.9674,0.9674,0.9674,0.9674,0.6738,0.6846,0.6793,0.6734,0.5146,0.5018,0.5547,0.5018,0.7418,0.7438,0.7517,0.7439,0.6909,0.6914,0.6913,0.6915,0.8476836131809696,0.8732600732600733,0.8451158778657688,0.8514169195000424,0.6573712559773094,0.6573260073260073,0.6581455398583029,0.6574030242348334,0.6760748808894654,0.6768,0.6790237722555478,0.676828906235626,0.6873207618696139,0.6868571428571428,0.688709279673499,0.6868808237897474,0.9723426490692684,0.9723428571428572,0.9723589341692791,0.9723435348816214,0.9796544854838183,0.9796571428571429,0.9799155523160386,0.9796598062842674,0.8213458265382271,0.8503663003663003,0.8192057909290976,0.8241753337358458,0.8345733564832475,0.8626373626373627,0.8328972346606155,0.8371685693378165,0.6329690480017343,0.6336996336996337,0.6354199804876483,0.6337878196325306,0.6439855490841735,0.6437728937728938,0.6451949832127639,0.6438237979098907
KNN,0.6492,0.6489,0.6497,0.6489,0.6597909745251019,0.6601142857142858,0.6610791209300342,0.6601125075476147,0.9678,0.9678,0.9679,0.9678,0.9652556162598283,0.9652571428571428,0.9653433135059233,0.9652587083890264,0.5935,0.594,0.5991,0.5968,0.9608,0.9608,0.961,0.961,0.6146,0.6156,0.6169,0.6155,0.9376,0.9376,0.9387,0.9376,0.5782,0.578,0.5811,0.578,0.9385,0.9385,0.9391,0.9385,0.5539,0.558,0.5582,0.5537,0.4172,0.4167,0.434,0.4168,0.689,0.6892,0.6898,0.6892,0.6567,0.6571,0.6577,0.6571,0.7720838671947577,0.8366300366300367,0.8228127613601671,0.7645336034713749,0.6078104042796253,0.6071428571428571,0.6218830210431245,0.6069788240234028,0.6493865302936161,0.6493714285714286,0.6499475087132921,0.6493808865123079,0.6554081233241636,0.6557714285714286,0.6559373272786593,0.6557806784406669,0.9574829931972789,0.9574857142857143,0.9576080876340121,0.9574875928809845,0.9721139579110154,0.9721142857142857,0.9721388003467564,0.9721151201758104,0.7882251607867428,0.841941391941392,0.8282603631324509,0.7785339621958317,0.797344911177715,0.8532967032967033,0.8419580935279853,0.7873656572699385,0.6084310016062385,0.6062271062271062,0.6155304860070194,0.6061916042844715,0.6184675476849192,0.6168498168498169,0.6259111898473078,0.6168039714067752
NearestCentroid,0.5475,0.5479,0.5603,0.5479,0.5514029819836793,0.5510857142857143,0.5597734852991877,0.5510994428564021,0.8991,0.8992,0.9006,0.8992,0.8995711777528844,0.8996571428571428,0.9010477611664867,0.8996638772069292,0.5565,0.5546,0.5649,0.5528,0.8942,0.8943,0.8973,0.895,0.5607,0.5594,0.567,0.5594,0.9031,0.9032,0.9054,0.9032,0.5493,0.57,0.6505,0.5701,0.9348,0.9349,0.9366,0.9349,0.5489,0.5753,0.6523,0.5675,0.3791,0.378,0.4975,0.378,0.5671,0.625,0.7705,0.6253,0.5489,0.5483,0.5571,0.5484,0.6416253010228964,0.6919413919413919,0.64676603828948,0.6404166256154524,0.4528481796843914,0.4509157509157509,0.4618773421079954,0.4507121479058947,0.56062449877622,0.5741714285714286,0.6479964696139913,0.5742390498953788,0.567579221207335,0.5819428571428571,0.654235001231227,0.582013302200642,0.9152532345909832,0.9154285714285715,0.9189233642323147,0.9154390159902832,0.9271951201132684,0.9273142857142858,0.930155775036025,0.9273235815091503,0.6696291856437325,0.717948717948718,0.6747772935792513,0.670249279814339,0.6816979589384408,0.7315018315018315,0.6853076798328867,0.6823006531985002,0.459662881844876,0.46886446886446886,0.5474441926446753,0.46873151797375767,0.4653225728404421,0.47545787545787543,0.5535602446856809,0.47531856875217765
