model,4-class_canonical,4-class_gene_cv,4-class_delta,2-class_canonical,2-class_gene_cv,2-class_delta
HistGradientBoosting,0.7950392616951822,0.765846030866608,-0.02919323082857428,0.9871998495329252,0.9873996299658014,0.00019978043287627312
LinearSVC,0.754933552727006,0.7252063645712726,-0.029727188155733386,0.9867423522050486,0.98086743804014,-0.005874914164908596
DecisionTree,0.7514090067859782,0.7186375533406515,-0.032771453445326726,0.9821710923109525,0.9806333328814746,-0.0015377594294778696
SGDClassifier,0.7182084960604684,0.7069690776925017,-0.011239418367966714,0.9846853942417082,0.983199799306982,-0.0014855949347262198
LDA,0.702199015949549,0.6857431376805112,-0.016455878269037827,0.9801116880572156,0.9804012681711682,0.0002895801139526366
RidgeClassifier,0.7003232293438628,0.6823336354375039,-0.017989593906358903,0.9796544854838184,0.9804012681711682,0.0007467826873498451
KNN,0.6597909745251019,0.5934770402510166,-0.06631393427408538,0.9652556162598284,0.9608026131591229,-0.00445300310070551
QDA,0.6178040521058193,0.5671139923858003,-0.050690059720019054,0.965025932927851,0.9514660868868368,-0.013559846041014234
CosineSimilarity,0.5532079450338492,0.5383596005281808,-0.01484834450566841,0.8991136432551754,0.8937441546153782,-0.0053694886397972486
NearestCentroid,0.5514029819836793,0.5564947782810151,0.005091796297335804,0.8995711777528844,0.8942020822086567,-0.005369095544227709
