model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.9895411097048136,0.0023872867253319,0.9895410372525416,0.0023873684885642,0.9872,0.9871998495329252,0.9871998395017868,0.974426107027452,0.9989538481086092,4.12
LinearSVC,sklearn,0.9876549054831992,0.0031853842594447,0.9876547720726544,0.0031854518724297,0.9867428571428573,0.9867423522050486,0.9867423335036484,0.9735655477717888,,0.21
SGDClassifier,sklearn,0.9859974849957128,0.0030982825614714,0.9859973909095198,0.0030983331751444,0.9846857142857144,0.9846853942417082,0.984685378239508,0.9694161657137336,0.997780845598346,0.08
DecisionTree,sklearn,0.9844546441840526,0.0027292053007077,0.984454383177672,0.0027292184657416,0.9821714285714286,0.9821710923109525,0.9821710746130328,0.9643832377571496,0.9886487504273632,1.44
LDA,sklearn,0.9837115420732454,0.0030707243430297,0.9837098855309848,0.0030718205055812,0.9801142857142856,0.9801116880572156,0.9801116361040744,0.9604898539895698,0.992186775102003,0.09
RidgeClassifier,sklearn,0.9835400808394236,0.0030346619743301,0.9835383432292378,0.0030358202452803,0.9796571428571428,0.9796544854838184,0.979654432336352,0.9595753245195884,,0.03
KNN,sklearn,0.9665083411586984,0.0043330129975913,0.9665058945924676,0.0043342401001515,0.9652571428571428,0.9652556162598284,0.9652555636185416,0.9306020180490384,0.9918092534496264,0.02
QDA,sklearn,0.964965353366268,0.0015488983322816,0.9649618438556832,0.0015489716060672,0.9650285714285716,0.965025932927851,0.9650258634936214,0.9302052713607144,0.9820620268179344,0.09
NearestCentroid,sklearn,0.9060978401992406,0.0051341904614963,0.9059451961733324,0.0051644794257261,0.8996571428571428,0.8995711777528844,0.8995705061505075,0.8007104424770707,0.972292230389145,0.04
CosineSimilarity,sklearn,0.9051834564977748,0.0048373536235008,0.9050303105512286,0.0048674614988475,0.8992,0.8991136432551754,0.8991129685931065,0.7997945751710237,,0.03
