model,family,cv_acc_mean,cv_acc_std,cv_macro_f1_mean,cv_macro_f1_std,holdout_acc,holdout_macro_f1,holdout_weighted_f1,holdout_mcc,holdout_roc_auc_macro,fit_seconds
HistGradientBoosting,sklearn,0.8035714285714286,0.0050079310563707,0.8023989846101047,0.0051676248753355,0.7994505494505495,0.7983976382448654,0.7982112975249984,0.7496652185020541,0.96120118283546,28.34
DecisionTree,sklearn,0.741849816849817,0.0048850183052675,0.7376180821194376,0.0043242340473555,0.7346153846153847,0.7292430588439925,0.729039893035593,0.6703749497643646,0.9335312172980124,1.92
LinearSVC,sklearn,0.7257326007326008,0.0126817864013347,0.7256505409317615,0.012878106831385,0.7192307692307692,0.7185925261309196,0.7185133002509472,0.6499335456501616,,19.85
SGDClassifier,sklearn,0.6804945054945055,0.006464400457804,0.6754456712257633,0.0065665315649828,0.6855311355311355,0.6782762437007495,0.6782644728824183,0.6103817528285231,0.9207034481213392,0.17
AdaBoost,sklearn,0.6669871794871794,0.0095930098996706,0.6634989256679693,0.010938435644731,0.6747252747252748,0.672985020891321,0.6728906639019178,0.5970254020273263,0.9068111785169864,39.53
LDA,sklearn,0.6667582417582418,0.0100623275673109,0.6690544023021372,0.0102291568623488,0.6617216117216117,0.6640918979978673,0.6640402809750663,0.5779580110520791,0.9187380323195448,0.1
RidgeClassifier,sklearn,0.6633241758241758,0.0080023479443684,0.6638550122180418,0.0081819036671402,0.6573260073260073,0.6573712559773094,0.6572931490068449,0.5718343519513331,,0.04
QDA,sklearn,0.6347527472527472,0.0090980786739085,0.6237297628957419,0.0108088330134171,0.6256410256410256,0.612348490793616,0.6121606996365997,0.552100552364231,0.9138309216722232,0.11
KNN,sklearn,0.6044871794871794,0.0112151450484623,0.6052540039943896,0.0114523545098416,0.6071428571428571,0.6078104042796253,0.6078046114322134,0.5109284356441444,0.9003149294790141,0.02
NearestCentroid,sklearn,0.4626831501831502,0.0131783445410724,0.4641753925260071,0.0120200178869898,0.4509157509157509,0.4528481796843914,0.45305234858383,0.3146293235450401,0.8206693428083384,0.05
CosineSimilarity,sklearn,0.4724816849816849,0.0122875807986913,0.4584196332907034,0.0113723145710941,0.4675824175824176,0.4527572320411749,0.4529247762908828,0.3475744685021645,,0.03
