model,2class,3class,4class,5class
AdaBoost,0.9853712076945776,0.8690060723195633,0.7070847800061135,0.6672963388830345
CosineSimilarity,0.9262738106153572,0.6946392543439633,0.5565389452620785,0.4746038482250317
DecisionTree,0.9821710923109525,0.9065184793750316,0.7359728520135054,0.7329770101613737
HistGradientBoosting,0.9862855072136664,0.9385748242673672,0.7899786870334303,0.7866633704231856
KNN,0.9721139579110154,0.797344911177715,0.6554081233241636,0.6184675476849192
LDA,0.9796544854838184,0.8238169323003746,0.6897665069269651,0.6499466246870341
LinearSVC,0.9846848949463471,0.855556658308141,0.7464419847864702,0.7039903605428456
NearestCentroid,0.9271951201132684,0.6816979589384408,0.567579221207335,0.4653225728404421
QDA,0.9734805588197548,0.7842213696131886,0.5533200003351363,0.5518275843940914
RidgeClassifier,0.9796544854838184,0.8345733564832475,0.6873207618696139,0.6439855490841735
SGDClassifier,0.9839994775339604,0.8473185286500278,0.7133982349143733,0.6902056915268869
