model,no_vep_kfold,no_vep_gene_cv
AdaBoost,,0.6628911017734822
CosineSimilarity,0.5574367224901648,0.5582296070064601
DecisionTree,0.7326221676438338,0.7267094163464715
HistGradientBoosting,0.7726819938193908,0.761100717553925
KNN,0.5782315880677316,0.5538983677470614
LDA,0.669615791282939,0.6673684850170645
LinearSVC,0.7274024869208989,0.7300469954269113
NearestCentroid,0.5493135016108761,0.548946567852871
QDA,0.6269887138154984,0.6009907191743115
RidgeClassifier,0.6599978619226317,0.6737847105704673
SGDClassifier,0.696223016859912,0.697666179452149
