model,4-class_augmented,4-class_raw_only,4-class_delta,2-class_augmented,2-class_raw_only,2-class_delta
AdaBoost,,0.6278338706568694,,,0.92293498523152,
CosineSimilarity,0.574708034996894,0.4008941771137857,-0.17381385788310832,0.902627637940668,0.5930213963224945,-0.3096062416181735
DecisionTree,0.7573635342790153,0.6517451607899002,-0.10561837348911507,0.9878439593215572,0.9130632920635976,-0.07478066725795962
HistGradientBoosting,0.7947825774522852,0.7212489294355844,-0.07353364801670081,0.990366954234195,0.9339449402291348,-0.056422014005060195
KNN,0.6145808695084602,0.4172060502794722,-0.19737481922898803,0.9375791629611664,0.6890186220879316,-0.24856054087323476
LDA,0.7111339695481589,0.552025224799471,-0.15910874474868786,0.9853204059193948,0.8293106878434042,-0.15600971807599062
LinearSVC,0.7657097535417827,0.6393292637054221,-0.12638048983636063,0.9885320497645914,0.8862058200375018,-0.1023262297270896
NearestCentroid,0.5606675464184152,0.3791475557210868,-0.18151999069732838,0.9030869415352876,0.5670603668563048,-0.3360265746789828
QDA,0.6620586669485926,0.4434126378553409,-0.2186460290932517,0.9646762158307204,0.5998213173694856,-0.36485489846123476
RidgeClassifier,0.7033491015615465,0.5146345158655375,-0.18871458569600896,0.985090989418022,0.7418359485802891,-0.24325504083773286
SGDClassifier,0.7209282869235227,0.5369925920470264,-0.1839356948764963,0.986926522289222,0.7911171381380885,-0.19580938415113347
