feature,mean_abs_shap_overall,mean_abs_shap_Benign,mean_abs_shap_Likely benign,mean_abs_shap_Likely pathogenic,mean_abs_shap_Pathogenic
ditto_score,1.2059370498999624,1.0519226602633978,1.1165163749129563,0.9490658474903655,1.7062433169331297
metarnn_score,0.5076253205240738,0.33933403048686256,0.5063990239604341,0.7919345784986126,0.3928336491503858
allofus250k_gvs_max_af,0.31464274635595446,0.8725880572363405,0.3779255852045364,0.005460637131935428,0.002596705851005433
gnomad_af,0.22481669920553699,0.4348866395645442,0.3027322219484615,0.15175395260683705,0.009893982702305222
bayesdel_bayesdel_addaf_score,0.11548914108522848,0.034104227980560016,0.2607524213358615,0.0305241616665034,0.13657575335798897
clinpred_score,0.10848311681681835,0.08761187673328877,0.17392266376256652,0.13788362020168418,0.03451430656973398
allofus250k_gvs_afr_ac,0.05345102087368052,0.10060056116006742,0.09886884873073766,0.0038809879499429505,0.010453685653974034
mutpred1_mutpred_general_score,0.04462271386981687,0.006205111997992542,0.005704737440127565,0.07179640348730251,0.09478460255384487
mutpred2_score,0.043689619556940985,0.01013708697843317,0.03454888691071195,0.09995253637279038,0.030119967965828436
allofus250k_gvs_max_ac,0.04250193847716051,0.07202318736434143,0.09228542993800029,0.0030633454887623993,0.0026357911175379084
gmvp_score,0.030653914747884696,0.03330931569019196,0.04090115457298169,0.032586144583060056,0.01581904414530508
gnomad3_af_nfe,0.03048223316748779,0.04271596912957234,0.04446633568768695,0.019213369246396547,0.015533258606295319
mistic_score,0.02969516925085203,0.00664431748188068,0.020327408581811188,0.020433567465692908,0.07137538347402335
gnomad3_af_fin,0.028865670369077653,0.0641986379133343,0.03568949758837944,0.0003658469415326197,0.015208699033064257
gnomad3_af_afr,0.02799593329505978,0.04336088731506233,0.06332281403307845,0.002649648019685512,0.0026503838124128203
alfa_total_alt,0.02739999824479878,0.008418859509676208,0.009948951682023479,0.0760834957332884,0.015148686054207028
bayesdel_bayesdel_noaf_score,0.02530766520882756,0.004804198369311629,0.005882715895396803,0.03311952687259935,0.05742421969800247
vest_score,0.023409200351439036,0.0025210109038887422,0.018741613353438557,0.018425199556960845,0.053948977591468
alfa_total_freq,0.021144472415558318,0.012887305807066892,0.007357250138870384,0.05900390240362365,0.0053294313126723385
primateai_primateai_score,0.0191313066099967,0.012936909310859725,0.029530675171663148,0.018371634462575115,0.015686007494888812
dann_coding_dann_coding_score,0.017429946796278406,0.011163371453798364,0.006876394238239866,0.018441018752710175,0.033239002740365224
gnomad_af_nfe,0.017428479994078965,0.020493649858072574,0.03054380059348517,0.014610246942305595,0.004066222582452527
ncer_score,0.0174085077032061,0.02517541058520315,0.021572358286375725,0.010101034558572869,0.012785227382672655
gnomad3_af,0.017205967509570663,0.017919049288034263,0.022905307553735658,0.01608346876275254,0.011916044433760183
regeneron_all_af,0.016944156657491383,0.009226938103969596,0.03398606561149078,0.005185261559648369,0.019378361354856787
gnomad3_af_sas,0.016469358355299144,0.03595012564957013,0.007285211426374707,0.002650932986248405,0.019991163359003337
phdsnpg_score,0.016325054968719378,0.003989719206790243,0.013841516036655666,0.024803223881881293,0.022665760749550304
vest_pval,0.015985559097451432,0.002410105395344898,0.025866652927448514,0.005049013038130031,0.03061646502888228
metalr_score,0.014958401973774241,0.013276697171114323,0.006802428322774819,0.014058110371738602,0.02569637202946922
dann_coding_dann_rankscore,0.014614315165232723,0.0009422018541701251,0.0024102639610064213,0.0343088161646195,0.020795978681134853
regeneron_all_an,0.013910180410349469,0.024754773517864197,0.00930622896229383,0.016388999067459394,0.0051907200937804585
revel_score,0.013479614407484049,0.006780137466351447,0.015262060942677975,0.011006481222268239,0.02086977799863854
gnomad3_af_asj,0.012728826561249572,0.011176402633813566,0.03880255276359938,0.0009363508475853377,0.0
chasmplus_pval,0.012715114824531352,0.01973753852960513,0.008427034933924517,0.009715865917116574,0.012980019917479184
gerp_gerp_rs,0.012513124355300286,0.0034474546408334848,0.004222873427333588,0.03133923322056564,0.011042936132468428
alphamissense_am_pathogenicity,0.012362056399758604,0.007404058157108919,0.014882927357556416,0.010914379844042733,0.016246860240326354
eve_score,0.012138735090180534,0.011807297647774639,0.006053046666906584,0.019560283927620783,0.011134312118420128
