feature,mean_abs_shap_overall,mean_abs_shap_Benign,mean_abs_shap_Likely benign,mean_abs_shap_Likely pathogenic,mean_abs_shap_Pathogenic
blast_mean_bit_path,0.2939157842225715,0.22867561510511483,0.3591368310229226,0.27431246314462226,0.31353822761762606
gnomad_af,0.29293115342992626,0.45616592025240016,0.19603255687849142,0.30186285581249866,0.21766328077631492
allofus250k_gvs_max_af,0.268908943240796,0.5056381518364383,0.1568449600827962,0.20992658152906124,0.2032260795148884
allofus250k_gvs_max_ac,0.14382382475014813,0.21479228136331419,0.09073916385055521,0.1527948297879385,0.11696902399878459
phylop_phylop100_vert,0.14012606483075932,0.14550629505048737,0.13478174478344465,0.131808844776721,0.14840737471238427
phylop_phylop100_vert_r,0.13658861678432752,0.13303348839756268,0.14009912875863778,0.13321752538362347,0.1400043245974861
allofus250k_gvs_max_an,0.11024218501933766,0.11533706576394212,0.10514688032431457,0.12638999590221253,0.09409479808688141
allofus250k_gvs_afr_af,0.10411841453444498,0.12698996746580224,0.0812738862304979,0.10224216758077216,0.10596763686070766
allofus250k_gvs_afr_ac,0.09117316382814822,0.12097160562534491,0.06148212739193333,0.08952915365380776,0.0927097686415069
blast_top_bit,0.08932301666627843,0.07303983369582612,0.10592314115193285,0.06780493226953156,0.1105241595478232
gnomad3_af,0.08091368792646009,0.0977114314392394,0.09638330617202412,0.08152222109605674,0.04803779299852014
blast_mean_bit_benign,0.07773374363411872,0.0892108551132909,0.06693302439696461,0.08847135736117376,0.06631973766504563
allofus250k_gvs_amr_af,0.06781479279201125,0.08666604503564009,0.04897790232092179,0.07169952171423194,0.0639157020972512
blast_target_4_top1,0.06142652993966577,0.04038251841309675,0.06937729077905133,0.0212701385114077,0.11467617205510729
allofus250k_gvs_all_af,0.06123081711450584,0.08234594767670796,0.041009713114015856,0.0635509133814573,0.05801669428584227
phylop_phylop470_mamm_r,0.05993630534016222,0.05910548818731952,0.060984237688157174,0.057249204873061996,0.06240629061211019
gerp_gerp_rs,0.05626704170904422,0.05877536061564392,0.05384270477151257,0.06594844075924432,0.046501660689776105
gerp_gerp_nr,0.05496700776479467,0.033016117340871565,0.07751454008584129,0.053503697375953674,0.05583367625651214
gnomad3_af_afr,0.05449699911921922,0.09050204675959155,0.028985659448700116,0.055310028065243426,0.04319026220334178
allofus250k_gvs_oth_af,0.05390952864880785,0.0605716128295374,0.047255492423605924,0.05495999932406343,0.05285101001802466
gnomad3_af_oth,0.052304731549759786,0.052490219617350155,0.060250066528052544,0.06113677949474557,0.03534186055889088
phylop_phylop470_mamm,0.050805601819151995,0.04311809452468513,0.05886888828831562,0.050302747805194295,0.05093267665841291
allofus250k_gvs_all_ac,0.05070043581707645,0.06623940727651668,0.03607310372558249,0.0577232840029739,0.042765948263232725
gnomad3_af_nfe,0.05014044443284668,0.0457421902818198,0.04722440145428327,0.06639123103054226,0.04120395496474137
phastcons_phastcons470_mamm,0.04936763121715508,0.0535437253305729,0.04519153710372839,0.047625755597103844,0.05110950683721518
allofus250k_gvs_eur_ac,0.044197640316316296,0.048060082525338485,0.04002672647214082,0.0584976315890641,0.030206120678721776
phastcons_phastcons100_vert,0.04165374640627421,0.04056315124644661,0.04273913791128419,0.040148697769586635,0.04316399869777939
hg19_pos,0.04124979947034982,0.062401285554590846,0.02395113515352335,0.03396577264202318,0.044681004531261885
alfa_total_freq,0.03832452543092593,0.04020711177757785,0.030392435018957636,0.06095894040746858,0.02173961451969967
gnomad3_af_lat,0.03466636452690156,0.043055997361671844,0.03276927501560771,0.03662771204859587,0.02621247368173083
allofus250k_gvs_amr_ac,0.03211589791927369,0.0384100355010295,0.025983815345989435,0.03396263033965563,0.030107110490420187
alfa_total_alt,0.03079616867502638,0.016597829508068825,0.039837855343571926,0.057654047307219285,0.009094942541245486
blast_target_2_top1,0.0294322636390724,0.027523145319965685,0.03134138195816988,0.02755141875465338,0.03131310852350065
entropy_ref,0.027859977686880075,0.03505980399105528,0.02068586651772201,0.026648056886174366,0.02904618335256865
original_input_pos,0.026798072690501697,0.02845897440701296,0.026142889068606436,0.017019423494661855,0.03557100379172554
phastcons_phastcons100_vert_r,0.02676906149275668,0.0276577745027513,0.025917669729474978,0.02625695310836349,0.027243848630436936
gnomad3_af_fin,0.02671959439706436,0.05127726154170328,0.0273077991420699,0.017220023588064397,0.011073293316419873
allofus250k_gvs_oth_ac,0.026020003824912267,0.0319671721028575,0.020108750137185577,0.028274433481219476,0.02372965957838651
allofus250k_gvs_all_an,0.024734408491295858,0.03211864115689462,0.017449809478577875,0.027149238252936858,0.02221994507677408
gnomad3_af_sas,0.02358464843398386,0.03415883972333721,0.013140374600943465,0.01715335792876542,0.029886021482889342
gerp_gerp_rs_rank,0.023122266157318036,0.025645200274141206,0.021001439590896485,0.02727127649116028,0.018571148273074167
blast_n_pathogenic,0.022779849958020976,0.016720522472924305,0.02885731320997678,0.026596946556802392,0.018944617592380437
allofus250k_gvs_sas_af,0.022649165460261224,0.03395619698738717,0.014085954424717582,0.020738485394002165,0.02181602503493798
allofus250k_gvs_eas_af,0.021348231244311774,0.036292895348196304,0.01215762341111084,0.020125508655832937,0.01681689756210702
gnomad_af_nfe,0.021217900767226783,0.02071338527688025,0.021695980825704116,0.030649200547505286,0.011813036418817488
kmer_diff_CCG,0.020466571957407087,0.020413784598826056,0.017224539234373275,0.008082842525806511,0.036145121470622515
phastcons_phastcons17way_primate_r,0.019936718271669512,0.025473869137781404,0.01270663430089822,0.028769747111956744,0.012796622536041677
phastcons_phastcons17way_primate,0.01924931101060348,0.024988049207088154,0.013001593312213944,0.02555136504437064,0.0134562364787412
phastcons_phastcons470_mamm_r,0.018872342724591176,0.022667243433986094,0.015095365611807004,0.01798077200612117,0.01974598984645044
gnomad3_af_asj,0.017393339068197948,0.033198081919420586,0.01801587884760621,0.008852920730316708,0.009506474775448288
blast_n_benign,0.016736972152255523,0.016285675797836265,0.017198690595828143,0.018777686887374762,0.014685835327982923
entropy_alt,0.015938043844173532,0.018243666587252665,0.013091123458096772,0.017514848211658097,0.014902537119686607
kmer_diff_CGG,0.015901296509944852,0.014489219222284544,0.010206966876814832,0.009773059683402318,0.02913594025727771
allofus250k_gvs_eas_ac,0.015152225985967866,0.0246704001517305,0.011635546573710754,0.01302987422581716,0.01127308299261305
allofus250k_gvs_eur_af,0.01425098188410191,0.01210048596246001,0.016255593846541423,0.01599437486802628,0.012653472859379926
gc_alt,0.014081955169142681,0.022519981950265035,0.006680538446698073,0.01676494628764513,0.010362353991962482
gc_ref,0.01340851657246489,0.02554914671425798,0.004130484216659586,0.014215941680367956,0.009738493678574038
allofus250k_gvs_eur_an,0.013359780460252456,0.014332033075686408,0.012395195724448041,0.01469362189975626,0.012018271141119113
gnomad3_af_eas,0.012769544097441929,0.021380131579059176,0.005065834045168615,0.014782756999840874,0.009849453765699045
allofus250k_gvs_amr_an,0.012687477365213628,0.017242722542195988,0.008071732908801938,0.01444239360087601,0.01099306040898058
allofus250k_gvs_afr_an,0.011894806058005757,0.014212636308557585,0.011309422639714663,0.01349432851223299,0.00856283677151779
phylop_phylop17_primate,0.011266071392577647,0.01068576208037451,0.01239618528018805,0.012083427689117588,0.009898910520630435
kmer_ref_CGC,0.010388798569475334,0.014394300195274004,0.0062932870349025494,0.005283646409612767,0.015583960638112019
kmer_ref_CCA,0.009446102803551489,0.011029957268761607,0.007817193823077523,0.008680563722212353,0.010256696400154476
kmer_diff_CTG,0.009385175547871303,0.009639084618557727,0.006896938227893527,0.005820820989599991,0.015183858355433972
kmer_alt_TGA,0.009326954006083034,0.006488848127540706,0.006743008958948623,0.009512051405610664,0.014563907532232143
kmer_alt_CGA,0.008926335763575113,0.014912566746262434,0.005994259351094469,0.012086288419413803,0.0027122285375297483
allofus250k_gvs_oth_an,0.008626405138734285,0.012249851101798317,0.005103873072554365,0.009873170497362724,0.0072787258832217325
kmer_diff_GTG,0.00846940761658,0.004807629012375927,0.008172506919837372,0.008798583015546164,0.01209891151856054
kmer_diff_TCG,0.007929784957899177,0.007296468589152067,0.0022193736404350095,0.007454248055956466,0.014749049546053163
blast_p_pathogenic_top1,0.007901709802905702,0.007064593096825669,0.008722726273080806,0.006125305283410642,0.009694214558305688
kmer_alt_ATT,0.007735833910160256,0.014594020855297027,0.0031370803956508315,0.00988802465667024,0.0033242097330229243
kmer_alt_GGC,0.007660780932549737,0.0037042938439637903,0.01214510906846673,0.009959987300029206,0.004833733517739224
allofus250k_gvs_eas_an,0.007574876128974119,0.009433753208904216,0.0057343434210180505,0.009895645568117279,0.005235762317856935
kmer_ref_GCG,0.007459400657386992,0.01169129721637109,0.0033594445764840125,0.006106710916912802,0.008680149919780064
kmer_alt_GTA,0.007332829102167355,0.007712961574323066,0.0060611394373239836,0.012068001596843129,0.0034892138001792455
kmer_ref_AAC,0.007303862001305593,0.01123068125517299,0.003444291484609833,0.008051118031014364,0.006489357234425185
kmer_ref_GGC,0.007287287730225028,0.004852432298319832,0.009640442509110773,0.00935630510851984,0.0052999710049496645
kmer_ref_ACC,0.007281312963381061,0.009024878145554586,0.00554657406110779,0.0079586610048734,0.006595138641988466
kmer_diff_CAT,0.007183860166647606,0.005036265431613075,0.005405744636991847,0.006987283508152673,0.011306147089832828
kmer_alt_CTA,0.0071131650059314735,0.011837526114089319,0.010197272084109655,0.0029721396414538644,0.0034457221840730576
kmer_ref_GGA,0.006630373755618945,0.005284547715141455,0.007938434324507084,0.008209776324572265,0.005088736658254979
kmer_diff_CGA,0.006447255807470361,0.00209431471998083,0.007608234359897425,0.004305724987589561,0.01178074916241363
kmer_ref_ACG,0.006412887011634918,0.010414136428847235,0.003466048215418804,0.0033877626541718524,0.008383600748101782
phylop_phylop17_primate_r,0.006291455506477407,0.005507170249937073,0.00743360835034642,0.007614144727440032,0.004610898698186105
blast_top_pident,0.005875212200427761,0.004331851437355911,0.005613741719117492,0.00909086837602199,0.00446438726921565
kmer_ref_TGG,0.005815822166395543,0.004785615816111477,0.006948198852992244,0.006918730678562605,0.004610743317915849
kmer_ref_TCT,0.005792968464339982,0.009314078492714211,0.002518134514116602,0.0025085478684639174,0.008831112982065199
kmer_alt_ACA,0.005653616716866532,0.004718071371871972,0.00658995971380886,0.00685093136407866,0.004455504417706633
allofus250k_gvs_sas_ac,0.005571597348916057,0.010856505907423238,0.002937561918500413,0.003968538709679432,0.004523782860061143
kmer_ref_TAC,0.005425062447192473,0.00903133785023745,0.007545736353665002,0.0021871824736852947,0.0029359931111821447
kmer_alt_TCG,0.005379609478649786,0.008311964745855582,0.0025867896713418826,0.008013470646154127,0.0026062128512475504
kmer_diff_CCC,0.00533060574184507,0.001534044245222056,0.008054651363224684,0.009084165707277629,0.0026495616516559123
kmer_alt_AAG,0.005293574887209253,0.0057835383722965455,0.007089260401452294,0.003702343898386868,0.004599156876701303
kmer_alt_TCT,0.005268251271541723,0.008026057763142176,0.003049965484959982,0.00393883725182198,0.006058144586242755
kmer_alt_ACG,0.005247858650923126,0.010123738148253758,0.004885026952932989,0.0030641638607194857,0.002918505641786271
kmer_diff_TGG,0.005246828182157241,0.0033499172232061454,0.0034974353753890715,0.006750819391663356,0.007389140738370391
allofus250k_gvs_sas_an,0.00523572017347865,0.006425914932342019,0.0042090683126885745,0.006882204451003515,0.00342569299788049
kmer_ref_CAC,0.005112042883225615,0.007158989175609699,0.0025957507078249297,0.0025118942893792946,0.008181537360088535
allofus250k_gvs_mid_af,0.004750934188690788,0.005635507984021933,0.0039004406544312807,0.004905365373097628,0.004562422743212312
kmer_ref_AGA,0.004700408209284296,0.006144235045312013,0.003273858764073753,0.005130464451113776,0.004253074576637644
kmer_ref_ATA,0.0046542551010573295,0.0045831907566661586,0.005448911716337476,0.0036206425813820353,0.0049642753498436495
kmer_alt_ACC,0.004610872596342751,0.006180471423202167,0.003232342552075399,0.003637168959150634,0.005393507450942802
kmer_diff_GCG,0.004609017908502354,0.004029156112114084,0.0037262850534884096,0.004716702884276294,0.005963927584130629
kmer_ref_CTA,0.004544144902683867,0.006294970976760383,0.00734973319768512,0.002019048092411276,0.0025128273438786886
kmer_diff_GGA,0.004478292036634675,0.0016160544626684862,0.004408926558039555,0.008551367202188277,0.0033368199236423835
kmer_ref_AGT,0.004474969867320305,0.00776575557324427,0.0015493385190842226,0.0025319381214405083,0.006052847255512219
kmer_alt_CGG,0.004473659333734161,0.006560269492598862,0.0027778656261674356,0.006218679756119409,0.002337822460050936
kmer_ref_GAT,0.004463847426664197,0.006293940958172836,0.0028208794570704185,0.006101774432963324,0.0026387948584502092
kmer_ref_CCT,0.004401571738349475,0.004735797796743903,0.003971792857303633,0.004038983822538116,0.00485971247681225
kmer_alt_GAG,0.004355911402764416,0.005829637209622876,0.0029700824257709586,0.005088038690122469,0.0035358872855413602
kmer_ref_CAT,0.004313113337599556,0.004653577581863296,0.00587170271531402,0.00266663955500643,0.004060533498214482
kmer_alt_CAG,0.004275536467616757,0.004504342673036169,0.004778542594314341,0.0033161635904603217,0.004503097012656195
kmer_ref_TTT,0.004217839031912325,0.0067854018780957115,0.005230092234459999,0.0025147904347639543,0.002341071580329639
kmer_alt_CCT,0.004217521115617556,0.006269022296091114,0.0037546727187734645,0.003936218009756802,0.0029101714378488414
kmer_ref_GCA,0.004152789989972527,0.006977213547869108,0.0018892719115181041,0.0029224494883082837,0.004822225012194614
kmer_alt_CGC,0.004085148276420403,0.005095274601274729,0.0035108826714726864,0.003023781141076303,0.004710654691857895
kmer_ref_GGT,0.004022149991589913,0.0032138322469588932,0.0049574398020161585,0.004683416165349423,0.003233911752035175
kmer_ref_GTA,0.003950970449568127,0.004255377783663493,0.0036041003748736016,0.005184590694788737,0.0027598129449466786
kmer_alt_TAT,0.003949945233627907,0.004968831925214947,0.004504057098931996,0.0033782108897431073,0.0029486810206215785
kmer_ref_CAG,0.00381658652107733,0.004193871162013842,0.003143230211149064,0.0032367277192291263,0.004692516991917289
kmer_alt_GGG,0.00380212462790209,0.005247674358274267,0.0027449794869285186,0.004928603544756631,0.002287241121648944
kmer_ref_TAA,0.0036950905395095627,0.004081499816322152,0.0029187828278919243,0.0034840561812354504,0.004296023332588723
kmer_alt_GCC,0.0036220819544312364,0.0031887271178342182,0.00402147922518017,0.002353418116908453,0.004924703357802104
kmer_alt_TCC,0.0035903418552397197,0.005258622756832007,0.004948224894481451,0.0022484018993206485,0.0019061178703247738
kmer_ref_AGC,0.0035828562205680982,0.005902067856011016,0.0021121177316707858,0.00349368869055433,0.0028235506040362587
kmer_diff_CGT,0.003519132589368352,0.0016156037491799747,0.0023519872587642104,0.00575398166183163,0.004354957687697594
kmer_alt_AAC,0.0034601284830160163,0.0037506079582624776,0.0032905723654591545,0.003603739371818125,0.0031955942365243088
kmer_ref_TAG,0.003450801698861837,0.002207837503521822,0.005250642908031242,0.0036799136455623973,0.002664812738331887
kmer_ref_GAG,0.0034473605766557457,0.0033797409160089007,0.003553532703424026,0.004113852982799524,0.00274231570439053
kmer_ref_ACT,0.0034152488937423797,0.004269805920091052,0.002614571535304003,0.0038840572862562915,0.002892560833318173
kmer_ref_AGG,0.003265983763429392,0.003038596334999114,0.0033530524720099234,0.0031624486573659915,0.003509837589342538
kmer_ref_TCC,0.003240154808504155,0.0049517903495310866,0.0019174183789132178,0.002375803481836641,0.0037156070237356737
kmer_diff_GAC,0.0032195539996145808,0.002515076786228581,0.0036925767385263797,0.002847813791504029,0.0038227486821993343
kmer_ref_GCC,0.0032078175881219005,0.0031748568392617562,0.0033896987588126594,0.002378579080431677,0.003888135673981509
kmer_alt_CAC,0.0031789697479921476,0.004180197798054528,0.002180312102533851,0.0023085264037781034,0.004046842687602108
kmer_ref_CTT,0.0031678506297866003,0.0033950267647630756,0.0036611092505968792,0.002177068410696514,0.0034381980930899307
kmer_alt_GTC,0.0031644313420473064,0.0038734443653866864,0.004846330951805815,0.002279148519261327,0.0016588015317353982
kmer_alt_CAA,0.003153081832134668,0.0029773854997280722,0.003165112957094752,0.0034096265442591215,0.0030602023274567272
kmer_ref_CAA,0.0030551758228656222,0.003964967326882851,0.002303912208760174,0.00347960754660813,0.0024722162092113333
kmer_ref_TGC,0.0030544533311144505,0.004141642077548939,0.0025505932592953112,0.003438575315820889,0.0020870026717926633
kmer_ref_ATT,0.0030530725880498198,0.005282520862589673,0.002484142865708437,0.002791616482341105,0.0016540101415600656
allofus250k_gvs_mid_ac,0.0030429699008460757,0.005523155405145442,0.0025680437957710774,0.001982370073402267,0.0020983103290655152
kmer_diff_CCA,0.0030309894197196917,0.005186415699594374,0.0027345671307046067,0.0030804558755267793,0.001122518973053008
kmer_alt_GAC,0.00300142897195524,0.0025301382107622487,0.003236101149275719,0.0026190540916908073,0.003620422436092185
kmer_alt_CCG,0.0029890692788256067,0.004468822448543218,0.0032519465753818155,0.002015695880527787,0.002219812210849607
kmer_alt_GTT,0.002985370752119276,0.0026073604688115555,0.0021800200710433903,0.0037125289625952918,0.003441573506026866
kmer_diff_GGC,0.002979803016143168,0.001723144148108681,0.0012974402401034846,0.004143440319499329,0.004755187356861178
