combo,fold,iterations,depth,cv_acc,cv_macro_f1,fit_seconds
0,1,100,4,0.772,0.7717921740833331,2.1858761310577393
0,2,100,4,0.764,0.7632247201131209,1.7033920288085938
0,3,100,4,0.7556444698485282,0.7553055194024625,1.2948861122131348
0,4,100,4,0.7539296941983424,0.7533622225650123,1.2091126441955566
0,5,100,4,0.7647899399828523,0.7642006448950278,1.4516847133636475
1,1,100,6,0.778,0.7778067073650765,3.1336522102355957
1,2,100,6,0.7688571428571429,0.7684191556964255,2.8987221717834473
1,3,100,6,0.768791083166619,0.7685756424114532,3.0010461807250977
1,4,100,6,0.7556444698485282,0.7549635393027021,3.442215919494629
1,5,100,6,0.7702200628751071,0.7697342876709605,3.1095516681671143
2,1,100,8,0.778,0.7776785433160396,9.016805171966553
2,2,100,8,0.7734285714285715,0.7727951473089522,10.242324113845825
2,3,100,8,0.7716490425835953,0.7714324971922999,10.165557861328125
2,4,100,8,0.764218348099457,0.7636062050423522,9.813413143157959
2,5,100,8,0.7722206344669905,0.7717054892043369,9.819752216339111
3,1,300,4,0.7845714285714286,0.7843209833001352,4.667224168777466
3,2,300,4,0.7797142857142857,0.7790415045970444,4.463222026824951
3,3,300,4,0.768791083166619,0.7684749108283814,4.675520896911621
3,4,300,4,0.7653615318662474,0.7645782572420468,5.179029941558838
3,5,300,4,0.7807945127179194,0.7803179129290881,4.765641927719116
4,1,300,6,0.7877142857142857,0.7875095180386901,10.951768159866333
4,2,300,6,0.7868571428571428,0.7863789242645749,9.829777956008911
4,3,300,6,0.7847956559016862,0.7845746038291892,10.128180027008057
4,4,300,6,0.771934838525293,0.771301367359149,8.587795972824097
4,5,300,6,0.7859388396684767,0.7854647981947492,9.569459915161133
5,1,300,8,0.7888571428571428,0.7885562759662597,28.302894830703735
5,2,300,8,0.7894285714285715,0.7889273343600725,26.994818925857544
5,3,300,8,0.7836524721348956,0.7836529573444087,20.817944288253784
5,4,300,8,0.7779365533009431,0.7774591428794326,20.666483879089355
5,5,300,8,0.7893683909688483,0.7891209512275896,20.861336946487427
6,1,500,4,0.7897142857142857,0.7895360068147482,5.119960069656372
6,2,500,4,0.786,0.7854105467843182,5.036603212356567
6,3,500,4,0.7773649614175479,0.7769714830333933,5.009752035140991
6,4,500,4,0.7756501857673621,0.775069075481307,5.169443130493164
6,5,500,4,0.7853672477850815,0.7851655363456254,5.109838008880615
7,1,500,6,0.7908571428571428,0.7908626321371691,11.648851871490479
7,2,500,6,0.7945714285714286,0.7942451313838146,11.441437244415283
7,3,500,6,0.7899399828522435,0.7898165426943092,11.532144784927368
7,4,500,6,0.7799371248928265,0.7793970590504707,11.465843915939331
7,5,500,6,0.7939411260360103,0.7936080529488589,11.708981990814209
8,1,500,8,0.7917142857142857,0.7915771273719667,34.76770806312561
8,2,500,8,0.7908571428571428,0.790539794614384,34.54966402053833
8,3,500,8,0.7902257787939412,0.7903103095780936,34.77670192718506
8,4,500,8,0.7842240640182909,0.7839605813218459,34.991090059280396
8,5,500,8,0.791083166619034,0.7910057452433628,36.189801931381226
