combo,fold,max_depth,min_samples_leaf,ccp_alpha,cv_acc,cv_macro_f1,fit_seconds
0,1,None,1,0.0,0.7188571428571429,0.7189947353459436,2.4590210914611816
0,2,None,1,0.0,0.7185714285714285,0.7184906352447219,2.844355821609497
0,3,None,1,0.0,0.7147756501857674,0.7152771772706248,2.8482751846313477
0,4,None,1,0.0,0.7182052014861389,0.7183178460304409,2.8390610218048096
0,5,None,1,0.0,0.7282080594455559,0.7286255172005147,3.3189361095428467
1,1,None,1,0.001,0.7588571428571429,0.7600857224058843,2.64467716217041
1,2,None,1,0.001,0.744,0.7357219682434248,2.875638961791992
1,3,None,1,0.001,0.7510717347813661,0.7514180684971082,2.950971841812134
1,4,None,1,0.001,0.7387825092883681,0.7382410470454777,2.997253894805908
1,5,None,1,0.001,0.7450700200057159,0.7451984145685541,2.685910940170288
2,1,None,1,0.005,0.7385714285714285,0.7339989273946173,2.558687925338745
2,2,None,1,0.005,0.7311428571428571,0.7228577021808882,2.999058961868286
2,3,None,1,0.005,0.727350671620463,0.7236624041931564,2.9699809551239014
2,4,None,1,0.005,0.7216347527865105,0.7160762790800965,2.8771169185638428
2,5,None,1,0.005,0.7362103458130894,0.733203531590051,2.6271679401397705
3,1,None,5,0.0,0.7274285714285714,0.7277315327016864,2.214989185333252
3,2,None,5,0.0,0.7345714285714285,0.7349067486927892,2.4177439212799072
3,3,None,5,0.0,0.7279222635038582,0.7289566102068946,2.250560998916626
3,4,None,5,0.0,0.7216347527865105,0.7214708088015347,2.1220388412475586
3,5,None,5,0.0,0.7270648756787653,0.7275924056161376,2.201627731323242
4,1,None,5,0.001,0.7588571428571429,0.7600857224058843,2.3638501167297363
4,2,None,5,0.001,0.744,0.7357219682434248,2.499596118927002
4,3,None,5,0.001,0.7510717347813661,0.7514180684971082,2.2810301780700684
4,4,None,5,0.001,0.7387825092883681,0.7382410470454777,2.1968040466308594
4,5,None,5,0.001,0.7450700200057159,0.7451984145685541,2.183710813522339
5,1,None,5,0.005,0.7385714285714285,0.7339989273946173,2.1303281784057617
5,2,None,5,0.005,0.7311428571428571,0.7228577021808882,2.3850889205932617
5,3,None,5,0.005,0.727350671620463,0.7236624041931564,2.35680890083313
5,4,None,5,0.005,0.7216347527865105,0.7160762790800965,2.1698110103607178
5,5,None,5,0.005,0.7362103458130894,0.733203531590051,2.244983673095703
6,1,None,10,0.0,0.7442857142857143,0.7444635105267476,1.9556968212127686
6,2,None,10,0.0,0.7402857142857143,0.7406838903331663,2.0321478843688965
6,3,None,10,0.0,0.7364961417547871,0.7376790687497319,2.1681830883026123
6,4,None,10,0.0,0.727350671620463,0.7277143260451482,2.0561299324035645
6,5,None,10,0.0,0.7284938553872535,0.7291618564446787,1.9334347248077393
7,1,None,10,0.001,0.7588571428571429,0.7600857224058843,1.910416841506958
7,2,None,10,0.001,0.744,0.7357219682434248,2.0187530517578125
7,3,None,10,0.001,0.7510717347813661,0.7514180684971082,2.093993902206421
7,4,None,10,0.001,0.7387825092883681,0.7382410470454777,1.914189100265503
7,5,None,10,0.001,0.7450700200057159,0.7451984145685541,1.8941209316253662
8,1,None,10,0.005,0.7385714285714285,0.7339989273946173,1.8244540691375732
8,2,None,10,0.005,0.7311428571428571,0.7228577021808882,2.262385845184326
8,3,None,10,0.005,0.727350671620463,0.7236624041931564,2.1945102214813232
8,4,None,10,0.005,0.7216347527865105,0.7160762790800965,1.9892072677612305
8,5,None,10,0.005,0.7362103458130894,0.733203531590051,1.9150290489196777
9,1,None,20,0.0,0.7454285714285714,0.745865655628517,1.757493019104004
9,2,None,20,0.0,0.7417142857142857,0.7422756549478968,1.939546823501587
9,3,None,20,0.0,0.7422120605887397,0.7431973145222113,1.8163788318634033
9,4,None,20,0.0,0.731923406687625,0.7323299542102915,1.7257640361785889
9,5,None,20,0.0,0.7484995713060875,0.7496014749197881,1.7080538272857666
10,1,None,20,0.001,0.7588571428571429,0.7600857224058843,1.6820189952850342
10,2,None,20,0.001,0.7434285714285714,0.7351541887813753,1.7929489612579346
10,3,None,20,0.001,0.7507859388396685,0.7513281596716403,1.7095890045166016
10,4,None,20,0.001,0.7382109174049728,0.7376823321669188,1.6542367935180664
10,5,None,20,0.001,0.7444984281223207,0.7446400822269298,1.7111353874206543
11,1,None,20,0.005,0.7385714285714285,0.7339989273946173,1.692878007888794
11,2,None,20,0.005,0.7311428571428571,0.7228577021808882,1.8268280029296875
11,3,None,20,0.005,0.727350671620463,0.7236624041931564,1.7170093059539795
11,4,None,20,0.005,0.7216347527865105,0.7160762790800965,1.689640998840332
11,5,None,20,0.005,0.7362103458130894,0.733203531590051,1.6941730976104736
12,1,10,1,0.0,0.7534285714285714,0.7513800283885361,1.3101160526275635
12,2,10,1,0.0,0.7411428571428571,0.7393069761506457,1.3262910842895508
12,3,10,1,0.0,0.7470705915975994,0.7466844454353647,1.3161640167236328
12,4,10,1,0.0,0.7370677336381823,0.7361444582566605,1.325545072555542
12,5,10,1,0.0,0.7482137753643898,0.7466758557084371,1.4437789916992188
13,1,10,1,0.001,0.7588571428571429,0.7600857224058843,1.4484128952026367
13,2,10,1,0.001,0.744,0.7357219682434248,1.403649091720581
13,3,10,1,0.001,0.7510717347813661,0.7514180684971082,1.3197839260101318
13,4,10,1,0.001,0.7387825092883681,0.7382410470454777,1.3152508735656738
13,5,10,1,0.001,0.7450700200057159,0.7451984145685541,1.3086509704589844
14,1,10,1,0.005,0.7385714285714285,0.7339989273946173,1.3082301616668701
14,2,10,1,0.005,0.7311428571428571,0.7228577021808882,1.3137929439544678
14,3,10,1,0.005,0.727350671620463,0.7236624041931564,1.3109512329101562
14,4,10,1,0.005,0.7216347527865105,0.7160762790800965,1.3248302936553955
14,5,10,1,0.005,0.7362103458130894,0.733203531590051,1.3123359680175781
15,1,10,5,0.0,0.7568571428571429,0.7549286487479391,1.2952539920806885
15,2,10,5,0.0,0.7377142857142858,0.7360254927337196,1.2929248809814453
15,3,10,5,0.0,0.7467847956559017,0.7461772258536825,1.2951509952545166
15,4,10,5,0.0,0.7353529579879966,0.734459496606461,1.2950971126556396
15,5,10,5,0.0,0.7447842240640183,0.7418453047325299,1.305328130722046
16,1,10,5,0.001,0.7588571428571429,0.7600857224058843,1.3001961708068848
16,2,10,5,0.001,0.744,0.7357219682434248,1.3864970207214355
16,3,10,5,0.001,0.7510717347813661,0.7514180684971082,1.3767518997192383
16,4,10,5,0.001,0.7387825092883681,0.7382410470454777,1.3282921314239502
16,5,10,5,0.001,0.7450700200057159,0.7451984145685541,1.3026118278503418
