combo,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
45,0.02,2000,127,20,1.0,0.7976110550673654,0.006495175394992959,0.7976218021475523,0.006365402842012648,45.81097445487976,1
16,0.05,600,63,20,0.0,0.7967741967482523,0.003016347356191864,0.7966506022128772,0.003029082161896415,40.82569947242737,2
40,0.02,2000,63,20,0.0,0.7956624320781558,0.005569922153103119,0.7956217531539623,0.005337990700011437,29.21626000404358,3
33,0.03,1200,127,20,1.0,0.7955417996688421,0.006857330000100329,0.7955071408157433,0.0068579436037799375,31.375761127471925,4
37,0.02,2000,31,20,1.0,0.7954380868710764,0.005222324500411917,0.7953361368554281,0.005131982585590749,25.17288269996643,5
41,0.02,2000,63,20,1.0,0.7951419607524188,0.003154102562158903,0.7950502919201404,0.003017383107084267,29.52928228378296,6
35,0.03,1200,127,50,1.0,0.7950337025014976,0.003528259000730372,0.7949930510758175,0.0035363880288016448,23.187643623352052,7
43,0.02,2000,63,50,1.0,0.7949783882366297,0.0053370146519095135,0.794936087861838,0.005269333306422973,32.20119318962097,8
36,0.02,2000,31,20,0.0,0.7948126797924677,0.0038120916469352407,0.7947646756216062,0.0036767290599352704,20.996323823928833,9
23,0.05,600,127,50,1.0,0.7946138400687567,0.0047580495075541995,0.7945930184134242,0.004746224897381822,13.917240619659424,10
32,0.03,1200,127,20,0.0,0.7945873434694894,0.004641767135518219,0.7944787326991385,0.004596590512075173,26.915094327926635,11
31,0.03,1200,63,50,1.0,0.7945678635849085,0.005341876963912133,0.7944788633487119,0.005194334884084449,20.85686445236206,12
21,0.05,600,127,20,1.0,0.7943689104741836,0.004716683167095815,0.79430715714694,0.004576262736453541,18.609985971450804,13
46,0.02,2000,127,50,0.0,0.7941131607920177,0.005114507516881242,0.7940789776670886,0.0049487500998814105,47.721940994262695,14
28,0.03,1200,63,20,0.0,0.7941099364153713,0.004147387097727263,0.7940214428612256,0.004137428215578874,18.333239793777466,15
26,0.03,1200,31,50,0.0,0.7940110259607328,0.004566333371886393,0.7939074674396767,0.004505024027274323,12.37304883003235,16
13,0.05,600,31,20,1.0,0.7939347451492667,0.005602819870303197,0.7938501612705671,0.005369746169870108,8.512231397628785,17
25,0.03,1200,31,20,1.0,0.7939195486531399,0.005472471870031652,0.7937932470501776,0.0053400664851568054,15.204871273040771,18
42,0.02,2000,63,50,0.0,0.7935066134089068,0.0038463916056295216,0.7934501776017637,0.0035463958908647543,28.19683680534363,19
20,0.05,600,127,20,0.0,0.7934717946424014,0.0035429113120736006,0.7934498836402237,0.00357310967363539,17.865000915527343,20
19,0.05,600,63,50,1.0,0.793373178845735,0.005255238440053227,0.7932786510431551,0.005112443873521156,10.77060079574585,21
17,0.05,600,63,20,1.0,0.7932948270535322,0.008552528625451554,0.7932207732821622,0.008431469902897936,15.097171068191528,22
39,0.02,2000,31,50,1.0,0.7929709061050179,0.00433015099980237,0.7928787980239252,0.004156990193001454,22.252745723724367,23
22,0.05,600,127,50,0.0,0.7929701354429316,0.004528352975726709,0.7929355326011513,0.004745891014363711,18.54425048828125,24
30,0.03,1200,63,50,0.0,0.7928283518250494,0.004237994864896093,0.7927642346792961,0.00423100128835156,19.197231388092042,25
11,0.1,300,127,50,1.0,0.7927495965533625,0.0071924365279927155,0.7927068141918099,0.007147157164163615,6.34901704788208,26
38,0.02,2000,31,50,0.0,0.7927354914087705,0.006725993166114456,0.7926498019842404,0.00664477972689545,21.032658433914186,27
12,0.05,600,31,20,0.0,0.7927344108126263,0.002091213838641473,0.7925929530886375,0.0020920582522801993,6.980787372589111,28
24,0.03,1200,31,20,0.0,0.7924637974471718,0.00444157132471727,0.7923643000040828,0.004248100370382615,14.358012390136718,29
44,0.02,2000,127,20,0.0,0.7924241433620736,0.005471938436177427,0.7923639570489527,0.005389011176122587,39.4228298664093,30
10,0.1,300,127,50,0.0,0.7923784486014844,0.00497059886813514,0.7923639733801494,0.004875170508529137,7.067718935012818,31
29,0.03,1200,63,20,1.0,0.7923541964404591,0.006111204177482173,0.7923069121789899,0.005806761296588226,21.447185659408568,32
9,0.1,300,127,20,1.0,0.7923367954997641,0.0024480066965673966,0.7922500306209938,0.0024406182364112047,9.408477830886842,33
14,0.05,600,31,50,0.0,0.7922860508239031,0.0056447457594299005,0.792192789776671,0.005442761088474901,12.61400318145752,34
27,0.03,1200,31,50,1.0,0.7920283095024355,0.004066949358504392,0.7919642183480995,0.003941760010527851,14.991299486160278,35
3,0.1,300,31,50,1.0,0.7918833198613091,0.003292135051130624,0.7917928061078676,0.0031143277825875877,7.943298721313477,36
47,0.02,2000,127,50,1.0,0.7913734062752448,0.004911699331286072,0.7913925774711142,0.004755443887383619,41.8718906879425,37
34,0.03,1200,127,50,0.0,0.7912284800460192,0.004219736226796273,0.7911641203609194,0.004211862614511525,29.889700365066528,38
15,0.05,600,31,50,1.0,0.7911537062995484,0.0046997678005467015,0.7910496060098804,0.004599527121853452,34.135356998443605,39
7,0.1,300,63,50,1.0,0.7907867457220231,0.007255604886106496,0.7907066998734332,0.007156333565334104,17.140265369415282,40
6,0.1,300,63,50,0.0,0.7907756974298328,0.003582869043365728,0.7907071081533499,0.003326036849766117,23.611545705795287,41
0,0.1,300,31,20,0.0,0.7907014932151657,0.004418731407486904,0.7905923325031642,0.004266301919308424,7.061884069442749,42
2,0.1,300,31,50,0.0,0.7906354269170841,0.00454939136875392,0.7905922835095742,0.00437732232282294,5.819940233230591,43
1,0.1,300,31,20,1.0,0.7906214859604394,0.005263195009142711,0.7904781937696485,0.005114805325656243,7.409479570388794,44
18,0.05,600,63,50,0.0,0.7901394757343088,0.005321439161837288,0.7900780467888785,0.005071499407866712,11.61222538948059,45
5,0.1,300,63,20,1.0,0.7900349982197967,0.0076391488751726185,0.7899634671130527,0.007581929582943629,29.15325446128845,46
