combo,fold,n_neighbors,weights,metric,cv_acc,cv_macro_f1,fit_seconds
0,1,5,uniform,minkowski,0.6465714285714286,0.6461967931146017,0.13582205772399902
0,2,5,uniform,minkowski,0.6468571428571429,0.6468023875791902,0.29528236389160156
0,3,5,uniform,minkowski,0.6501857673621034,0.6503464578877589,0.09305095672607422
0,4,5,uniform,minkowski,0.6338953986853386,0.6336654828408561,0.09036803245544434
0,5,5,uniform,minkowski,0.6336096027436411,0.6336165297013867,0.09397006034851074
1,1,5,uniform,cosine,0.6391428571428571,0.6387358691373682,1.02982497215271
1,2,5,uniform,cosine,0.6377142857142857,0.6375955914666177,0.9262537956237793
1,3,5,uniform,cosine,0.6510431551871964,0.6512765057133247,0.9645431041717529
1,4,5,uniform,cosine,0.6398971134609889,0.6393057431436332,1.978407859802246
1,5,5,uniform,cosine,0.646756216061732,0.6465140865997008,1.6484251022338867
2,1,5,distance,minkowski,0.6488571428571429,0.648932804192762,0.12890911102294922
2,2,5,distance,minkowski,0.6497142857142857,0.6498945748502252,0.18354368209838867
2,3,5,distance,minkowski,0.6544727064875678,0.6548569014928212,0.17609024047851562
2,4,5,distance,minkowski,0.639039725635896,0.6390559490175893,0.11614608764648438
2,5,5,distance,minkowski,0.6307516433266648,0.6310951724827832,0.16197800636291504
3,1,5,distance,cosine,0.6448571428571429,0.6448037064703807,2.7518792152404785
3,2,5,distance,cosine,0.6408571428571429,0.640954681338109,1.5176770687103271
3,3,5,distance,cosine,0.6553300943126608,0.6556880832980196,1.5378811359405518
3,4,5,distance,cosine,0.6404687053443842,0.640134192049465,1.2241249084472656
3,5,5,distance,cosine,0.6427550728779652,0.6427521927394877,1.2150189876556396
4,1,15,uniform,minkowski,0.6502857142857142,0.6502228030619978,0.11101388931274414
4,2,15,uniform,minkowski,0.6465714285714286,0.6468285140023472,0.10208821296691895
4,3,15,uniform,minkowski,0.6553300943126608,0.6557367691932806,0.096893310546875
4,4,15,uniform,minkowski,0.649042583595313,0.6487503654387541,0.0913999080657959
4,5,15,uniform,minkowski,0.6364675621606173,0.6367931151831843,0.0931558609008789
5,1,15,uniform,cosine,0.6485714285714286,0.6481100096598877,1.2976489067077637
5,2,15,uniform,cosine,0.6511428571428571,0.6512446300325841,1.0544178485870361
5,3,15,uniform,cosine,0.6530437267790797,0.6528181114698102,0.978043794631958
5,4,15,uniform,cosine,0.6381823378108031,0.6368595963937712,0.9765517711639404
5,5,15,uniform,cosine,0.6370391540440126,0.6366200131566367,0.9647362232208252
6,1,15,distance,minkowski,0.6574285714285715,0.6575993950019291,0.09577488899230957
6,2,15,distance,minkowski,0.6531428571428571,0.6535835470734549,0.10289311408996582
6,3,15,distance,minkowski,0.6604744212632181,0.6611249012345758,0.09905099868774414
6,4,15,distance,minkowski,0.64818519577022,0.6482041299976771,0.09496784210205078
6,5,15,distance,minkowski,0.6398971134609889,0.6404707578953761,0.09821200370788574
7,1,15,distance,cosine,0.6577142857142857,0.6573683172634242,0.9365730285644531
7,2,15,distance,cosine,0.6614285714285715,0.6616702708279733,0.8339431285858154
7,3,15,distance,cosine,0.6593312374964275,0.6592881666974353,0.8902451992034912
7,4,15,distance,cosine,0.6476136038868248,0.6465871494542013,0.8819301128387451
7,5,15,distance,cosine,0.6498999714204058,0.6498107847944817,0.8490931987762451
8,1,30,uniform,minkowski,0.6402857142857142,0.6395499428293101,0.10679101943969727
8,2,30,uniform,minkowski,0.6391428571428571,0.6385754409966194,0.12129020690917969
8,3,30,uniform,minkowski,0.6579022577879394,0.6571658656119619,0.10693979263305664
8,4,30,uniform,minkowski,0.6430408688196627,0.6412630404247894,0.11414408683776855
8,5,30,uniform,minkowski,0.6324664189768505,0.6310646225565908,0.10794973373413086
9,1,30,uniform,cosine,0.6437142857142857,0.640099689910709,0.9037787914276123
9,2,30,uniform,cosine,0.6451428571428571,0.6433720692095177,0.8691470623016357
9,3,30,uniform,cosine,0.6476136038868248,0.6448134802562306,0.9617652893066406
9,4,30,uniform,cosine,0.6321806230351529,0.6278180300940216,0.9460899829864502
9,5,30,uniform,cosine,0.6478993998285224,0.6452187365123517,0.9051671028137207
10,1,30,distance,minkowski,0.6482857142857142,0.6487371109460459,0.10252499580383301
10,2,30,distance,minkowski,0.6514285714285715,0.6520444342879641,0.10585403442382812
10,3,30,distance,minkowski,0.6584738496713347,0.659253525754868,0.10842108726501465
10,4,30,distance,minkowski,0.6504715633038011,0.6501101587773639,0.1105501651763916
10,5,30,distance,minkowski,0.6356101743355245,0.636298173385452,0.11066412925720215
11,1,30,distance,cosine,0.6571428571428571,0.656109666422032,0.930222749710083
11,2,30,distance,cosine,0.6602857142857143,0.6602486287051104,0.8582448959350586
11,3,30,distance,cosine,0.6604744212632181,0.660072635262483,0.9445710182189941
11,4,30,distance,cosine,0.6519005430122893,0.6504074637437964,1.132343053817749
11,5,30,distance,cosine,0.6564732780794512,0.6561104494177431,1.010854959487915
12,1,50,uniform,minkowski,0.6368571428571429,0.6362125796083713,0.15946412086486816
12,2,50,uniform,minkowski,0.6465714285714286,0.6464733252416757,0.13945388793945312
12,3,50,uniform,minkowski,0.6516147470705916,0.6496972035214409,0.13066887855529785
12,4,50,uniform,minkowski,0.626750500142898,0.6254254701504037,0.13769912719726562
12,5,50,uniform,minkowski,0.6450414404115462,0.6428922779654773,0.13897299766540527
13,1,50,uniform,cosine,0.6374285714285715,0.6333590504062758,1.055476188659668
13,2,50,uniform,cosine,0.6402857142857142,0.6382814281423996,0.9892981052398682
13,3,50,uniform,cosine,0.6473278079451272,0.6445455819130086,0.9220161437988281
13,4,50,uniform,cosine,0.6218919691340383,0.6174442786847938,0.9360897541046143
13,5,50,uniform,cosine,0.6421834809945699,0.6383361928079888,0.8904590606689453
14,1,50,distance,minkowski,0.6431428571428571,0.6434912956651675,0.14677906036376953
14,2,50,distance,minkowski,0.6562857142857143,0.6568427129595877,0.12854409217834473
14,3,50,distance,minkowski,0.6587596456130322,0.6585075376834841,0.12794113159179688
14,4,50,distance,minkowski,0.6330380108602458,0.6327750629609645,0.12524700164794922
14,5,50,distance,minkowski,0.6444698485281509,0.6443439758943158,0.12445402145385742
15,1,50,distance,cosine,0.6528571428571428,0.6508033325043777,0.9190859794616699
15,2,50,distance,cosine,0.6554285714285715,0.6549663253829033,0.7708642482757568
15,3,50,distance,cosine,0.6624749928551015,0.6613657155236414,0.8860149383544922
15,4,50,distance,cosine,0.6381823378108031,0.6359621419213166,0.9059700965881348
15,5,50,distance,cosine,0.6519005430122893,0.6507831515494333,0.9181861877441406
16,1,100,uniform,minkowski,0.6348571428571429,0.6334718527055491,0.15926003456115723
16,2,100,uniform,minkowski,0.6437142857142857,0.643397261809966,0.20816516876220703
16,3,100,uniform,minkowski,0.6473278079451272,0.6432805869891525,0.15464997291564941
16,4,100,uniform,minkowski,0.6216061731923407,0.6186983658717027,0.16452717781066895
16,5,100,uniform,minkowski,0.6393255215775936,0.63485184446758,0.17819595336914062
17,1,100,uniform,cosine,0.62,0.6141171749138445,0.9579520225524902
17,2,100,uniform,cosine,0.6385714285714286,0.6358229146244979,0.8224246501922607
17,3,100,uniform,cosine,0.6427550728779652,0.6372153729365564,0.8848638534545898
17,4,100,uniform,cosine,0.611317519291226,0.6041987944970397,0.964759111404419
17,5,100,uniform,cosine,0.6273220920262932,0.6210206087496939,0.8692810535430908
18,1,100,distance,minkowski,0.642,0.641381831475357,0.16527509689331055
18,2,100,distance,minkowski,0.6497142857142857,0.6500585868904047,0.16891074180603027
18,3,100,distance,minkowski,0.6596170334381252,0.6576468184622954,0.16585493087768555
18,4,100,distance,minkowski,0.6264647042012004,0.6248603342777452,0.16536903381347656
18,5,100,distance,minkowski,0.6470420120034296,0.644711065006197,0.17085504531860352
19,1,100,distance,cosine,0.6414285714285715,0.6381348627981714,0.8900630474090576
