combo,n_neighbors,weights,metric,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
11,30,distance,cosine,0.656589768710233,0.004006206303106805,0.6572553627567059,0.003494416135366887,0.9752473354339599,1
7,15,distance,cosine,0.6549449378075032,0.006445515160436232,0.655197533989303,0.0060792173935104235,0.87835693359375,2
6,15,distance,minkowski,0.6521965462406026,0.008128092776296444,0.6518256318131711,0.008115908737094661,0.09817976951599121,3
15,50,distance,cosine,0.6507761333763344,0.009342805935359277,0.6521687175927816,0.008846053119462226,0.8800242900848388,4
10,30,distance,minkowski,0.6492886806303388,0.008316018436119121,0.6488539746049892,0.008329290240809206,0.10760288238525391,5
4,15,uniform,minkowski,0.6476663133759127,0.00692407777647674,0.6475394765851468,0.006964540235170796,0.09891023635864257,6
14,50,distance,minkowski,0.647192117032704,0.010616404536072249,0.647139215286,0.010495632526082774,0.13059306144714355,7
5,15,uniform,cosine,0.645130472142538,0.007845311764840502,0.6455959008696363,0.007471135008210799,1.0542797088623046,8
3,5,distance,cosine,0.6448665711790924,0.006310268755213175,0.6448536316498592,0.006110640975943095,1.6493162631988525,9
2,5,distance,minkowski,0.6447670804072362,0.00955231688523552,0.6445671008043115,0.009545126227999362,0.15333342552185059,10
18,100,distance,minkowski,0.6437317272223999,0.012209315108366519,0.6449676070714082,0.012171728648688575,0.1672529697418213,11
1,5,uniform,cosine,0.642685559212129,0.005945438666273207,0.642910725513412,0.00572725689581297,1.309490966796875,12
19,100,distance,cosine,0.6424293033913275,0.012949243938303084,0.6453677213897848,0.012118557452939547,0.8651481151580811,13
0,5,uniform,minkowski,0.6421255302247587,0.007905809881296423,0.642223868043931,0.007863353726440538,0.14169869422912598,14
8,30,uniform,minkowski,0.6415237824838543,0.009575039659177264,0.6425676234026048,0.009412032683740324,0.1114229679107666,15
9,30,uniform,cosine,0.6402644011965661,0.0072428661906213925,0.6433101539215286,0.006460832782096328,0.917189645767212,16
12,50,uniform,minkowski,0.6401401712974738,0.009630267406033776,0.6413670518107215,0.009741467915875743,0.141251802444458,17
16,100,uniform,minkowski,0.63473998236879,0.010085193855542964,0.637366186257298,0.00997552729002434,0.17295966148376465,18
13,50,uniform,cosine,0.6343933063908933,0.010272192657284044,0.6378235087576043,0.009609545349375687,0.9586678504943847,19
17,100,uniform,cosine,0.6224749731443265,0.01415480131257778,0.6279932225533826,0.012963716382903088,0.8998561382293702,20
