combo,fold,n_estimators,num_leaves,cv_acc,cv_macro_f1,fit_seconds
0,1,100,31,0.798,0.7980372734786133,4.825257062911987
0,2,100,31,0.7928571428571428,0.7927544312722813,4.798594951629639
0,3,100,31,0.7890825950271506,0.7894052126968866,4.935821056365967
0,4,100,31,0.7810803086596171,0.7805488854751057,4.842271089553833
0,5,100,31,0.8008002286367534,0.800987099963163,4.812312126159668
1,1,100,63,0.7957142857142857,0.7960567824450361,8.641181945800781
1,2,100,63,0.7994285714285714,0.7994375076093898,8.817612886428833
1,3,100,63,0.7913689625607316,0.7917689535427643,8.809843063354492
1,4,100,63,0.7847956559016862,0.784253992686462,8.896795749664307
1,5,100,63,0.7982280651614747,0.7984087086075573,9.129096984863281
2,1,100,127,0.7957142857142857,0.7960063915469333,15.514173030853271
2,2,100,127,0.7985714285714286,0.7985214537534573,14.900010108947754
2,3,100,127,0.7959416976278937,0.7963052481172808,14.883095979690552
2,4,100,127,0.7802229208345242,0.7799761289766065,14.837967157363892
2,5,100,127,0.7982280651614747,0.7979701544104199,16.60285997390747
3,1,300,31,0.8005714285714286,0.800760712802214,14.25659990310669
3,2,300,31,0.7988571428571428,0.7988224013141932,14.583920001983643
3,3,300,31,0.7947985138611031,0.7951402650649434,14.765208005905151
3,4,300,31,0.7839382680765933,0.7834544852141576,17.305751085281372
3,5,300,31,0.8036581880537297,0.8039617723040194,15.727030038833618
4,1,300,63,0.8002857142857143,0.8004901934817277,27.46915912628174
4,2,300,63,0.8022857142857143,0.8022064160615906,28.703817129135132
4,3,300,63,0.801086024578451,0.8014481073908797,34.95474672317505
4,4,300,63,0.7885110031437553,0.788319542431571,29.0232150554657
4,5,300,63,0.7985138611031724,0.7986642533945072,26.494488954544067
5,1,300,127,0.7954285714285714,0.7957942128565063,48.46634078025818
5,2,300,127,0.7965714285714286,0.7965788925329125,41.81853723526001
5,3,300,127,0.7970848813946841,0.7975426778985037,45.558801889419556
5,4,300,127,0.7885110031437553,0.7882157921619036,49.80661916732788
5,5,300,127,0.79879965704487,0.7988160870058673,46.98792910575867
6,1,500,31,0.7974285714285714,0.7976114561524856,19.684876203536987
6,2,500,31,0.8028571428571428,0.8027069980880641,19.634900093078613
6,3,500,31,0.794226921977708,0.7946147610674242,20.18183708190918
6,4,500,31,0.7842240640182909,0.7838678617405473,19.970908164978027
6,5,500,31,0.8030865961703344,0.8032108061781449,20.200784921646118
7,1,500,63,0.7965714285714286,0.7968358780543258,37.88042593002319
7,2,500,63,0.8045714285714286,0.8045805855591713,37.472976207733154
7,3,500,63,0.8005144326950557,0.8008053672854211,39.75922203063965
7,4,500,63,0.7896541869105459,0.7895057899298197,39.36074209213257
7,5,500,63,0.7993712489282652,0.7995948478885605,40.07706904411316
8,1,500,127,0.7965714285714286,0.7967781987427125,59.19810104370117
8,2,500,127,0.7942857142857143,0.7942225628709428,67.1061429977417
8,3,500,127,0.7976564732780794,0.7980504716540615,70.856290102005
8,4,500,127,0.7885110031437553,0.7881452923934298,78.9409589767456
8,5,500,127,0.7993712489282652,0.799329093402216,63.72740602493286
