combo,fold,metric,shrink_threshold,cv_acc,cv_macro_f1,fit_seconds
0,1,euclidean,None,0.5517142857142857,0.5511860676587114,0.12188220024108887
0,2,euclidean,None,0.5654285714285714,0.5665737106273561,0.1058502197265625
0,3,euclidean,None,0.5741640468705345,0.5716686147558505,0.15554499626159668
0,4,euclidean,None,0.538439554158331,0.5393879832520742,0.0367741584777832
0,5,euclidean,None,0.5684481280365818,0.5673308493894962,0.03611278533935547
1,1,euclidean,0.1,0.5508571428571428,0.5504042784284472,0.03478193283081055
1,2,euclidean,0.1,0.5657142857142857,0.5669462560543284,0.05015707015991211
1,3,euclidean,0.1,0.5750214346956273,0.5725807496644859,0.04075789451599121
1,4,euclidean,0.1,0.5375821663332381,0.5386673200745171,0.036217689514160156
1,5,euclidean,0.1,0.5681623320948842,0.5671001660221053,0.039095163345336914
2,1,euclidean,0.5,0.5531428571428572,0.5530568763942235,0.03382515907287598
2,2,euclidean,0.5,0.5645714285714286,0.5659973231645659,0.043369293212890625
2,3,euclidean,0.5,0.5738782509288368,0.5719795554842975,0.048777103424072266
2,4,euclidean,0.5,0.5375821663332381,0.538834648802732,0.03368806838989258
2,5,euclidean,0.5,0.5701629036867677,0.5694431032957845,0.04475092887878418
3,1,euclidean,1.0,0.5545714285714286,0.5548406905316046,0.033872127532958984
3,2,euclidean,1.0,0.5645714285714286,0.5663425400994678,0.03389286994934082
3,3,euclidean,1.0,0.5721634752786511,0.5707687478051795,0.034998178482055664
3,4,euclidean,1.0,0.5395827379251215,0.5408607111207897,0.03525710105895996
3,5,euclidean,1.0,0.5718776793369534,0.5715501397181436,0.03477001190185547
4,1,euclidean,2.0,0.5497142857142857,0.5501602005985277,0.03581428527832031
4,2,euclidean,2.0,0.562,0.5640263375318986,0.034992218017578125
4,3,euclidean,2.0,0.5701629036867677,0.5690356985034258,0.03606724739074707
4,4,euclidean,2.0,0.5435838811088882,0.5450535569351516,0.032257080078125
4,5,euclidean,2.0,0.5695913118033724,0.5694021184097494,0.03278493881225586
5,1,euclidean,4.0,0.5448571428571428,0.5449331176635949,0.03242826461791992
5,2,euclidean,4.0,0.5657142857142857,0.5670575042642338,0.04324698448181152
5,3,euclidean,4.0,0.567590740211489,0.5657486483589369,0.03521895408630371
5,4,euclidean,4.0,0.5350100028579594,0.5357118797423834,0.036226749420166016
5,5,euclidean,4.0,0.5655901686196056,0.5645692572315049,0.03586268424987793
6,1,manhattan,None,0.5345714285714286,0.5337190320660494,0.07141804695129395
6,2,manhattan,None,0.5191428571428571,0.5181695308425293,0.06867575645446777
6,3,manhattan,None,0.523006573306659,0.5225418098023027,0.07016801834106445
6,4,manhattan,None,0.5215775935981709,0.5206363164429272,0.06868505477905273
6,5,manhattan,None,0.5318662474992855,0.531712576848362,0.07001328468322754
7,1,manhattan,0.1,0.5357142857142857,0.5348397885366413,0.06979584693908691
7,2,manhattan,0.1,0.5182857142857142,0.5173007322825326,0.06975984573364258
7,3,manhattan,0.1,0.5232923692483566,0.5228601559796721,0.07006072998046875
7,4,manhattan,0.1,0.520720205773078,0.5197751880712278,0.06863284111022949
7,5,manhattan,0.1,0.530723063732495,0.5305462536150607,0.06961894035339355
8,1,manhattan,0.5,0.5354285714285715,0.5342203556608233,0.06778693199157715
8,2,manhattan,0.5,0.5191428571428571,0.5177777582597295,0.06999683380126953
8,3,manhattan,0.5,0.5224349814232638,0.5216786522284561,0.07276201248168945
8,4,manhattan,0.5,0.5204344098313803,0.5192673994725491,0.06760573387145996
8,5,manhattan,0.5,0.5298656759074021,0.5292428172308586,0.06769514083862305
9,1,manhattan,1.0,0.534,0.5322358794604106,0.0708010196685791
9,2,manhattan,1.0,0.5211428571428571,0.5193627803067796,0.0711050033569336
9,3,manhattan,1.0,0.5218633895398685,0.520477796193251,0.07176995277404785
9,4,manhattan,1.0,0.5218633895398685,0.520256495394342,0.07320809364318848
9,5,manhattan,1.0,0.5310088596741926,0.5298025481689662,0.07376623153686523
10,1,manhattan,2.0,0.532,0.5289636346285778,0.07341694831848145
10,2,manhattan,2.0,0.52,0.5168629223131617,0.0719759464263916
10,3,manhattan,2.0,0.5227207773649614,0.5197491169082695,0.07155776023864746
10,4,manhattan,2.0,0.5272935124321234,0.5247448132296942,0.07475495338439941
10,5,manhattan,2.0,0.5278651043155187,0.5254303315222093,0.07196688652038574
11,1,manhattan,4.0,0.5288571428571428,0.523045460173207,0.07458686828613281
11,2,manhattan,4.0,0.5234285714285715,0.517795226238201,0.07273077964782715
11,3,manhattan,4.0,0.5224349814232638,0.5163198737648753,0.0723419189453125
11,4,manhattan,4.0,0.5187196341811946,0.5134963758944525,0.07572388648986816
11,5,manhattan,4.0,0.5312946556158903,0.5259896264194568,0.07569193840026855
