combo,metric,shrink_threshold,cv_macro_f1_mean,cv_macro_f1_std,cv_acc_mean,cv_acc_std,fit_seconds_mean,rank
3,euclidean,1.0,0.5608725658550371,0.013026160877722277,0.5605533499367167,0.013736178090143686,0.03455805778503418,1
2,euclidean,0.5,0.5598623014283206,0.013826912949227207,0.5598675213326256,0.014716320369417018,0.040882110595703125,2
4,euclidean,2.0,0.5595355823957506,0.011240490046621915,0.5590104764626628,0.01193384857365565,0.03438315391540527,3
0,euclidean,None,0.5592294451366977,0.013534063120982332,0.5596389172416609,0.014442251046430253,0.09123287200927735,4
1,euclidean,0.1,0.5591397540487768,0.014145662609375187,0.5594674723390356,0.015080230446378297,0.04020195007324219,5
5,euclidean,4.0,0.5556040814521308,0.014353019417809476,0.5557524680520964,0.01487549011582732,0.03659672737121582,6
6,manhattan,None,0.5253558532004341,0.00693157256252415,0.5260329400236803,0.006771549161137099,0.06979203224182129,7
7,manhattan,0.1,0.5250644236970269,0.007394557644854546,0.5257471277507859,0.0072641698000423275,0.06957364082336426,8
8,manhattan,0.5,0.5244373965704833,0.007026533267796479,0.5254612991466949,0.0069479489041508104,0.06916933059692383,9
9,manhattan,1.0,0.5244270999047499,0.006093249481361529,0.5259756991793574,0.006060128949097654,0.07213006019592286,10
10,manhattan,2.0,0.5231501637203826,0.0048123549379000515,0.5259758788225207,0.004687808135311203,0.07273449897766113,11
11,manhattan,4.0,0.5193293124980385,0.005089273686839718,0.5249469971012126,0.005073901277094132,0.07421507835388183,12
