combo,fold,reg_param,cv_acc,cv_macro_f1,fit_seconds
0,1,0.0,0.4082857142857143,0.30892452640430107,0.3024771213531494
0,2,0.0,0.636,0.5535903016633538,0.28284120559692383
0,3,0.0,0.6424692769362675,0.5607969283234251,0.2882981300354004
0,4,0.0,0.6350385824521292,0.5530430264672489,0.2848341464996338
0,5,0.0,0.6301800514432695,0.5486875357520857,0.2866251468658447
1,1,0.01,0.6514285714285715,0.6303976249831416,0.6559240818023682
1,2,0.01,0.6488571428571429,0.6278040631896449,0.31737303733825684
1,3,0.01,0.6527579308373821,0.6307046082451697,0.3611781597137451
1,4,0.01,0.6461846241783367,0.618747252388877,0.6238901615142822
1,5,0.01,0.6501857673621034,0.6305594100263681,0.4572029113769531
2,1,0.05,0.6317142857142857,0.6028938901929142,0.5986239910125732
2,2,0.05,0.6322857142857143,0.6062417577348657,0.34247398376464844
2,3,0.05,0.6344669905687339,0.6087410618652601,0.3047189712524414
2,4,0.05,0.6216061731923407,0.5868942151469831,0.2954087257385254
2,5,0.05,0.6250357244927122,0.5989967739316471,0.3119359016418457
3,1,0.1,0.6237142857142857,0.5896537724382456,0.31955790519714355
3,2,0.1,0.624,0.5939802436219821,0.29823780059814453
3,3,0.1,0.6250357244927122,0.5945961188698015,0.31004905700683594
3,4,0.1,0.6110317233495285,0.5711267572375893,0.3942601680755615
3,5,0.1,0.6184624178336667,0.5877230949675124,0.2967548370361328
4,1,0.2,0.616,0.5755969801118241,0.30745911598205566
4,2,0.2,0.6108571428571429,0.5753998523772268,0.3004779815673828
4,3,0.2,0.6141754787082023,0.5774606847584055,0.33970212936401367
4,4,0.2,0.5958845384395541,0.5497490922975226,0.29689908027648926
4,5,0.2,0.6056016004572735,0.5668402082396256,0.31386494636535645
5,1,0.5,0.6082857142857143,0.5645644188798487,0.4002678394317627
5,2,0.5,0.6051428571428571,0.565752344310135,0.39257311820983887
5,3,0.5,0.6127464989997142,0.5733178953600067,0.30863094329833984
5,4,0.5,0.5930265790225778,0.5454791227176725,0.30455493927001953
5,5,0.5,0.5967419262646471,0.5522218106212418,0.28800415992736816
