combo,fold,alpha,cv_acc,cv_macro_f1,fit_seconds
0,1,0.01,0.7097142857142857,0.7104448521765591,1.0830671787261963
0,2,0.01,0.6985714285714286,0.6988587961117978,0.0952138900756836
0,3,0.01,0.7036296084595599,0.7044590732988515,0.7556238174438477
0,4,0.01,0.6967705058588168,0.6972156321057861,0.07604098320007324
0,5,0.01,0.7093455272935124,0.7100053006600825,1.1356778144836426
1,1,0.1,0.7074285714285714,0.708113458348669,0.07051706314086914
1,2,0.1,0.6988571428571428,0.6991465178103049,0.06563615798950195
1,3,0.1,0.7039154044012575,0.7047188350695772,0.07170319557189941
1,4,0.1,0.6964847099171192,0.6969276079281842,0.055162906646728516
1,5,0.1,0.7090597313518148,0.7097009771620229,0.05075216293334961
2,1,1.0,0.7057142857142857,0.706429149609568,0.046096086502075195
2,2,1.0,0.6997142857142857,0.6999844255146462,0.051319122314453125
2,3,1.0,0.7033438125178623,0.7041500910385237,0.05371904373168945
2,4,1.0,0.6956273220920263,0.6960499360659299,0.04144716262817383
2,5,1.0,0.7067733638182337,0.7074433103845461,0.058013200759887695
3,1,10.0,0.7085714285714285,0.7092819640359588,0.056960105895996094
3,2,10.0,0.6994285714285714,0.6998217252810843,0.1454329490661621
3,3,10.0,0.7067733638182337,0.7076191501331525,0.0980520248413086
3,4,10.0,0.6959131180337239,0.6964409898570513,0.06096506118774414
3,5,10.0,0.7076307516433267,0.7082552026751707,0.06954693794250488
4,1,100.0,0.702,0.7027151655060355,0.07009410858154297
4,2,100.0,0.6997142857142857,0.7000515764679708,0.059121131896972656
4,3,100.0,0.7053443841097456,0.706151003894657,0.07135200500488281
4,4,100.0,0.6961989139754216,0.6968009024641904,0.07221603393554688
4,5,100.0,0.7059159759931409,0.706721779875487,0.0539400577545166
5,1,1000.0,0.69,0.6903010039065305,0.06259703636169434
5,2,1000.0,0.6931428571428572,0.6932964062940107,0.05534219741821289
5,3,1000.0,0.69276936267505,0.6930865330529072,0.0610048770904541
5,4,1000.0,0.6850528722492141,0.6851437321592448,0.05176186561584473
5,5,1000.0,0.6919119748499571,0.6924691275914102,0.05373692512512207
