combo,fold,alpha,penalty,max_iter,cv_acc,cv_macro_f1,fit_seconds
0,1,1e-05,l2,2000,0.6911428571428572,0.685033264084467,0.16660404205322266
0,2,1e-05,l2,2000,0.7137142857142857,0.7104911539770121,0.1879580020904541
0,3,1e-05,l2,2000,0.7299228350957416,0.7302875008800147,0.1602950096130371
0,4,1e-05,l2,2000,0.6936267505001429,0.6775777276499749,0.21733403205871582
0,5,1e-05,l2,2000,0.7242069162617891,0.7245883607724459,0.17653512954711914
1,1,1e-05,l2,5000,0.6911428571428572,0.685033264084467,0.2090299129486084
1,2,1e-05,l2,5000,0.7137142857142857,0.7104911539770121,0.24702906608581543
1,3,1e-05,l2,5000,0.7299228350957416,0.7302875008800147,0.1861560344696045
1,4,1e-05,l2,5000,0.6936267505001429,0.6775777276499749,0.20447397232055664
1,5,1e-05,l2,5000,0.7242069162617891,0.7245883607724459,0.22848105430603027
2,1,0.0001,l2,2000,0.7028571428571428,0.6906389365406512,0.25185203552246094
2,2,0.0001,l2,2000,0.6908571428571428,0.6789868619727121,0.19442319869995117
2,3,0.0001,l2,2000,0.7039154044012575,0.6957810141546585,0.1929011344909668
2,4,0.0001,l2,2000,0.6887682194912832,0.6464777381367939,0.1764848232269287
2,5,0.0001,l2,2000,0.7062017719348386,0.6933635441005052,0.21782493591308594
3,1,0.0001,l2,5000,0.7028571428571428,0.6906389365406512,0.21659588813781738
3,2,0.0001,l2,5000,0.6908571428571428,0.6789868619727121,0.11652898788452148
3,3,0.0001,l2,5000,0.7039154044012575,0.6957810141546585,0.14306902885437012
3,4,0.0001,l2,5000,0.6887682194912832,0.6464777381367939,0.18375229835510254
3,5,0.0001,l2,5000,0.7062017719348386,0.6933635441005052,0.17173194885253906
4,1,0.001,l2,2000,0.7125714285714285,0.6992738157564672,0.154526948928833
4,2,0.001,l2,2000,0.712,0.7068134186792261,0.15822267532348633
4,3,0.001,l2,2000,0.7142040583023721,0.7115877172634183,0.15745186805725098
4,4,0.001,l2,2000,0.7293512432123463,0.7249656278271365,0.1158289909362793
4,5,0.001,l2,2000,0.7279222635038582,0.7159227687296039,0.14947295188903809
5,1,0.001,l2,5000,0.7125714285714285,0.6992738157564672,0.17876100540161133
5,2,0.001,l2,5000,0.712,0.7068134186792261,0.15582585334777832
5,3,0.001,l2,5000,0.7142040583023721,0.7115877172634183,0.12485718727111816
5,4,0.001,l2,5000,0.7293512432123463,0.7249656278271365,0.16158223152160645
5,5,0.001,l2,5000,0.7279222635038582,0.7159227687296039,0.14868998527526855
6,1,0.01,l2,5000,0.7037142857142857,0.7011243675405958,0.1707921028137207
6,2,0.01,l2,5000,0.7228571428571429,0.7197769358425202,0.18081998825073242
6,3,0.01,l2,5000,0.7179194055444412,0.7155189026108603,0.18395185470581055
6,4,0.01,l2,5000,0.7133466704772792,0.7131494550690198,0.15282201766967773
6,5,0.01,l2,5000,0.7242069162617891,0.7225002435718464,0.17078304290771484
7,1,1e-05,elasticnet,5000,0.7162857142857143,0.7167498768323511,0.256929874420166
7,2,1e-05,elasticnet,5000,0.6974285714285714,0.683981482527058,0.2996060848236084
7,3,1e-05,elasticnet,5000,0.7413546727636467,0.7407270410137708,0.24040484428405762
7,4,1e-05,elasticnet,5000,0.6733352386396113,0.6602356934118416,0.267672061920166
7,5,1e-05,elasticnet,5000,0.7304944269791369,0.7268998449963224,0.23702287673950195
8,1,0.0001,elasticnet,5000,0.7137142857142857,0.7070845734701029,0.262606143951416
8,2,0.0001,elasticnet,5000,0.6922857142857143,0.668836615662844,0.24869108200073242
8,3,0.0001,elasticnet,5000,0.7130608745355816,0.6976650911213211,0.23968791961669922
8,4,0.0001,elasticnet,5000,0.7084881394684196,0.689826888259464,0.22629570960998535
8,5,0.0001,elasticnet,5000,0.7267790797370677,0.7139539231593032,0.24036598205566406
9,1,0.001,elasticnet,5000,0.7242857142857143,0.7120660843559177,0.21748805046081543
9,2,0.001,elasticnet,5000,0.7217142857142858,0.7186624288713989,0.28000783920288086
9,3,0.001,elasticnet,5000,0.7244927122034867,0.720760711719664,0.2141270637512207
9,4,0.001,elasticnet,5000,0.7322092026293227,0.7281021964907348,0.2668118476867676
9,5,0.001,elasticnet,5000,0.7287796513289512,0.7186828618351473,0.23520302772521973
