combo,fold,batch_size,hidden_layer_sizes,cv_acc,cv_macro_f1,fit_seconds
0,1,64,"(64,)",0.7477142857142857,0.7482435722807431,4.107530117034912
0,2,64,"(64,)",0.7434285714285714,0.7431079996178327,4.765450954437256
0,3,64,"(64,)",0.7522149185481566,0.7527285827025306,3.823483943939209
0,4,64,"(64,)",0.7470705915975994,0.7462385725084371,6.066650152206421
0,5,64,"(64,)",0.7519291226064589,0.7524375123497302,3.4171831607818604
1,1,64,"(128,)",0.7422857142857143,0.7411811603737577,7.354680776596069
1,2,64,"(128,)",0.7434285714285714,0.7432110621423837,6.62943172454834
1,3,64,"(128,)",0.7479279794226922,0.7485547028602392,6.48447322845459
1,4,64,"(128,)",0.7442126321806231,0.7431181722748419,5.520879030227661
1,5,64,"(128,)",0.7447842240640183,0.743555459291748,5.007867336273193
2,1,64,"(256,)",0.7388571428571429,0.7312419223360049,7.954843044281006
2,2,64,"(256,)",0.7485714285714286,0.7483105135237678,8.970569849014282
2,3,64,"(256,)",0.7525007144898542,0.7518474655073359,6.589720964431763
2,4,64,"(256,)",0.7510717347813661,0.7508827600691426,10.694429397583008
2,5,64,"(256,)",0.758788225207202,0.75919815501632,7.515467166900635
3,1,128,"(64,)",0.7468571428571429,0.7472371041606324,3.4590518474578857
3,2,128,"(64,)",0.7357142857142858,0.7350970850526162,2.3101089000701904
3,3,128,"(64,)",0.75421549014004,0.753638223339901,3.2434160709381104
3,4,128,"(64,)",0.7439268362389254,0.743671988497931,5.771856069564819
3,5,128,"(64,)",0.758788225207202,0.7574212521107314,3.520832061767578
4,1,128,"(128,)",0.744,0.7419988338135732,3.928016185760498
4,2,128,"(128,)",0.754,0.7539638658698334,6.055616140365601
4,3,128,"(128,)",0.7487853672477851,0.7458069176842175,4.801481008529663
4,4,128,"(128,)",0.7484995713060875,0.745565621269153,5.342379093170166
4,5,128,"(128,)",0.7493569591311804,0.749788662617474,3.5550436973571777
5,1,128,"(256,)",0.7477142857142857,0.7460273814114935,5.098110914230347
5,2,128,"(256,)",0.746,0.745949807872776,6.481014013290405
5,3,128,"(256,)",0.7473563875392969,0.7475335672704353,4.206464052200317
5,4,128,"(256,)",0.7479279794226922,0.7474925037913345,8.665313005447388
5,5,128,"(256,)",0.7545012860817376,0.7547317415784127,5.383195161819458
6,1,256,"(64,)",0.756,0.7557854451424082,3.1182730197906494
6,2,256,"(64,)",0.7351428571428571,0.7283177369728571,3.4050087928771973
6,3,256,"(64,)",0.7553586739068305,0.7553685991079827,4.212378978729248
6,4,256,"(64,)",0.7433552443555301,0.7428327294180919,2.856482982635498
6,5,256,"(64,)",0.7467847956559017,0.7462000283198544,2.2786357402801514
7,1,256,"(128,)",0.7422857142857143,0.7423362266981033,3.1111578941345215
7,2,256,"(128,)",0.7502857142857143,0.7486453260611464,4.067596912384033
7,3,256,"(128,)",0.7447842240640183,0.7432365078330464,2.9418349266052246
7,4,256,"(128,)",0.7484995713060875,0.7475409694731955,3.225245952606201
7,5,256,"(128,)",0.7467847956559017,0.7461066376262689,5.386337757110596
8,1,256,"(256,)",0.75,0.750279039258506,4.9778008460998535
8,2,256,"(256,)",0.7471428571428571,0.7471371902086139,4.703284978866577
8,3,256,"(256,)",0.7559302657902258,0.7552217187647356,7.215391159057617
8,4,256,"(256,)",0.7447842240640183,0.7418478667970889,3.719395160675049
8,5,256,"(256,)",0.7516433266647614,0.747824690051437,5.111990928649902
