combo,fold,n_estimators,max_depth,cv_acc,cv_macro_f1,fit_seconds
0,1,100,4,0.7882857142857143,0.7884330903573088,2.245375156402588
0,2,100,4,0.782,0.781563442924228,1.943566083908081
0,3,100,4,0.7822234924264075,0.7818937559649981,1.9836540222167969
0,4,100,4,0.771934838525293,0.7717874735777398,2.091017007827759
0,5,100,4,0.7813661046013146,0.7816337922106347,2.095294952392578
1,1,100,6,0.8005714285714286,0.8007376811887057,3.2158710956573486
1,2,100,6,0.794,0.7937708797073579,3.437685012817383
1,3,100,6,0.7916547585024293,0.7917307226774742,3.3566620349884033
1,4,100,6,0.7776507573592455,0.7772874826254895,3.208822011947632
1,5,100,6,0.7959416976278937,0.7962802034783422,3.3367199897766113
2,1,100,8,0.8017142857142857,0.8018339826037681,5.5381739139556885
2,2,100,8,0.7988571428571428,0.7987761356435947,6.050373077392578
2,3,100,8,0.793369534152615,0.7936303441278071,4.941683053970337
2,4,100,8,0.7807945127179194,0.7807051747966337,4.758484125137329
2,5,100,8,0.8048013718205201,0.8050442385682952,4.98564600944519
3,1,300,4,0.7951428571428572,0.7951809038949691,5.449641942977905
3,2,300,4,0.7905714285714286,0.7904628203657724,5.3638739585876465
3,3,300,4,0.7925121463275222,0.7927357714713592,5.426337003707886
3,4,300,4,0.7833666761931981,0.7830145942656879,5.264699220657349
3,5,300,4,0.7999428408116604,0.8002404128035006,5.439885854721069
4,1,300,6,0.7997142857142857,0.7999043847322376,8.543582916259766
4,2,300,6,0.7971428571428572,0.7970446781412002,8.923816919326782
4,3,300,6,0.7939411260360103,0.794262369390598,10.244590997695923
4,4,300,6,0.7853672477850815,0.7850358909418326,8.34544587135315
4,5,300,6,0.8022292083452415,0.8024896089696882,8.772092819213867
5,1,300,8,0.8014285714285714,0.8015477230218128,13.295747756958008
5,2,300,8,0.8002857142857143,0.800169818282924,13.585984945297241
5,3,300,8,0.7976564732780794,0.7980084753198822,15.604466915130615
5,4,300,8,0.7847956559016862,0.7845656994960516,12.329713106155396
5,5,300,8,0.8002286367533581,0.8003715934698382,12.440907955169678
6,1,500,4,0.7942857142857143,0.794347724944219,8.26817512512207
6,2,500,4,0.7951428571428572,0.7950828331335758,9.37079405784607
6,3,500,4,0.7927979422692197,0.7930447621345741,9.193956851959229
6,4,500,4,0.7862246356101743,0.7858603586365951,9.659636974334717
6,5,500,4,0.8005144326950557,0.8007596818177067,9.781274795532227
7,1,500,6,0.798,0.7981516274352223,16.2839298248291
7,2,500,6,0.8014285714285714,0.8013223239899653,14.237298011779785
7,3,500,6,0.7999428408116604,0.8004155171853174,14.305896997451782
7,4,500,6,0.7867962274935696,0.7864487415654918,14.5987229347229
7,5,500,6,0.8048013718205201,0.8050565503403726,14.61222505569458
8,1,500,8,0.8,0.8001432530191945,21.986828088760376
8,2,500,8,0.7951428571428572,0.7949961451976288,21.83007001876831
8,3,500,8,0.7950843098028008,0.7954664863208951,21.74677085876465
8,4,500,8,0.7896541869105459,0.7894435541367099,21.56116509437561
8,5,500,8,0.8042297799371249,0.8041846310641936,21.843430042266846
